Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),TN loss (%)
0,3,3,11,13,2,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,20.7
0,3,3,11,13,2,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,17.1
0,3,3,11,13,2,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,24.39
0,3,3,36,13,2,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,12.71
0,3,3,36,13,2,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,15.04
0,3,3,36,13,2,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,21.34
5,4,3,28,13,2,0,0,1.0,16.0,0,16.0,0.0,0.0,0.0,0.0,0.1,61.7,0.23,22.5
5,4,3,8,13,2,0,0,1.0,14.0,0,14.0,0.0,0.0,0.0,10.0,0.1,64.2,0.23,10.31
6,4,3,28,13,2,0,0,1.0,18.0,0,18.0,0.0,0.0,2.0,0.0,0.01,63.74,0.31,22.8
6,4,3,40,13,2,0,0,1.0,18.0,0,18.0,0.0,0.0,2.0,1.0,0.01,63.74,0.31,17.6
0,5,3,28,13,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,0.0,0.17,70.5,0.29,24.58
0,5,3,24,13,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,3.63,0.17,71.0,0.29,15.09
0,5,3,24,13,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,7.31,0.17,71.5,0.29,15.49
0,5,3,24,13,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,9.98,0.17,69.0,0.27,12.09
0,5,3,28,13,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,0.0,0.17,70.0,0.26,15.92
0,5,3,29,13,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,13.1,0.17,71.8,0.28,16.08
0,5,3,29,13,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,24.37,0.17,69.6,0.26,17.38
0,5,3,29,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,21.43
0,5,3,28,13,2,0,0,1.0,15.0,0,6.0,0.0,0.0,0.0,0.0,0.17,70.6,0.29,20.97
0,5,3,27,12,2,0,0,1.0,15.0,0,6.0,0.0,0.0,0.0,3.1,0.17,70.8,0.29,15.5
0,5,3,27,12,2,0,0,1.0,15.0,0,6.0,0.0,0.0,0.0,3.44,0.17,70.1,0.28,16.72
0,5,3,27,12,2,0,0,1.0,15.0,0,6.0,0.0,0.0,0.0,3.69,0.17,69.8,0.28,15.46
0,5,3,28,13,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,0.0,0.17,71.5,0.28,20.21
0,5,3,27,12,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,3.67,0.17,72.3,0.28,17.13
0,5,3,27,12,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,7.02,0.17,71.3,0.27,14.74
0,5,3,27,12,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,10.35,0.17,71.1,0.27,16.0
6,5,3,28,13,2,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,67.22,0.0,40.1
6,5,3,39,13,2,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,3.3,1.2,67.22,0.0,36.4
6,5,3,39,13,2,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,6.6,1.2,63.68,0.0,34.3
6,5,3,39,13,2,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,9.9,1.2,63.61,0.0,28.1
6,5,3,39,13,2,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,13.2,1.2,63.71,0.0,21.7
6,5,3,39,13,2,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,16.5,1.2,61.92,0.0,11.5
5,0,3,28,13,2,0,0,1.0,42.0,0,21.0,0.0,0.0,2.8,0.0,0.4,71.68,0.56,40.7
