Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),NH3-N loss (%)
0,5,3,31,13,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,0.0,0.17,70.0,0.26,10.76
0,5,3,32,13,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,13.1,0.17,71.8,0.28,10.84
0,5,3,32,13,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,24.37,0.17,69.6,0.26,15.51
0,5,3,32,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,16.67
0,5,3,31,13,2,0,0,1.0,15.0,0,6.0,0.0,0.0,0.0,0.0,0.17,70.6,0.29,16.04
0,5,3,30,12,2,0,0,1.0,15.0,0,6.0,0.0,0.0,0.0,3.1,0.17,70.8,0.29,14.97
0,5,3,30,12,2,0,0,1.0,15.0,0,6.0,0.0,0.0,0.0,3.44,0.17,70.1,0.28,13.55
0,5,3,30,12,2,0,0,1.0,15.0,0,6.0,0.0,0.0,0.0,3.69,0.17,69.8,0.28,15.16
0,5,3,31,13,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,0.0,0.17,71.5,0.28,14.81
0,5,3,30,12,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,3.67,0.17,72.3,0.28,16.67
0,5,3,30,12,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,7.02,0.17,71.3,0.27,12.98
0,5,3,30,12,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,10.35,0.17,71.1,0.27,13.2
6,5,3,31,13,2,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,67.22,0.0,35.3
6,5,3,40,13,2,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,3.3,1.2,67.22,0.0,28.0
6,5,3,40,13,2,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,6.6,1.2,63.68,0.0,21.2
6,5,3,40,13,2,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,9.9,1.2,63.61,0.0,16.8
6,5,3,40,13,2,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,13.2,1.2,63.71,0.0,14.8
6,5,3,40,13,2,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,16.5,1.2,61.92,0.0,8.3
4,4,3,31,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,12.84
5,4,3,13,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,11.0,2.68,0.0,59.4,0.46,16.29
5,4,3,13,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,11.0,5.18,0.0,57.5,1.21,18.74
5,4,3,31,13,2,0,0,1.0,22.0,0,22.0,0.0,0.0,11.0,0.0,0.0,58.2,0.47,33.88
