Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),N2O-N loss (%)
6,5,2,10,6,0,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,2.51,0.06,69.2,0.3,1.0
5,5,2,15,7,0,0,0,1.0,50.0,1,50.0,20.0,60.0,7.0,0.0,0.29,67.71,0.21,0.6
5,5,2,2,7,0,0,0,1.0,50.0,1,50.0,20.0,60.0,7.0,12.0,0.29,66.08,0.3,0.47
6,5,2,0,7,0,0,0,1.0,30.0,0,30.0,0.0,0.0,6.0,5.0,0.12,68.15,2.57,2.08
6,5,2,0,7,0,0,0,1.0,30.0,0,30.0,0.0,0.0,6.0,10.0,0.12,61.18,2.57,1.98
6,5,2,0,7,0,0,0,1.0,30.0,0,30.0,0.0,0.0,6.0,20.0,0.12,58.78,2.57,1.98
6,5,2,5,7,0,0,0,1.0,30.0,0,30.0,0.0,0.0,6.0,1.0,0.12,67.68,2.57,2.13
6,6,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,4.0,0.0,0.06,62.06,0.36,0.0
6,6,2,21,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,4.0,10.0,0.06,58.69,0.36,0.01
6,5,2,15,7,0,0,2,0.0,26.0,2,0.0,0.0,0.0,7.0,0.0,1.2,65.0,0.0,1.37
6,5,2,2,7,0,0,2,0.0,26.0,2,0.0,0.0,0.0,7.0,15.68,1.2,65.0,0.0,0.71
6,5,2,2,7,0,0,2,0.0,26.0,2,0.0,0.0,0.0,7.0,31.36,1.2,65.0,0.0,0.35
6,5,2,2,7,0,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,0.38
6,5,2,15,7,0,0,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.0,0.06,67.6,0.38,0.57
6,5,2,16,7,0,0,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.41,0.06,69.07,0.38,0.79
6,5,2,4,7,0,0,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.41,0.06,69.07,0.38,0.41
6,5,2,16,1,0,0,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.41,0.06,69.07,0.38,0.68
6,5,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,5.0,0.0,0.06,57.54,0.48,0.34
6,5,2,10,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,5.0,2.45,0.06,59.41,0.48,0.38
6,5,2,9,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,5.0,2.45,0.06,59.41,0.48,0.47
6,5,2,12,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,5.0,4.35,0.06,60.3,0.48,0.39
5,5,2,15,7,0,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,0.0,0.06,65.0,0.27,0.88
5,5,2,21,7,0,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,10.0,0.06,65.0,0.26,0.6
5,5,2,21,2,0,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,10.29,0.06,65.0,0.26,0.25
5,5,2,21,2,0,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,14.57,0.06,65.0,0.26,0.13
6,5,2,15,7,0,0,0,1.0,35.0,0,0.0,0.0,0.0,6.0,0.0,0.06,69.2,0.25,1.5
6,5,2,10,5,0,0,0,1.0,35.0,0,0.0,0.0,0.0,6.0,15.4,0.06,60.23,0.25,1.4
6,5,2,21,7,0,0,0,1.0,35.0,0,0.0,0.0,0.0,6.0,4.0,0.06,61.92,0.25,1.4
6,5,2,10,7,0,0,0,1.0,35.0,0,0.0,0.0,0.0,6.0,15.4,0.06,60.23,0.25,2.0
4,5,2,15,7,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,2.05
4,5,2,6,7,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,2.01
4,5,2,6,7,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,1.53
4,5,2,6,7,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,1.42
4,5,2,6,7,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,1.24
4,5,2,6,7,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,0.75
6,5,2,15,7,0,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,0.0,0.1,55.0,0.3,0.78
6,5,2,2,7,0,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,10.0,0.1,60.23,0.3,0.3
6,5,2,2,9,0,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,20.0,0.1,59.72,0.3,0.2
6,5,2,2,9,1,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,20.5,0.1,59.72,0.3,0.19
6,5,2,2,9,1,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,21.0,0.1,59.72,0.3,0.17
6,5,2,2,9,1,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,22.0,0.1,59.97,0.3,0.17
6,3,2,15,7,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,81.0,0.0,0.55
6,5,2,15,7,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,75.8,0.0,0.57
6,5,2,15,7,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,64.1,0.24,1.6
6,5,2,15,7,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,71.3,0.24,1.5
6,5,2,15,7,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,75.7,0.24,2.1
6,5,2,15,7,0,0,0,1.0,31.0,0,30.0,0.0,0.0,1.0,1.93,0.95,69.47,0.31,0.54
6,5,2,15,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,0.81
6,5,2,15,7,0,0,1,1.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,0.96
6,5,2,15,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,1.05
6,5,2,15,7,0,0,1,1.0,70.0,2,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,1.07
5,5,2,15,7,0,0,0,1.0,39.0,1,39.0,20.0,20.0,7.0,0.0,0.29,68.07,0.46,1.11
5,4,2,15,7,0,0,0,1.0,39.0,1,39.0,20.0,20.0,7.0,0.0,0.29,68.53,0.46,1.37
6,0,2,15,7,0,0,2,0.0,55.0,2,0.0,0.0,0.0,7.0,0.0,11.25,60.04,0.0,0.04
6,0,2,15,7,0,0,2,0.0,55.0,2,0.0,0.0,0.0,15.0,0.0,11.25,60.04,0.0,0.02
5,0,2,15,7,0,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,0.02
5,0,2,15,7,0,0,2,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,0.01
5,5,2,15,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,0.0,0.06,72.1,0.2,0.5
6,5,2,15,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,0.0,1.2,67.6,0.0,1.0
6,5,2,21,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,3.3,1.2,67.6,0.0,0.79
6,5,2,21,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,6.6,1.2,67.6,0.0,0.74
6,5,2,21,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,9.9,1.2,67.6,0.0,0.68
6,5,2,21,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,13.2,1.2,67.6,0.0,0.86
4,5,2,15,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,0.0,0.13,61.46,0.0,2.05
4,5,2,6,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,2.0,0.13,60.66,0.0,2.01
4,5,2,6,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,4.0,0.13,59.71,0.0,1.53
4,5,2,6,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,6.0,0.13,60.45,0.0,1.42
4,5,2,6,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,8.0,0.13,60.07,0.0,1.24
4,5,2,6,7,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,10.0,0.13,59.45,0.0,0.75
0,5,2,15,7,0,0,1,0.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,0.1
0,5,2,15,7,0,0,1,1.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,0.11
0,5,2,15,7,0,0,1,1.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,0.06
0,5,2,15,7,0,0,1,1.0,64.0,0,64.0,0.0,0.0,12.0,0.0,1.0,74.0,1.16,0.06
4,5,1,15,7,0,0,0,1.0,25.0,1,25.0,30.0,30.0,0.0,0.0,0.06,60.0,0.08,0.69
4,5,1,15,7,0,0,0,1.0,25.0,1,25.0,30.0,30.0,0.0,0.0,0.06,60.0,0.83,0.27
4,5,1,15,7,0,0,0,1.0,25.0,1,25.0,30.0,30.0,0.0,0.0,0.06,60.0,1.64,0.17
6,3,2,15,7,0,0,1,0.0,77.4,2,0.0,0.0,0.0,14.8,0.0,0.4,77.53,0.0,0.02
6,0,2,15,7,0,0,1,0.0,77.4,2,0.0,0.0,0.0,19.2,0.0,0.4,66.71,0.0,1.1
6,0,2,15,7,0,0,1,0.0,77.4,2,0.0,0.0,0.0,14.8,0.0,0.4,66.36,0.0,1.2
6,0,2,15,7,0,0,1,0.0,75.7,2,0.0,0.0,0.0,11.3,0.0,4.62,67.68,0.0,0.0
6,0,2,15,7,0,0,1,0.0,74.3,2,0.0,0.0,0.0,11.1,0.0,4.72,66.26,0.0,0.03
5,4,2,15,7,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,72.13,0.22,0.06
5,5,2,15,7,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,69.74,0.21,0.04
5,2,2,15,7,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,71.05,0.21,0.03
6,5,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.86,0.14
6,5,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.93,0.21
6,5,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.9,0.28
6,5,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.91,0.32
1,3,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,66.9,1.21,1.68
1,0,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,58.6,0.96,0.69
1,0,2,15,7,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,53.1,0.86,1.34
0,3,2,15,7,0,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,0.9
0,3,2,15,7,0,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,1.1
6,5,2,15,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,0.0,1.37,69.4,0.11,1.13
6,5,2,23,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,1.73,1.37,71.1,0.11,1.06
6,5,2,23,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,1.39,1.37,71.2,0.11,1.02
6,5,2,23,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,3.7,1.37,67.6,0.11,0.71
6,5,2,23,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,0.32,1.37,69.2,0.11,0.81
6,4,4,23,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,2.07,1.37,71.0,0.11,0.77
6,5,2,20,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,0.0,1.37,70.3,0.11,1.2
6,4,4,23,7,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,2.84,1.18,71.8,0.11,1.03
0,5,2,15,7,0,0,1,0.0,64.0,2,0.0,0.0,0.0,0.0,0.0,1.1,74.27,0.0,0.11
0,5,2,15,7,0,0,1,1.0,64.0,2,0.0,0.0,0.0,0.0,0.0,1.1,74.27,0.0,0.11
0,5,2,15,7,0,0,1,1.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.1,74.27,0.0,0.07
0,5,2,15,7,0,0,1,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,0.07
