Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),CH4-C loss (%)
5,4,0,6,4,0,0,1,1.0,70.0,2,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,0.36
4,4,0,6,4,0,0,0,1.0,39.0,1,39.0,20.0,20.0,7.0,0.0,0.29,68.07,0.46,0.15
4,3,0,6,4,0,0,0,1.0,39.0,1,39.0,20.0,20.0,7.0,0.0,0.29,68.53,0.46,0.14
4,0,0,6,4,0,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,0.32
4,0,0,6,4,0,0,2,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,0.06
5,4,0,6,4,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,0.0,1.2,67.6,0.0,0.27
5,4,0,10,4,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,3.3,1.2,67.6,0.0,0.1
5,4,0,10,4,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,6.6,1.2,67.6,0.0,0.21
5,4,0,10,4,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,9.9,1.2,67.6,0.0,0.31
5,4,0,10,4,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,13.2,1.2,67.6,0.0,0.28
3,4,0,6,4,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,0.0,0.13,61.46,0.0,0.34
3,4,0,2,4,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,2.0,0.13,60.66,0.0,0.31
3,4,0,2,4,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,4.0,0.13,59.71,0.0,0.24
3,4,0,2,4,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,6.0,0.13,60.45,0.0,0.25
3,4,0,2,4,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,8.0,0.13,60.07,0.0,0.19
3,4,0,2,4,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,10.0,0.13,59.45,0.0,0.17
5,2,0,6,4,0,0,1,0.0,77.4,2,0.0,0.0,0.0,14.8,0.0,0.4,77.53,0.0,0.13
