Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),TC loss (%)
0,2,1,8,6,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,67.86
0,2,1,9,6,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,68.52
0,2,1,11,6,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,65.77
0,2,1,9,7,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,68.08
0,4,1,8,6,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,64.55
0,4,1,9,6,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,59.37
0,4,1,11,6,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,55.72
0,4,1,9,7,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,59.37
0,3,1,8,6,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,61.68
0,3,1,9,6,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,43.92
0,3,1,11,6,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,53.08
0,3,1,9,7,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,51.64
5,2,1,8,6,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,81.0,0.0,24.9
5,4,1,8,6,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,75.8,0.0,31.4
0,4,1,10,6,0,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,8.0,0.04,60.0,0.22,44.0
0,4,1,10,6,0,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,8.0,0.04,60.0,0.44,51.0
0,4,1,10,6,0,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,5.8,0.04,60.0,0.66,54.0
0,4,1,10,6,0,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,7.49,0.04,65.0,0.22,42.0
0,4,1,10,6,0,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,7.49,0.04,65.0,0.44,56.0
0,4,1,10,6,0,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,7.49,0.04,65.0,0.66,51.0
0,4,1,10,6,0,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,1.17,0.04,70.0,0.22,47.0
0,4,1,10,6,0,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,1.17,0.04,70.0,0.44,36.0
0,4,1,10,6,0,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,1.17,0.04,70.0,0.66,50.0
5,4,1,8,6,0,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,43.0
5,4,1,8,6,0,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,50.0
5,4,1,8,6,0,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,53.0
