Material_Main,Period (d),Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_3,Additive_2,Additive_1,Material_3,Additive_4,Material_2,Application Rate (%DW),Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial Moisture Content (%),Initial C/N (%),Initial pH,Initial TC (%),CO2-C loss (%)
8,50.0,0.0,0.0,1.0,0,4,11,27,4,1,4,0.0,0.03,0.0,50.0,0.0,0.21455,3.48,71.05,13.56,8.08,38.16,13.3533
7,50.0,0.0,0.0,1.0,0,4,11,27,4,1,8,0.0,0.02,0.0,50.0,0.0,0.2,3.12,73.67,9.89,8.04,30.87,15.25488
10,56.0,0.0,0.0,1.0,2,4,11,27,4,1,13,0.0,1.37,0.0,56.0,0.0,0.108,1.37255,69.4,29.0,8.8,40.19608,42.3
10,56.0,0.0,0.0,1.0,2,4,11,37,4,1,13,1.7301,1.37,0.0,56.0,0.0,0.108,1.6609,71.1,24.7,9.1,41.17647,44.8
10,56.0,0.0,0.0,1.0,2,4,11,37,4,1,13,1.38889,1.37,0.0,56.0,0.0,0.108,2.39583,71.2,17.6,8.8,42.01389,40.7
10,56.0,0.0,0.0,1.0,2,4,11,37,4,1,13,3.7037,1.37,0.0,56.0,0.0,0.108,2.19136,67.6,19.0,9.0,41.97531,38.8
10,56.0,0.0,0.0,1.0,2,4,11,37,4,1,13,0.32468,1.37,0.0,56.0,0.0,0.108,2.33766,69.2,19.5,8.6,45.77922,40.7
10,56.0,0.0,0.0,1.0,2,4,11,37,9,1,8,2.06897,1.37,0.0,56.0,0.0,0.108,2.31034,71.0,21.2,9.2,48.62069,36.4
10,56.0,0.0,0.0,1.0,2,4,11,16,4,1,13,0.0,1.37,0.0,56.0,0.0,0.108,2.22222,70.3,19.6,7.5,44.10774,42.6
10,56.0,0.0,0.0,1.0,2,4,11,37,9,1,8,2.83688,1.18,0.0,56.0,0.0,0.108,2.30496,71.8,19.5,8.4,45.03546,42.5
0,64.0,0.0,0.0,0.0,1,4,11,27,4,1,13,0.0,1.1,2.0,0.0,0.0,0.0,2.04892,74.27405,21.58448,7.9,45.98795,5.167
0,64.0,0.0,0.0,1.0,1,4,11,27,4,1,13,0.0,1.1,2.0,0.0,0.0,0.0,2.04892,74.27405,21.58448,7.9,45.98795,9.629
0,64.0,5.33333,0.0,1.0,1,4,11,27,4,1,13,0.0,1.1,2.0,0.0,0.0,0.0,2.04892,74.27405,21.56448,7.9,44.3244,12.943
0,53.34746,4.5118,1410.0,1.0,1,4,11,27,4,1,13,5.43039,0.23043,1.0,26.22966,0.52542,0.19281,2.3187,67.97819,18.96465,7.87008,41.36508,13.648
7,30.0,7.5,720.0,1.0,0,4,11,27,4,1,13,0.0,0.1,1.0,30.0,10.0,0.00833,0.77987,60.0,41.11596,7.7987,32.0651,13.9
7,30.0,7.5,720.0,1.0,0,4,11,7,4,1,13,10.0,0.1,1.0,30.0,10.0,0.00833,0.78831,60.0,38.25338,7.88312,30.1556,13.9
7,30.0,7.5,720.0,1.0,0,4,11,2,4,1,13,10.0,0.1,1.0,30.0,10.0,0.00833,0.77338,60.0,42.9974,7.73377,33.2532,13.7
0,20.0,0.0,0.0,1.0,0,4,11,27,4,1,13,0.0,0.06,0.0,20.0,0.0,0.21,1.45,60.22,29.35,7.53,42.38,40.99
