Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),Initial TN (%),Initial pH,Initial Moisture Content (%),Initial C/N (%),N2O-N loss (%)
10,7.0,0.0,0.0,1,1,11,4,4,13,4,70.0,2.0,0.0,1.2,0.0,0.0,6.6,1.84676,7.68937,70.16741,18.89189,0.8
10,7.0,0.0,0.0,1,1,11,4,4,13,4,70.0,2.0,0.0,1.2,0.0,0.0,9.9,1.94249,8.1151,71.74171,18.89189,0.8
10,7.0,0.0,0.0,1,1,11,4,4,13,4,70.0,2.0,0.0,1.2,0.0,0.0,13.2,2.12534,8.4081,70.17171,18.89189,0.9
10,7.0,0.0,0.0,1,1,11,4,4,13,4,70.0,2.0,0.0,1.2,0.0,0.0,16.5,2.14052,8.33201,71.82171,18.89189,1.2
8,7.33333,20.0,1.0,0,1,11,27,4,13,4,44.0,1.0,44.0,0.273,20.0,0.46008,0.0,2.53,7.85,68.45,12.58617,0.22812
8,7.33333,20.0,1.0,0,1,11,2,4,13,4,44.0,1.0,44.0,0.275,20.0,0.45106,5.89001,2.511,7.89,66.71,13.36798,0.24111
8,7.33333,20.0,1.0,0,1,11,2,4,13,4,44.0,1.0,44.0,0.277,20.0,0.44238,11.86352,2.522,8.1,67.58,14.22086,0.21505
8,7.33333,20.0,1.0,0,1,11,2,4,13,4,44.0,1.0,44.0,0.282,20.0,0.426,21.41488,2.506,8.17,65.41,14.81405,0.1705
0,10.85714,0.0,1.0,0,1,11,4,5,13,4,76.0,0.0,76.0,0.1625,0.0,0.1275,0.0,1.96233,7.03384,60.0,24.04931,0.084
0,10.85714,0.0,1.0,0,1,11,27,5,13,4,76.0,0.0,76.0,0.1625,0.0,0.1275,7.5,1.57,6.4715,60.0,27.40127,0.1
0,25.33333,0.0,1.0,0,1,11,4,5,13,4,76.0,2.0,0.0,0.1625,0.0,0.0,0.0,1.85155,7.74534,60.0,19.01057,0.1
0,25.33333,0.0,1.0,0,1,11,27,5,13,4,76.0,2.0,0.0,0.1625,0.0,0.0,7.5,1.57,7.83771,60.0,27.40127,0.067
7,0.25,30.0,1.0,0,1,11,8,0,4,4,45.0,1.0,45.0,2.4,17.0,6.67,0.44444,1.12653,7.73601,55.0,29.153,1.27637
7,5.73722,0.0,1.0,0,1,11,25,4,4,4,50.06058,0.0,26.24606,0.53245,4.21992,0.42777,3.82654,2.11619,7.58786,65.98694,19.55821,1.75
7,5.73722,0.0,1.0,0,1,11,25,4,4,4,50.06058,0.0,26.24606,0.53245,4.21992,0.42777,3.82654,2.11619,7.58786,65.98694,19.55821,2.02
10,9.33333,0.0,0.0,1,1,11,27,4,8,4,112.0,0.0,42.0,0.1416,0.0,0.2569,0.0,1.4,7.1,65.4,20.35498,2.28
