Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Compost volume (m3),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),Initial Moisture Content (%),Initial TN (%),Initial pH,CH4-C loss (%)
1,0.0,0.0,0.0,0,1,11,2,4,13,4,84.0,2.0,0.0,0.0,0.12,9.53373,0.0,20.5,80.7,2.21,9.8,0.12
1,0.0,0.0,0.0,0,1,11,2,4,13,4,84.0,2.0,0.0,0.0,0.12,15.84383,0.0,21.3,81.5,2.03,10.0,0.07
1,0.0,0.0,1.0,0,1,11,27,4,5,4,28.0,0.0,28.0,0.0,0.01,0.0,0.28,11.0,69.0,3.7,7.55161,0.01001
1,0.0,0.0,1.0,0,1,11,27,4,6,4,28.0,0.0,28.0,0.0,0.01,0.0,0.28,11.0,63.0,3.7,7.03578,0.00543
1,0.0,0.0,1.0,0,1,11,27,4,6,4,28.0,0.0,28.0,0.0,0.01,0.0,0.28,11.0,66.0,3.7,7.31177,0.00927
1,0.0,0.0,1.0,0,1,11,27,4,8,4,28.0,0.0,28.0,0.0,0.01,0.0,0.28,14.7,65.0,2.85034,7.62645,0.00785
1,0.0,0.0,1.0,0,1,11,27,4,8,4,28.0,0.0,28.0,0.0,0.01,0.0,0.28,12.9,67.0,3.2093,7.55161,0.00972
1,0.0,0.0,1.0,0,1,11,2,4,5,4,28.0,0.0,28.0,0.0,0.01,25.0,0.28,16.7,65.0,2.93413,7.6381,0.0009
1,0.0,0.0,1.0,0,1,11,2,4,5,4,28.0,0.0,28.0,0.0,0.01,14.28571,0.28,14.0,67.0,3.24286,7.60213,0.0024
1,0.0,0.0,1.0,0,1,11,27,4,13,4,28.0,0.0,28.0,0.0,0.01,0.0,0.28,14.0,65.0,2.95714,7.71904,0.00567
1,0.0,0.0,1.0,0,1,11,27,4,2,4,28.0,0.0,28.0,0.0,0.01,0.0,0.28,12.1,65.0,3.34711,7.31177,0.04746
10,31.0,0.0,1.0,0,1,11,27,4,13,4,31.0,0.0,30.0,0.0,0.95,5.47,0.312,13.16342,69.47,2.57,7.13,0.17
0,3.88889,0.0,1.0,0,1,11,27,4,8,4,35.0,0.0,35.0,0.0,0.1559,0.0,0.46173,21.96203,66.03,1.817,7.12405,0.31
0,3.88889,0.0,1.0,0,1,11,27,4,8,4,35.0,0.0,35.0,0.0,0.2984,0.0,0.46773,21.51131,65.69,1.813,7.33349,0.34
0,3.88889,0.0,1.0,0,1,11,27,4,8,4,35.0,0.0,35.0,0.0,0.5697,0.0,0.46173,21.64477,66.14,1.796,7.12405,0.41
10,7.0,0.0,0.0,1,1,11,27,4,13,4,70.0,2.0,0.0,0.0,1.2,0.0,0.0,17.4,64.0,2.22,7.4,0.14
10,7.0,0.0,1.0,1,1,11,27,4,13,4,70.0,2.0,0.0,0.0,1.2,0.0,0.0,17.4,64.0,2.22,7.4,0.22
