Initial pH,Initial GI (%),Turning times,V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),Additive_4,Material_Main,Initial C/N (%),Initial Moisture Content (%),Material_3,Additive_3,Period (d),Additive_1,V2_Ventilation Interval (min),Compost volume (m3),Application Rate (%DW),M1_is Enclosed,Additive_2,V3_Ventilation Duration (min),Material_2,V1_Ventilation Type, Composting Method,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
6.0,27.32884658064516,5.0,12.0,1.9232533132679959,1.0,8,38.0,72.53911737913833,5.0,4.0,79.0,24.0,464.0,4.210797122302158,3.321015429762612,1.0,1.0,43.812506273974606,8.0,1.0,0.0,2.1457865217391303,76.65562218706219,93.27421100000004,11.365077242866763,1.1806703805923462,0.16702032218187238,1000000.0
8.0,27.32884658064516,13.0,6.0,0.6941120834878294,1.0,8,26.0,72.08850800466934,4.0,4.0,79.0,6.0,586.0,4.210797122302158,7.030383945393157,1.0,10.0,54.69023438262768,13.0,1.0,2.0,2.1457865217391303,57.7021374626006,93.45784500000002,10.65926650260042,0.9060925245285034,0.18992073480476576,1000000.0
11.945336565436541,27.32884658064516,10.0,26.0,1.0216235309541886,1.0,8,28.0,74.18809743902847,9.0,4.0,87.0,31.0,621.0,4.210797122302158,6.95173248187758,1.0,12.0,53.37623737840496,5.0,1.0,0.0,2.1457865217391303,45.700631283896804,91.42959799999997,13.797621726602868,0.9192649722099304,0.16073332190838,1000000.0
8.603222618955481,27.32884658064516,25.0,2.0,0.8662056451962552,1.0,8,21.0,75.66418885414149,5.0,4.0,113.0,34.0,749.0,4.210797122302158,6.300801166894967,0.0,1.0,52.0867917423465,4.0,1.0,1.0,2.1457865217391303,74.24324665609744,96.09628399999998,13.956658815291904,0.7584750056266785,0.1569559098077849,1000000.0
10.025759496243243,27.32884658064516,26.0,32.0,1.0212968564145126,1.0,8,40.4792005019057,69.0,0.0,4.0,51.0,37.0,1039.0,4.210797122302158,6.41066808127042,1.0,1.0,50.72825415092196,2.0,1.0,1.0,2.1457865217391303,86.8597228477651,93.90592599999998,12.666627338306952,1.1681612730026245,0.15629045449440174,26.823944178666714
8.701906208655078,27.328846580645163,19.0,44.0,1.0992559388697276,1.0,8,34.0,54.0,4.0,4.0,128.0,11.0,655.0,4.210797122302158,7.84591054381352,1.0,2.0,50.88902255791409,2.0,1.0,0.0,2.1457865217391303,39.018845367734784,94.26810599999997,9.695744580805018,1.1644129753112793,0.15918016892928372,1000000.0
8.0,27.32884658064516,29.0,13.0,0.7440286163392724,1.0,8,21.0,50.0,5.0,4.0,99.0,16.0,0.0,4.210797122302158,4.010466392543872,0.0,2.0,0.0,13.0,0.0,2.0,2.1457865217391303,68.64686480073233,91.76969566666665,5.973746767859377,0.8729028701782227,0.2131904675590951,1000000.0
5.0,27.32884658064516,0.0,1.0,1.9919395708196252,1.0,8,13.0,54.0,2.0,4.0,63.0,36.0,1348.0,4.210797122302158,5.154381779093684,1.0,7.0,52.48575371381235,3.0,1.0,0.0,2.1457865217391303,50.429147201705725,93.10886899999997,8.915793698208265,1.0722835063934326,0.13796019358685616,1000000.0
11.564385186362513,27.32884658064516,5.0,26.0,1.694972622007944,1.0,8,41.296667028139346,55.0,4.0,4.0,83.0,10.0,988.0,4.210797122302158,5.710123179876727,1.0,5.0,57.85465514374978,0.0,1.0,1.0,2.1457865217391303,88.61383150173016,95.928435,8.65808400634636,1.2710870504379272,0.14480822730375528,23.02112051078802
9.400404261965368,27.402557013383205,1.0,48.0,1.109988881037034,1.0,8,40.0,59.0,3.0,4.0,126.0,6.0,406.0,4.210797122302158,8.866389058431036,1.0,1.0,59.852908527889866,14.0,1.0,1.0,2.1457865217391303,32.459020991644316,96.36613799999998,10.950497801013267,1.0862932205200195,0.14047469891601275,1000000.0
11.08888356303881,27.32884658064516,12.0,23.0,1.0550790188889458,1.0,8,34.0,69.0,4.0,4.0,91.0,21.0,182.0,4.210797122302158,4.122481825523229,1.0,3.0,50.86891647697841,8.0,1.0,0.0,2.1457865217391303,16.58267826074791,95.59611799999998,12.660872422085777,0.9100128412246704,0.18053838003727443,1000000.0
6.0,27.32884658064516,8.0,2.0,1.3651664641915815,1.0,8,39.0,51.0,5.0,4.0,121.0,18.0,996.0,4.210797122302158,7.402199386475205,1.0,3.0,49.68043081547805,5.0,1.0,0.0,2.1457865217391303,18.390325090694226,93.486849,11.091254937185317,1.1666712760925293,0.18249457243417763,1000000.0
8.0,27.32884658064516,3.0,14.0,1.0161725136474413,1.0,8,28.0,69.0,4.0,4.0,96.0,18.0,665.0,4.210797122302158,3.0390788088474574,0.0,3.0,39.288501411059045,3.0,1.0,2.0,2.1457865217391303,73.25729644817798,91.23208600000002,11.947347165546365,1.134289264678955,0.16276846225844183,1000000.0
12.008401786646901,27.32884658064516,16.0,43.0,1.4685663799268978,1.0,8,16.0,79.98030438503153,4.0,4.0,81.0,22.0,132.0,4.210797122302158,4.4109146595254005,1.0,3.0,47.47675940211403,2.0,1.0,2.0,2.1457865217391303,47.324732585183014,92.787425,12.374526608314053,1.1686747074127197,0.19205876889392856,1000000.0
7.0,27.32884658064516,20.0,21.0,1.3066560527662618,1.0,8,14.0,82.78790589064194,4.0,4.0,95.0,22.0,352.0,4.210797122302158,9.64800341746808,0.0,1.0,58.043588621535164,3.0,1.0,2.0,2.1457865217391303,30.513600675656566,95.601942,13.499441737325123,0.7908287048339844,0.1754216873979796,1000000.0
8.58181151029483,27.32884658064516,4.0,36.0,0.6832694357953921,1.0,8,22.0,59.0,2.0,4.0,94.0,15.0,184.0,4.210797122302158,5.196894381829795,1.0,9.0,53.60461175285116,5.0,1.0,1.0,2.1457865217391303,67.78390350369448,91.21940499999997,8.948933320243341,1.1259785890579224,0.1418612729553399,1000000.0
7.0,27.32884658064516,23.0,79.0,1.8469429964791062,1.0,8,22.0,80.52574543935133,5.0,4.0,106.0,30.0,1025.0,4.210797122302158,9.419609586855898,1.0,0.0,48.46608275197413,8.0,1.0,0.0,2.1457865217391303,15.151980876749317,92.631916,11.909008860278252,1.0124417543411255,0.16925273750640346,1000000.0
5.0,27.32884658064516,16.0,21.0,1.2758592278353875,1.0,8,24.0,63.0,2.0,4.0,55.0,17.0,1127.0,4.210797122302158,9.98798772060442,1.0,1.0,48.63324187720947,12.0,1.0,0.0,2.1457865217391303,39.485920204005424,94.89906899999994,9.7742170977116,0.7947956323623657,0.16971511474286147,1000000.0
8.274554919149324,27.32884658064516,3.0,14.0,1.6355252120169859,1.0,8,12.0,70.0,2.0,4.0,64.0,20.0,0.0,4.210797122302158,4.258439757798025,1.0,2.0,0.0,14.0,0.0,0.0,2.1457865217391303,22.31264416962215,92.18856466666665,8.563345387036465,1.2110610008239746,0.16683532307137927,1000000.0
6.0,27.32884658064516,12.0,12.0,1.6065813466006562,1.0,8,11.0,82.390375385928,3.0,4.0,90.0,17.0,155.0,4.210797122302158,7.5334110309541105,1.0,2.0,55.82566965268885,12.0,1.0,2.0,2.1457865217391303,43.528168431285316,97.26363999999995,10.202049424633643,0.9336705803871155,0.16590254794817771,1000000.0
8.0,27.32884658064516,4.0,22.0,1.4096330076622368,1.0,8,31.0,55.0,3.0,4.0,42.0,36.0,119.0,4.210797122302158,8.985802499310452,0.0,10.0,58.09440907765941,14.0,1.0,1.0,2.1457865217391303,71.10336183576327,93.78802,12.941443501778434,1.1527361869812012,0.1740520735033963,1000000.0
6.0,27.32884658064516,2.0,3.0,1.8674527316425404,1.0,8,14.0,55.0,3.0,4.0,28.0,23.0,241.0,4.210797122302158,3.772776566234663,1.0,8.0,57.34005178295173,8.0,1.0,2.0,2.1457865217391303,79.95954790864327,94.43727000000001,12.701022654732366,1.0658369064331055,0.14164812914255806,1000000.0
11.173306545198368,27.32884658064516,12.0,26.0,1.2415307473890025,1.0,8,38.0,73.96718411288666,4.0,4.0,55.0,6.0,268.0,4.210797122302158,6.304167143689244,1.0,12.0,59.43867612782311,12.0,1.0,0.0,2.1457865217391303,55.012108618685225,93.113235,10.870847309055208,0.9101071357727051,0.17164579746609074,1000000.0
9.232216348350509,27.32884658064516,9.0,28.0,1.1556983820641396,1.0,8,29.0,56.0,9.0,4.0,80.0,17.0,0.0,4.210797122302158,9.238229750271106,1.0,1.0,0.0,13.0,0.0,0.0,2.1457865217391303,59.7740642662694,90.85162666666665,8.042092508773585,0.9629560708999634,0.20986196586595807,1000000.0
10.376509467904071,27.32884658064516,3.0,69.0,1.9668470117683545,1.0,8,24.0,65.0,9.0,4.0,123.0,37.0,937.0,4.210797122302158,6.488575032378388,1.0,2.0,48.436126817568,14.0,1.0,0.0,2.1457865217391303,75.67671434311283,93.60258399999995,12.669014596306692,1.157942295074463,0.12794500966482886,1000000.0
5.0,27.32884658064516,6.0,6.0,1.2252153146739226,1.0,8,41.45072553491788,80.1505616788082,0.0,4.0,22.0,15.0,53.0,4.210797122302158,8.808088048794625,1.0,13.0,53.53054942303971,14.0,1.0,1.0,2.1457865217391303,88.94440816913479,94.531615,10.226161005687793,1.152881145477295,0.1918516338904259,25.84478737265991
6.0,27.32884658064516,16.0,35.0,1.4378659342997073,1.0,8,14.0,62.0,5.0,4.0,120.0,14.0,377.0,4.210797122302158,5.1569835989907835,1.0,5.0,49.42931515450239,13.0,1.0,0.0,2.1457865217391303,75.43902545021247,94.18736499999997,9.23852750283824,0.7632644176483154,0.186381596714148,1000000.0
5.187411922785689,27.32884658064516,19.0,4.0,0.7911289089599025,1.0,8,16.0,71.92297506919782,4.0,4.0,25.0,7.0,977.0,4.210797122302158,6.721176056344173,0.0,0.0,1.8151501457895414,13.0,1.0,1.0,2.1457865217391303,51.15214406571418,91.89127566666666,11.059732390345994,1.0625990629196167,0.15042545714779598,1000000.0
11.317760812254892,27.32884658064516,26.0,22.0,0.5839613710690768,1.0,8,25.0,82.00017978675146,0.0,4.0,128.0,30.0,804.0,4.210797122302158,6.817831213430445,1.0,2.0,54.23894300322842,12.0,1.0,1.0,2.1457865217391303,54.5774317197714,97.29041999999994,12.374526608314053,0.7868094444274902,0.152541936042514,1000000.0
