Initial pH,Material_Main,Additive_3,Initial Moisture Content (%),Initial GI (%),V3_Ventilation Duration (min),Material_2,V1_Ventilation Type, Composting Method,Additive_1,Period (d),Initial C/N (%),M1_is Enclosed,Additive_4,Material_3,V5_Ventilation rate (L/min/kg iniDW),Turning times,Additive_2,V2_Ventilation Interval (min),Compost volume (m3),V4_Ventilation Day,Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
6.0,10,4.0,52.0,27.32884658064516,0.0,14.0,0.0,0.0,28.0,85.0,25.0,1.0,1.0,2.0,0.5340174643819657,15.0,0.0,0.0,0.6277154746460176,32.0,6.903843982648514,2.0952942734506244,14.414103604331396,112.58065700000003,2.0954596924111706,1.2063053846359253,0.20106082190933627,1000000.0
7.0,10,4.0,52.0,27.32884658064516,0.0,6.0,0.0,1.0,10.0,90.0,28.0,0.0,1.0,0.0,1.922928768343621,22.0,1.0,0.0,0.6277154746460176,33.0,6.136677717789741,2.0952942734506244,73.32240806808926,112.478199,4.951186209120335,0.45033136010169983,0.20810883813114497,1000000.0
8.276152941358745,10,4.0,59.0,27.32884658064516,58.88030577798172,6.0,1.0,2.0,6.0,108.0,10.0,1.0,1.0,4.0,1.190138538485371,15.0,3.0,1033.0,0.6277154746460176,57.0,2.1021058170558096,2.0952942734506244,15.098264186711578,111.16930000000004,7.07233541181214,0.4087013304233551,0.17518528094723684,1000000.0
9.759031272797184,10,4.0,68.0,27.32884658064516,0.0,4.0,0.0,1.0,12.0,122.0,39.0,0.0,1.0,2.0,0.3091630111007049,26.0,1.0,0.0,0.6277154746460176,66.0,8.932868179253079,2.0952942734506244,17.74632905040887,111.24675799999999,5.592031347943832,0.296285480260849,0.20626385233368094,1000000.0
10.896561109633698,10,4.0,70.0,27.32884658064516,52.653098686729784,12.0,1.0,1.0,7.0,76.0,30.0,1.0,1.0,4.0,0.7075471483256806,11.0,3.0,715.0,0.6277154746460176,62.0,4.123788810334687,2.0952942734506244,78.56028861881613,110.77068800000002,6.320837655024932,0.3375634551048279,0.1460423759186926,1000000.0
11.54200182511325,10,4.0,50.594385854427586,27.32884658064516,4.99217354086257,4.0,1.0,1.0,33.0,69.0,28.225134512219828,0.0,1.0,0.0,0.4930974780232569,11.0,3.0,1291.0,0.6277154746460176,69.0,3.04643231662647,2.0952942734506244,18.80446368339647,109.36853500000002,6.320837655024932,0.3375634551048279,0.14743487478657957,1000000.0
8.0,10,4.0,76.17647324126918,27.32884658064516,0.0,2.0,0.0,0.0,25.0,78.0,37.0,1.0,1.0,4.0,1.5815712993586528,25.0,3.0,0.0,0.6277154746460176,39.0,8.994301337625252,2.0952942734506244,62.528125695770925,111.863418,4.651655702559637,0.543677806854248,0.23582987586483514,1000000.0
8.133973251942662,10,4.0,51.0,27.32884658064516,0.0,6.0,0.0,1.0,20.0,113.0,20.0,0.0,1.0,2.0,0.3657312264144157,27.0,1.0,0.0,0.6277154746460176,33.0,3.7298687067072063,2.0952942734506244,46.918791488492815,112.45066800000001,5.187345297432998,0.42888501286506653,0.2342416444707223,1000000.0
8.0,10,4.0,59.0,27.32884658064516,41.20798135630312,6.0,1.0,2.0,24.0,57.0,40.67045520562041,0.0,1.0,9.0,0.33130782773172696,25.0,3.0,1201.0,0.6277154746460176,29.0,7.074666362447458,2.0952942734506244,85.21657189096658,109.22604500000003,6.790331270326929,0.3884490430355072,0.16266896299322386,23.49722726778921
9.805047383637975,10,4.0,64.0,27.32884658064516,0.0,13.0,0.0,1.0,15.0,32.0,18.0,0.0,1.0,9.0,1.0796692976855173,2.0,0.0,0.0,0.6277154746460176,30.0,7.305132428192541,2.0952942734506244,34.49853330439221,107.33317100000002,6.276437487893115,1.0638751983642578,0.17917215296619168,1000000.0
8.0,10,4.0,59.0,27.32884658064516,54.24515362526891,14.0,1.0,1.0,10.0,75.0,25.0,1.0,1.0,4.0,1.500239258636324,30.0,2.0,766.0,0.6277154746460176,60.0,4.7256554885148665,2.0952942734506244,49.40155652146706,111.75959300000004,6.790331270326929,0.42475923895835876,0.16679877652650732,1000000.0
7.0,10,4.0,52.0,27.32884658064516,0.0,14.0,0.0,0.0,20.0,75.0,22.0,1.0,1.0,2.0,0.48536024805171407,22.0,3.0,0.0,0.6277154746460176,41.0,4.437019277874583,2.0952942734506244,55.788016699418286,113.61585200000002,4.415496614246974,0.5183887481689453,0.22174427632591337,1000000.0
6.0,10,4.0,55.0,27.32884658064516,0.0,0.0,0.0,1.0,12.0,87.0,10.0,1.0,1.0,3.0,0.758694742253812,22.0,3.0,0.0,0.6277154746460176,72.0,9.990798099269938,2.0952942734506244,61.40950082415563,112.88337100000001,4.415496614246974,0.5183887481689453,0.20084227953019496,1000000.0
8.0,10,4.0,56.0,27.32884658064516,51.36310677743221,0.0,1.0,0.0,11.0,95.0,23.0,1.0,1.0,5.0,1.9573314106703479,22.0,3.0,972.0,0.6277154746460176,64.0,3.751810370699533,2.0952942734506244,68.81151735210587,111.32023000000002,6.790331270326929,0.4087013304233551,0.17967212053562942,1000000.0
9.205701564201725,10,4.0,83.74110578882117,27.32884658064516,27.572511821873253,13.0,1.0,1.0,33.0,104.0,13.0,1.0,1.0,0.0,1.495729706769114,4.0,3.0,1203.0,0.6277154746460176,55.0,7.7828911020550215,2.0952942734506244,20.822758945814062,107.778895,8.850113825892347,0.4643360376358032,0.13848944931268484,1000000.0
10.666455491332634,10,4.0,52.0,27.32884658064516,0.0,13.0,0.0,2.0,6.0,117.0,39.0,0.0,1.0,5.0,1.773585309934705,19.0,2.0,0.0,0.6277154746460176,39.0,3.6636310990534673,2.0952942734506244,70.62491138261991,111.291285,5.05634175307047,0.31547027826309204,0.18945142487723565,1000000.0
11.696745441137054,10,4.0,65.0,27.32884658064516,0.0,6.0,0.0,2.0,33.0,95.0,23.0,0.0,1.0,5.0,0.2428602791480421,24.0,0.0,0.0,0.6277154746460176,34.0,7.655674681913203,2.0952942734506244,56.773509692395706,111.617119,2.497878373722831,1.0675311088562012,0.18635158926132914,1000000.0
6.0,10,4.0,73.96470349359882,27.32884658064516,0.0,4.0,0.0,2.0,20.0,57.0,27.0,1.0,1.0,4.0,1.2707394195536243,11.0,1.0,0.0,0.6277154746460176,38.0,5.307867711454545,2.0952942734506244,39.76166938203197,112.283961,4.242892644969348,0.45033136010169983,0.1895276097115388,1000000.0
11.469005067853466,10,4.0,64.0,27.32884658064516,0.0,5.0,0.0,0.0,18.0,96.0,40.0,1.0,1.0,3.0,0.9008128005350531,31.0,3.0,0.0,0.6277154746460176,46.0,3.2764798690168178,2.0952942734506244,54.77373566496901,112.29571000000001,5.05634175307047,0.4573310911655426,0.2219235704674304,1000000.0
8.344818457286848,10,4.0,52.0,27.32884658064516,0.0,12.0,0.0,2.0,14.0,94.0,38.0,1.0,1.0,9.0,1.1638951713137384,23.0,5.0,0.0,0.6277154746460176,43.0,4.610213431266289,2.0952942734506244,23.315998307183587,110.86037400000001,4.651655702559637,0.543677806854248,0.19428482019550425,1000000.0
7.0,10,4.0,71.17071224902001,27.32884658064516,0.0,2.0,0.0,0.0,11.0,86.0,37.0,1.0,1.0,3.0,0.3142559783546477,19.0,3.0,0.0,0.6277154746460176,59.0,7.484690925298662,2.0952942734506244,27.603378899462776,113.17921100000001,4.415496614246974,0.5183887481689453,0.2257770031969606,1000000.0
7.0,10,4.0,61.0,27.32884658064516,0.0,13.0,0.0,2.0,24.0,92.0,43.716641173347845,1.0,1.0,0.0,1.1324557357337341,9.0,1.0,0.0,0.6277154746460176,73.0,4.3699274728381425,2.0952942734506244,91.59922790501152,110.90882400000002,4.307347527500702,0.42888501286506653,0.2049189306119132,26.709325928066388
8.0,10,4.0,67.0,27.32884658064516,0.0,3.0,0.0,1.0,35.0,98.0,36.0,0.0,1.0,5.0,1.2279944717678015,2.0,0.0,0.0,0.6277154746460176,33.0,9.423229997123162,2.0952942734506244,55.07319381975849,110.98926100000003,5.085473368071333,1.2034167051315308,0.2010398907432129,1000000.0
9.987409271946179,10,4.0,64.0,27.32884658064516,50.93576706251155,2.0,1.0,0.0,18.0,69.0,16.0,1.0,1.0,2.0,1.0149838449117548,26.0,5.0,1250.0,0.6277154746460176,43.0,5.73081940612925,2.0952942734506244,74.0958836042479,107.68923400000006,6.790331270326929,0.5455673933029175,0.1713677825471938,1000000.0
8.0,10,4.0,72.1982207576102,27.32884658064516,0.0,6.0,0.0,0.0,11.0,112.0,15.0,1.0,1.0,9.0,1.860199462585832,12.0,0.0,0.0,0.6277154746460176,51.0,8.726449620388264,2.0952942734506244,51.38697619464539,112.75076000000001,2.3751964646972117,1.2076810598373413,0.24465845592778024,1000000.0
5.0,10,4.0,56.0,27.32884658064516,0.0,4.0,0.0,2.0,19.0,123.0,12.0,0.0,1.0,2.0,0.9027745109653518,14.0,3.0,0.0,0.6277154746460176,76.0,4.112208034873822,2.0952942734506244,72.77069755364496,112.88017400000003,4.697500755732185,0.5183887481689453,0.18815611685005756,1000000.0
8.262923594782963,10,4.0,63.0,27.32884658064516,10.437523307015717,6.0,1.0,0.0,24.0,94.0,16.0,1.0,1.0,9.0,1.9149585054608607,7.0,2.0,1000.0,0.6277154746460176,67.0,6.640578971803501,2.0952942734506244,38.9880237711091,110.862869,6.740752773166001,0.27108147740364075,0.1744964176840113,1000000.0
5.0,10,4.0,66.0,27.32884658064516,0.0,3.0,0.0,1.0,18.0,100.0,26.055641035992128,0.0,1.0,5.0,0.48203486108483906,19.0,5.0,0.0,0.6277154746460176,49.0,8.386969524205869,2.0952942734506244,27.8895531141959,110.72151700000002,4.415496614246974,0.5183887481689453,0.19023035003376854,1000000.0
5.0,10,4.0,61.0,27.32884658064516,4.148309732636362,3.0,1.0,1.0,14.0,132.0,28.0,1.0,1.0,9.0,0.8592000285694308,12.0,5.0,1304.0,0.6277154746460176,47.0,5.413342336494373,2.0952942734506244,60.6248990767756,110.13926000000004,7.242856794546014,0.2859937846660614,0.17732823880138135,1000000.0
8.036212453873254,10,4.0,59.0,27.32884658064516,0.0,4.0,0.0,2.0,4.0,83.0,12.0,1.0,1.0,5.0,1.878202125169095,15.0,2.0,0.0,0.6277154746460176,62.0,2.0478624148383666,2.0952942734506244,25.89084381973864,112.82403000000002,4.933659844044848,0.44806981086730957,0.1993085031671932,1000000.0
10.120039630152672,10,4.0,55.0,27.32884658064516,48.14538125524667,5.0,1.0,2.0,11.0,99.0,41.85886810604922,1.0,1.0,3.0,1.7089591561723156,25.0,2.0,862.0,0.6277154746460176,27.0,2.0823753803401317,2.0952942734506244,87.70664663572991,107.73437900000003,6.790331270326929,0.3445788621902466,0.15651801166586715,23.882640676801184
9.659861524183597,10,4.0,78.42105044458182,27.32884658064516,0.0,12.0,0.0,0.0,24.0,40.0,36.0,1.0,1.0,0.0,0.015050630477587035,16.0,2.0,0.0,0.6277154746460176,31.0,8.250552961345175,2.0952942734506244,73.23877496438435,111.57196100000002,5.3383458945556805,0.2954515218734741,0.21318573266940483,1000000.0
8.07354535208201,10,4.0,63.0,27.32884658064516,0.0,3.0,0.0,1.0,30.0,83.0,41.3265124632238,1.0,1.0,0.0,1.5167590738134673,16.0,1.0,0.0,0.6277154746460176,36.0,9.290440601278144,2.0952942734506244,86.59120490587868,112.688861,5.469349438918209,0.45033136010169983,0.24704206594333164,25.3887978235176
8.287009325815927,10,4.0,80.22365329733186,27.32884658064516,0.0,6.0,0.0,2.0,20.0,85.0,11.0,1.0,1.0,3.0,0.9560127721680454,27.0,3.0,0.0,0.6277154746460176,71.0,7.105138231694797,2.0952942734506244,80.64420796237417,112.971562,4.651655702559637,0.5183887481689453,0.1964672987776982,1000000.0
7.122668644026043,10,4.0,68.0,27.32884658064516,0.0,0.0,0.0,2.0,16.0,83.0,22.0,0.0,1.0,5.0,0.3628982693150282,24.0,2.0,0.0,0.6277154746460176,65.0,9.030104407487485,2.5506429677356492,54.42960252991479,112.513912,1000000.0,1000000.0,1000000.0,1000000.0
11.544297678617786,10,4.0,62.27964939605773,27.32884658064516,29.233319302883565,5.0,1.0,0.0,18.0,116.0,28.0,1.0,1.0,0.0,0.22461169092386601,16.0,5.0,1044.0,0.6277154746460176,34.0,4.202480725300567,2.0952942734506244,77.31436874223184,108.56937800000003,7.07233541181214,0.3369549512863159,0.1311618100625254,1000000.0
11.053476486340557,10,4.0,74.54702962298121,27.32884658064516,0.0,12.0,0.0,0.0,14.0,59.0,15.0,1.0,1.0,3.0,0.5018530645657187,25.0,2.0,0.0,0.6277154746460176,41.0,6.481865765907689,2.0952942734506244,22.6553734970243,112.31563700000002,5.05634175307047,0.29402393102645874,0.20781257289625446,1000000.0
7.0,10,4.0,54.0,27.32884658064516,0.0,0.0,0.0,1.0,24.0,124.0,37.0,1.0,1.0,0.0,0.8636076572325357,20.0,3.0,0.0,0.6277154746460176,31.0,3.003308570895422,2.0952942734506244,63.730058867405326,112.707927,4.415496614246974,0.5183887481689453,0.24967423176550588,1000000.0
7.0,10,4.0,72.4689285307803,27.32884658064516,0.0,8.0,0.0,1.0,7.0,98.0,38.0,0.0,1.0,5.0,1.4895557374181994,13.0,3.0,0.0,0.6277154746460176,43.0,6.6751660366326,2.0952942734506244,28.1489891020901,113.02002900000001,4.697500755732185,0.543677806854248,0.2159210253986038,1000000.0
9.822550099868153,10,4.0,78.28738782034364,27.32884658064516,0.0,4.0,0.0,1.0,7.0,50.0,40.0,1.0,1.0,4.0,0.40880213615996985,22.0,2.0,0.0,0.6277154746460176,49.0,7.791406418812941,2.0952942734506244,43.96992269222557,111.98316900000002,5.05634175307047,0.29402393102645874,0.221239815470584,1000000.0
11.409227847455673,10,4.0,65.0,27.32884658064516,0.0,4.0,0.0,2.0,28.0,63.0,13.0,0.0,1.0,3.0,1.9003121773907732,15.0,0.0,0.0,0.6277154746460176,51.0,4.407174478661337,2.0952942734506244,46.039600715264775,110.33964100000001,2.7798825152080426,1.0695152282714844,0.1909183338757062,1000000.0
7.0,10,4.0,57.0,27.32884658064516,14.325682674977003,8.0,1.0,0.0,12.0,132.0,17.0,1.0,1.0,5.0,0.29065976518904324,18.0,2.0,1393.0,0.6277154746460176,53.0,6.653803310490921,2.0952942734506244,60.347133382679374,112.07153300000003,6.960852653060803,0.14730386435985565,0.17844411100001206,1000000.0
8.0,10,4.0,54.0,27.328846580645163,0.0,6.0,0.0,1.0,16.0,50.0,44.735145896597544,0.0,1.0,9.0,1.7838951040938655,28.0,2.0,0.0,0.6277154746460176,30.0,8.013844407477112,2.0952942734506244,94.09617002735325,111.96056200000002,4.651655702559637,0.43095409870147705,0.21810978583203805,1000000.0
6.0,10,4.0,59.0,27.32884658064516,0.0,5.0,0.0,2.0,20.0,122.0,11.0,1.0,1.0,9.0,1.0492070593256673,24.0,3.0,0.0,0.6277154746460176,65.0,2.070320794498521,2.0952942734506244,60.33826644055098,113.34015100000002,4.415496614246974,0.5183887481689453,0.19050093614789945,1000000.0
7.0,10,4.0,70.0,27.32884658064516,43.380983574207406,5.0,1.0,0.0,22.0,100.0,13.0,1.0,1.0,0.0,1.63027903036793,11.0,15.0,408.0,0.6277154746460176,30.0,8.322631195375113,2.0952942734506244,16.381531195655075,104.909521,6.491359037758806,0.40785345435142517,0.19140470677867652,1000000.0
6.75442357809079,10,4.0,66.0,27.32884658064516,0.0,5.0,0.0,0.0,30.0,94.0,16.0,1.0,1.0,5.0,0.5268511747872549,29.0,1.0,0.0,0.6277154746460176,70.0,3.2841137334331463,2.0952942734506244,35.31883889909314,112.753552,4.951186209120335,0.411769300699234,0.21575123069760815,1000000.0
8.467615926969692,10,4.0,54.0,27.32884658064516,0.0,8.0,0.0,2.0,28.0,61.0,32.0,0.0,1.0,9.0,0.4548452473329736,18.0,1.0,0.0,0.6277154746460176,31.0,2.875024004409695,2.0952942734506244,57.76508780458393,111.82806599999999,5.187345297432998,0.42888501286506653,0.18989335371598437,1000000.0
5.0,10,4.0,83.9887851636149,27.32884658064516,0.0,6.0,0.0,0.0,18.0,85.0,12.0,1.0,1.0,9.0,1.3362310960075179,17.0,2.0,0.0,0.6277154746460176,57.0,6.777274128690623,2.0952942734506244,64.36125189632993,112.69505300000003,4.415496614246974,0.44806981086730957,0.20281235805889014,1000000.0
9.635405789995154,10,4.0,56.0,27.32884658064516,16.43838715862955,4.0,1.0,0.0,13.0,124.0,15.0,1.0,1.0,5.0,0.24687952681398873,8.0,2.0,189.0,0.6277154746460176,45.0,6.430541958379755,2.0952942734506244,53.70850258085342,109.876937,6.753012046531705,0.11452014744281769,0.2039715377540984,1000000.0
6.0,10,4.0,68.87059739628684,27.32884658064516,39.032278350549824,13.0,1.0,0.0,12.0,101.0,23.0,1.0,1.0,0.0,0.12785735505650653,19.0,2.0,264.0,0.6277154746460176,54.0,2.9665879346558555,2.0952942734506244,63.42047013821561,111.78224300000004,6.960852653060803,0.14669539034366608,0.13499133040926004,1000000.0
11.53549728550525,10,4.0,53.0,27.32884658064516,0.0,13.0,0.0,1.0,36.0,97.0,37.0,0.0,1.0,2.0,1.3183262680188368,31.0,0.0,0.0,0.6277154746460176,74.0,2.2717185189486964,2.0952942734506244,14.021599788549043,111.01251300000001,2.497878373722831,1.0962690114974976,0.18333727491442972,1000000.0
5.0,10,4.0,63.0,27.32884658064516,44.64946849131749,6.0,1.0,2.0,16.0,118.0,31.0,0.0,1.0,4.0,1.9700128364041778,18.0,3.0,811.0,0.6277154746460176,69.0,5.8795632075119615,2.0952942734506244,35.00237356547155,110.12524700000003,6.960852653060803,0.4127664268016815,0.15859853931879989,1000000.0
7.0,10,4.0,74.96715905079482,27.32884658064516,0.0,8.0,0.0,0.0,18.0,92.0,40.98052999256599,1.0,1.0,5.0,0.11216016036896592,17.0,3.0,0.0,0.6277154746460176,65.0,7.657420074410031,2.0952942734506244,85.86626981639508,113.61585200000002,4.415496614246974,0.5344568490982056,0.21374947516337084,24.32540050048056
7.0,10,4.0,79.14418642734171,27.32884658064516,0.0,2.0,0.0,0.0,2.0,47.0,22.0,1.0,1.0,9.0,1.4459371112799513,29.0,2.0,0.0,0.6277154746460176,31.0,3.0963582861388215,2.0952942734506244,43.094041989847184,111.49704500000001,4.415496614246974,0.43095409870147705,0.23226369659149054,1000000.0
7.0,10,4.0,74.49360762281833,27.32884658064516,0.0,14.0,0.0,2.0,25.0,87.0,20.0,1.0,1.0,2.0,0.7842587805965051,14.0,2.0,0.0,0.6277154746460176,84.0,9.307380915391825,2.0952942734506244,17.330539423592455,113.66685900000002,4.697500755732185,0.42662346363067627,0.20691335675225833,1000000.0
8.7844997579957,10,4.0,81.87912987680221,27.32884658064516,0.0,2.0,0.0,0.0,11.0,74.0,15.0,1.0,1.0,9.0,0.5202656215972608,23.0,3.0,0.0,0.6277154746460176,64.0,7.068570023237298,2.0952942734506244,70.47271083921055,111.257569,4.651655702559637,0.574023425579071,0.2126276494283255,1000000.0
7.0,10,4.0,60.0,27.32884658064516,51.98563063936481,4.0,1.0,1.0,20.0,90.0,17.0,1.0,1.0,4.0,1.2531209557428136,13.0,3.0,1005.0,0.6277154746460176,52.0,5.7075868801413785,2.0952942734506244,28.70290345537575,111.74881900000004,7.242856794546014,0.40785345435142517,0.17721953847644573,1000000.0
6.0,10,4.0,70.3372802867199,27.32884658064516,0.0,0.0,0.0,0.0,11.0,81.0,13.0,1.0,1.0,9.0,1.299036454326655,12.0,2.0,0.0,0.6277154746460176,57.0,4.689434845015459,2.0952942734506244,53.67703860513098,112.64851700000001,4.697500755732185,0.44806981086730957,0.2218401660985641,1000000.0
7.0,10,4.0,69.0,27.32884658064516,0.0,14.0,0.0,2.0,21.0,115.0,23.0,0.0,1.0,3.0,0.029705957993443333,7.0,2.0,0.0,0.6277154746460176,79.0,2.653808055681864,2.0952942734506244,16.775809600052323,111.70700700000003,4.191573050768411,0.42805108428001404,0.15118291898723726,1000000.0
5.0,10,4.0,76.13089638194933,27.32884658064516,0.0,6.0,0.0,2.0,38.0,83.0,20.0,0.0,1.0,9.0,1.544962271893928,31.0,1.0,0.0,0.6277154746460176,42.0,3.5478666445181632,2.0952942734506244,19.350933921691645,111.534243,4.951186209120335,0.4332156479358673,0.16832469988487755,1000000.0
7.0,10,4.0,75.52028141411975,27.32884658064516,30.794272274012787,8.0,1.0,0.0,18.0,32.0,34.0,1.0,1.0,3.0,1.920868779614688,28.0,3.0,45.0,0.6277154746460176,31.0,8.335230840586442,2.0952942734506244,29.944494249098348,109.20196700000001,6.960852653060803,0.5615314245223999,0.21041258326712065,1000000.0
8.0,10,4.0,63.0,27.32884658064516,0.0,13.0,0.0,2.0,14.0,88.0,14.0,1.0,1.0,5.0,0.3443833772924858,16.0,2.0,0.0,0.6277154746460176,75.0,8.291698409489037,2.0952942734506244,68.29685619112695,113.70722900000003,4.933659844044848,0.42662346363067627,0.21148553570087286,1000000.0
8.0,10,4.0,52.0,27.32884658064516,0.0,5.0,0.0,0.0,18.0,106.0,35.0,1.0,1.0,0.0,1.6088567530586917,12.0,1.0,0.0,0.6277154746460176,50.0,2.720792735181773,2.0952942734506244,63.21128983720172,112.422511,5.469349438918209,0.45033136010169983,0.25537643225226503,1000000.0
6.0,10,4.0,67.0,27.32884658064516,0.0,13.0,0.0,1.0,13.0,82.0,37.0,0.0,1.0,0.0,1.0015687910002493,10.0,1.0,0.0,0.6277154746460176,65.0,9.47851698097069,2.0952942734506244,47.52286912454526,111.95054900000001,4.307347527500702,0.42888501286506653,0.17915162290478517,1000000.0
8.0,10,4.0,66.0,27.32884658064516,0.0,3.0,0.0,2.0,2.0,133.0,29.0,0.0,1.0,2.0,1.7933282106349253,31.0,1.0,0.0,0.6277154746460176,41.0,3.76353602490175,2.0952942734506244,11.361816568438933,111.813493,5.187345297432998,0.4332156479358673,0.2480971868604005,1000000.0
7.0,10,4.0,59.0,27.32884658064516,0.0,6.0,0.0,1.0,33.0,92.0,26.0,0.0,1.0,4.0,1.8838197526025182,22.0,0.0,0.0,0.6277154746460176,53.0,6.355553434459298,2.0952942734506244,82.84263703025486,112.32717500000001,1.8134555509259593,1.2076810598373413,0.1944799587840575,1000000.0
8.574626648357405,10,4.0,58.0,27.32884658064516,0.0,2.0,0.0,0.0,20.0,105.0,29.0,1.0,1.0,4.0,1.349726248367141,22.0,1.0,0.0,0.6277154746460176,30.0,9.827304472754204,2.0952942734506244,62.614134687194465,109.40448,5.187345297432998,0.41730836033821106,0.2343943459244291,1000000.0
5.0,10,4.0,80.8773403512175,27.32884658064516,0.0,3.0,0.0,2.0,13.0,78.0,42.4671845467774,0.0,1.0,3.0,0.815079953683503,12.0,2.0,0.0,0.6277154746460176,69.0,5.645540491502769,2.0952942734506244,88.98124859043354,112.81461300000002,4.697500755732185,0.42662346363067627,0.17928020025370578,25.872634028799155
6.0,10,4.0,69.0,27.32884658064516,0.0,5.0,0.0,1.0,19.0,110.0,42.72567585535303,1.0,1.0,0.0,0.11576770716553186,18.0,3.0,0.0,0.6277154746460176,62.0,3.974944990594748,2.0952942734506244,89.52286394902882,113.32001200000002,4.415496614246974,0.5344568490982056,0.190914956673357,23.238174061647392
