V4_Ventilation Day,M1_is Enclosed,V3_Ventilation Duration (min),Turning times,Period (d),Material_Main,V1_Ventilation Type,Additive_4, Composting Method,Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial GI (%),Additive_2,Additive_3,Material_2,Material_3,Initial pH,Initial C/N (%),Additive_1,Compost volume (m3),V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
16.0,0.0,0.0,9.0,38.0,7,0.0,1.0,1.0,7.8226426785405465,0.9078466232279321,52.0,27.32884658064516,1.0,4.0,12.0,9.0,5.0,33.0,14.0,0.6292491869918699,0.0,2.4967368849582217,88.93502442283531,98.363463,5.314367553021109,0.6703676581382751,0.18106996995993357,1000000.0
14.0,1.0,0.0,13.0,101.0,7,0.0,1.0,0.0,2.926525060502013,0.36945244829245927,62.0,27.32884658064516,10.0,4.0,2.0,9.0,9.19974656896815,31.0,16.0,0.6292491869918699,0.0,2.4967368849582217,34.10353617866344,95.397901,5.303990411769459,0.8635810613632202,0.23395307457581865,1000000.0
0.0,1.0,0.0,15.0,127.0,7,2.0,1.0,2.0,5.185338292487616,0.0,59.0,27.32884658064516,7.0,4.0,13.0,9.0,5.0,24.0,15.0,0.6292491869918699,0.0,2.4967368849582217,72.60570551810301,96.909633,7.739276406201424,0.29840168356895447,0.21226608239416564,1000000.0
0.0,1.0,0.0,10.0,93.0,7,2.0,1.0,1.0,8.941674301209787,0.0,54.0,27.32884658064516,8.0,4.0,3.0,9.0,10.13740087446553,39.0,33.0,0.6292491869918699,0.0,2.4967368849582217,56.423057607974535,96.52855399999999,5.770163505661858,0.3050525188446045,0.20840295623278277,1000000.0
31.0,1.0,0.0,3.0,45.0,7,0.0,1.0,0.0,6.117176526280367,0.43831702481342605,51.0,27.32884658064516,9.0,4.0,2.0,9.0,10.068679182558146,43.43689864027608,23.0,0.6292491869918699,0.0,2.4967368849582217,108.45050700336891,97.480875,6.747490555869447,0.6732967495918274,0.22216809410852645,17.584198499110467
0.0,1.0,0.0,8.0,114.0,7,2.0,1.0,2.0,8.074712648566088,0.0,58.0,27.32884658064516,5.0,4.0,2.0,9.0,5.0,35.0,33.0,0.6292491869918699,0.0,2.4967368849582217,84.87444139167786,98.63634900000002,5.770163505661858,0.29255956411361694,0.1885442579579269,1000000.0
0.0,0.0,0.0,18.0,16.0,7,2.0,1.0,1.0,7.787261371718861,0.0,54.0,27.32884658064516,11.0,4.0,13.0,9.0,6.942314783232484,43.20192722398892,33.0,0.6292491869918699,0.0,2.4967368849582217,107.86384520141388,95.87982399999999,4.337040502813519,0.29307782649993896,0.1685482261475544,26.551097073755187
0.0,1.0,0.0,20.0,89.0,7,2.0,1.0,1.0,7.722314126457788,0.0,72.64682443753715,27.32884658064516,12.0,4.0,0.0,9.0,11.144946709075846,24.0,30.0,0.6292491869918699,0.0,2.4967368849582217,35.858781925478645,95.782674,5.770163505661858,0.2558042109012604,0.220670607755741,1000000.0
2.0,1.0,0.0,7.0,130.0,7,0.0,1.0,0.0,6.821451946998208,1.4885174347112673,83.47337729040876,27.32884658064516,5.0,4.0,4.0,9.0,5.0,11.906812852804688,6.0,0.6292491869918699,0.0,2.4967368849582217,56.12415701863461,97.79294300000001,5.8053667557891675,0.7707198262214661,0.1946532084891443,1000000.0
61.0,0.0,0.6208082796741761,13.0,73.0,7,0.0,1.0,1.0,5.140380710632875,1.1652690284641332,64.22263332177825,27.32884658064516,10.0,4.0,6.0,9.0,5.0,23.0,11.0,0.6292491869918699,0.0,2.4967368849582217,47.26394080815113,96.36990999999998,5.510803935899264,0.8831959366798401,0.18114862908701454,1000000.0
26.0,1.0,1.2295042704288983,29.0,59.0,7,1.0,1.0,2.0,7.385909660392418,0.6011390381670378,51.0,27.32884658064516,8.0,4.0,2.0,9.0,5.0,40.0,16.0,0.6292491869918699,798.0,2.4967368849582217,61.244578564105105,95.582311,8.693604988787412,0.758165717124939,0.17024200874904605,1000000.0
31.0,1.0,0.0,11.0,106.0,7,0.0,1.0,0.0,6.809657552919887,1.1310166540409825,70.0,27.32884658064516,6.0,4.0,12.0,9.0,5.0,29.0,19.0,0.6292491869918699,0.0,2.4967368849582217,73.51099973179362,97.86058999999999,7.133060231401113,0.7736740112304688,0.2171968051746152,1000000.0
53.0,1.0,0.0,26.0,94.0,7,0.0,1.0,0.0,7.493054192401612,1.2256590825853693,70.0,27.32884658064516,7.0,4.0,0.0,4.0,5.0,41.40352381079024,24.0,0.6292491869918699,0.0,2.4967368849582217,100.22940186192234,97.51259100000003,9.833179784829282,0.5687426924705505,0.18704999128627123,1000000.0
0.0,1.0,0.0,26.0,17.0,7,2.0,1.0,0.0,7.136776070926783,0.0,72.24083500848101,27.32884658064516,0.0,4.0,13.0,3.0,5.0,35.0,12.0,0.6292491869918699,0.0,2.4967368849582217,88.64943638733241,97.81079300000005,9.671948816010525,0.2956641614437103,0.17970927081359078,1000000.0
26.0,0.0,0.0,9.0,76.0,7,0.0,1.0,2.0,3.2879590630833633,0.5784017360868867,83.50140058229792,27.32884658064516,11.0,4.0,13.0,9.0,7.0,45.27543995086676,17.0,0.6292491869918699,0.0,2.4967368849582217,113.0408609080401,96.13331399999998,4.628328534013878,0.9674057960510254,0.20746731051143835,20.933334240349414
30.0,0.0,1.5014257742498316,3.0,101.0,7,1.0,1.0,1.0,7.582476386811059,1.6429544759292267,78.63365339189929,27.32884658064516,11.0,4.0,2.0,0.0,5.0,40.0,27.0,0.6292491869918699,38.0,2.4967368849582217,54.35014460399906,95.13101600000002,11.231244082896003,0.7757788300514221,0.15011393712658003,1000000.0
0.0,1.0,0.0,24.0,19.0,7,2.0,1.0,2.0,4.4571140285538045,0.0,52.0,27.32884658064516,12.0,4.0,0.0,2.0,5.0,44.815385372411306,15.0,0.6292491869918699,0.0,2.4967368849582217,111.89222567291645,97.54468100000003,7.109144500424878,0.11320118606090546,0.19574577004338475,25.448338852753217
0.0,1.0,0.0,17.0,117.0,7,2.0,1.0,0.0,2.7893647910232335,0.0,73.80981531888386,27.32884658064516,0.0,4.0,14.0,9.0,7.0,35.0,14.0,0.6292491869918699,0.0,2.4967368849582217,32.53446040553037,100.21048400000001,6.727021976400491,0.2700856029987335,0.21597455735100662,1000000.0
43.0,1.0,0.0,3.0,84.0,7,0.0,1.0,2.0,6.756694535724298,1.5587311737603733,78.90011700888607,27.32884658064516,8.0,4.0,14.0,9.0,8.0,33.0,7.0,0.6292491869918699,0.0,2.4967368849582217,47.32393542267065,97.14442600000005,7.133060231401113,0.7736740112304688,0.1952416872262898,1000000.0
0.0,1.0,0.0,30.0,110.0,7,2.0,1.0,0.0,6.74775617954845,0.0,73.83169208876413,27.32884658064516,9.0,4.0,2.0,9.0,8.0,43.630765248622644,17.0,0.6292491869918699,0.0,2.4967368849582217,108.93454091518953,97.474198,5.770163505661858,0.2931499183177948,0.21537395023761993,17.16458670667626
64.0,1.0,0.0,19.0,65.0,7,0.0,1.0,2.0,3.4167844393685285,1.507810401990804,60.0,27.32884658064516,15.0,4.0,14.0,0.0,5.0,41.858940702384295,31.0,0.6292491869918699,0.0,2.4967368849582217,104.51076121692188,94.73156400000002,9.766191269850728,0.8655914664268494,0.1844497571244641,26.93672270910755
0.0,1.0,0.0,22.0,63.0,7,2.0,1.0,1.0,7.897559443849657,0.0,72.01985938159365,27.32884658064516,5.0,4.0,5.0,9.0,8.0,43.87228768276813,13.0,0.6292491869918699,0.0,2.4967368849582217,109.53755888506547,96.111844,5.770163505661858,0.2931499183177948,0.21679310142853925,17.68688210545473
33.0,0.0,0.0,8.0,130.0,7,0.0,1.0,1.0,6.523203495796003,0.02960156647801937,61.0,27.32884658064516,7.0,4.0,8.0,9.0,5.0,32.0,17.0,0.6292491869918699,0.0,2.4967368849582217,13.119291515599468,96.88371299999999,4.9477464496124455,0.6698493957519531,0.18748671731052682,1000000.0
26.0,0.0,0.0,2.0,34.0,7,0.0,1.0,2.0,8.796430416156952,1.6169493243584605,70.0,27.32884658064516,11.0,4.0,12.0,9.0,5.0,21.0,4.0,0.6292491869918699,0.0,2.4967368849582217,91.33194480157292,97.36031400000003,5.314367553021109,0.7920335531234741,0.1825335867620249,1000000.0
53.0,1.0,0.0,5.0,85.0,7,0.0,1.0,0.0,9.659508698743288,1.0900388621201695,50.0,27.32884658064516,1.0,4.0,6.0,9.0,8.918205704778554,40.85780640045631,36.0,0.6292491869918699,0.0,2.4967368849582217,102.01119227850138,97.78012999999997,6.727550645377689,0.6834490895271301,0.19907594887865626,22.845090639243086
0.0,1.0,0.0,10.0,63.0,7,2.0,1.0,2.0,3.8993934822383385,0.0,60.83023265219208,27.32884658064516,0.0,4.0,13.0,9.0,9.490337622563278,25.0,4.0,0.6292491869918699,0.0,2.4967368849582217,54.60958322847644,96.58854500000001,7.429864067284274,0.26949524879455566,0.1858598405394886,1000000.0
18.0,1.0,0.0,6.0,52.0,7,0.0,1.0,0.0,7.2270081411214235,1.7196175843360002,61.0,27.32884658064516,0.0,4.0,4.0,9.0,11.164042744410963,24.0,2.0,0.6292491869918699,0.0,2.4967368849582217,49.79565442399239,98.14453800000003,7.872140047823107,1.3621844053268433,0.2513672407296483,1000000.0
64.0,0.0,0.0,21.0,65.0,7,0.0,1.0,1.0,5.327348730691034,0.8067069730387186,66.0,27.32884658064516,0.0,4.0,2.0,2.0,7.0,43.34383041338155,18.0,0.6292491869918699,0.0,2.4967368849582217,108.21814012846369,97.26079900000005,10.773652071232343,0.9892933964729309,0.19839819374096157,24.57685176599626
74.0,1.0,0.0,17.0,92.0,7,0.0,1.0,1.0,9.505854041583634,0.2892619292042442,51.0,27.32884658064516,0.0,4.0,12.0,9.0,8.430241497830972,28.0,20.0,0.6292491869918699,0.0,2.4967368849582217,80.25348865284751,98.35046200000001,8.257709723354772,0.6412129998207092,0.19158479588455374,1000000.0
0.0,0.0,0.0,1.0,48.0,7,2.0,1.0,1.0,8.714957137751316,0.0,55.0,27.32884658064516,0.0,4.0,2.0,9.0,9.21815066659676,40.18414691827249,35.0,0.6292491869918699,0.0,2.4967368849582217,100.32924180143118,99.91872800000002,6.663176375779954,0.29436415433883667,0.19784746811997642,17.86882854566868
0.0,1.0,0.0,23.0,44.0,7,2.0,1.0,0.0,5.4720762049592135,0.0,80.42203265940907,27.32884658064516,12.0,4.0,5.0,9.0,5.0,22.0,23.0,0.6292491869918699,0.0,2.4967368849582217,13.879233412261406,96.56091899999997,7.353706730669755,0.2989920377731323,0.22290222129530007,1000000.0
34.0,1.0,0.0,0.0,121.0,7,0.0,1.0,0.0,6.018118713179432,0.9429581102660682,50.0,27.32884658064516,7.0,4.0,2.0,9.0,9.256148370504341,16.0,7.0,0.6292491869918699,0.0,2.4967368849582217,72.18435485296594,96.82514400000004,6.296929417104972,0.6405211687088013,0.16739256644852663,1000000.0
0.0,1.0,0.0,30.0,81.0,7,2.0,1.0,0.0,2.5831583763769927,0.0,70.47873581233054,27.32884658064516,15.0,4.0,2.0,0.0,5.0,41.39960625159455,14.0,0.6292491869918699,0.0,2.4967368849582217,103.36392395110309,95.75208400000002,6.528431582520946,0.13475142419338226,0.19127682338803967,19.987454931530532
0.0,1.0,0.0,21.0,72.0,7,2.0,1.0,2.0,5.345389241954541,0.0,83.38671983212828,27.32884658064516,15.0,4.0,0.0,9.0,10.211085287223959,44.621698569054466,20.0,0.6292491869918699,0.0,2.4967368849582217,111.40864068684579,97.93736799999999,7.353706730669755,0.2616463303565979,0.21828175838696365,20.244902001761048
0.0,1.0,0.0,11.0,23.0,7,2.0,1.0,2.0,4.856140595099243,0.0,79.44228483144519,27.32884658064516,10.0,4.0,12.0,9.0,5.0,18.0,8.0,0.6292491869918699,0.0,2.4967368849582217,13.38890785191642,96.38186999999999,7.739276406201424,0.2993665039539337,0.20442781657583772,1000000.0
0.0,1.0,0.0,11.0,76.0,7,2.0,1.0,2.0,4.161295448449893,0.0,63.0,27.32884658064516,1.0,4.0,6.0,9.0,5.0,26.0,35.0,0.6292491869918699,0.0,2.4967368849582217,88.31820923553137,97.65935499999999,6.104610225375703,0.2787868082523346,0.20512726866544104,1000000.0
41.0,1.0,0.0,10.0,120.0,7,0.0,1.0,0.0,9.296251343978442,1.2378761810774033,50.00000000000001,27.32884658064516,15.0,4.0,4.0,9.0,5.0,42.62546207509932,19.0,0.6292491869918699,0.0,2.4967368849582217,106.4245634012883,99.524152,6.727550645377689,0.6823424100875854,0.21628024334289564,23.16438912397445
0.0,1.0,0.0,2.0,41.0,7,2.0,1.0,2.0,2.6008217339718716,0.0,66.0,27.32884658064516,0.0,4.0,5.0,9.0,6.0,39.0,13.0,0.6292491869918699,0.0,2.4967368849582217,13.605813720288452,96.713208,6.341452300868827,0.26949524879455566,0.2041358892764074,1000000.0
11.0,0.0,0.0,24.0,121.0,7,0.0,1.0,2.0,5.117262047600084,0.8618394213466349,81.46859438551414,27.32884658064516,0.0,4.0,8.0,9.0,9.022242011568505,45.03840426951253,10.0,0.6292491869918699,0.0,2.4967368849582217,112.4490451793518,99.24470299999999,8.560562265223167,0.9447586536407471,0.20000049197682818,22.7124005024129
0.0,1.0,0.0,5.0,121.0,7,2.0,1.0,2.0,4.512144756496675,0.0,60.0,27.32884658064516,3.0,4.0,2.0,9.0,8.0,44.56366285950125,11.0,0.6292491869918699,0.0,2.4967368849582217,111.26374079015955,97.45448699999999,7.353706730669755,0.29840168356895447,0.23646823731006547,13.485847267182521
0.0,1.0,0.0,5.0,19.0,7,2.0,1.0,2.0,5.631817250700294,0.0,74.93519092007831,27.32884658064516,11.0,4.0,2.0,9.0,5.0,28.0,25.0,0.6292491869918699,0.0,2.4967368849582217,23.76887580476321,98.398795,5.770163505661858,0.29465609788894653,0.23195319746446175,1000000.0
38.0,0.0,0.0,10.0,85.0,7,0.0,1.0,2.0,3.3276836725001075,0.2277552465270023,56.0,27.32884658064516,2.0,4.0,0.0,9.0,11.99637917892302,40.0,37.0,0.6292491869918699,0.0,2.4967368849582217,37.80457639439707,96.73424999999999,4.261707430605215,0.47172245383262634,0.18249073063351826,1000000.0
0.0,1.0,0.0,25.0,74.0,7,2.0,1.0,1.0,3.168178590977039,0.0,65.0,27.32884658064516,13.0,4.0,8.0,4.0,5.0,42.448359149533616,31.0,0.6292491869918699,0.0,2.4967368849582217,105.98238399459439,95.637465,7.185542781737847,0.2787868082523346,0.19863704681355807,22.100987864276835
0.0,1.0,0.0,25.0,32.0,7,2.0,1.0,1.0,7.6412007093166325,0.0,57.0,27.32884658064516,0.0,4.0,0.0,9.0,7.0,44.00598435625832,12.0,0.6292491869918699,0.0,2.4967368849582217,109.87136430116462,101.13675,6.894812997615518,0.20226001739501953,0.20471074287863927,22.83609229502748
0.0,1.0,0.0,1.0,60.0,7,2.0,1.0,1.0,6.221699180774105,0.0,76.83426690653205,27.32884658064516,15.0,4.0,6.0,9.0,5.0,16.0,21.0,0.6292491869918699,0.0,2.4967368849582217,82.48586507100087,96.80873899999999,5.770163505661858,0.2590589225292206,0.20378070837526913,1000000.0
0.0,1.0,0.0,4.0,130.0,7,2.0,1.0,2.0,4.827185069129812,0.0,63.0,27.32884658064516,15.0,4.0,3.0,9.0,7.0,40.0,7.0,0.6292491869918699,0.0,2.4967368849582217,26.23108956317156,96.63655500000004,7.353706730669755,0.29840168356895447,0.237806103152845,1000000.0
0.0,0.0,0.0,19.0,52.0,7,2.0,1.0,2.0,7.288842044334601,0.0,82.55011677466791,27.32884658064516,0.0,4.0,13.0,9.0,10.792443583200315,28.0,11.0,0.6292491869918699,0.0,2.4967368849582217,35.58353482406986,97.208923,7.029797479188617,0.2824614942073822,0.1848611511311295,1000000.0
41.0,1.0,0.0,11.0,104.0,7,0.0,1.0,1.0,4.549958993569257,0.02648133422411325,63.0,27.328846580645163,0.0,4.0,14.0,2.0,7.000000000000001,43.200634918640056,38.0,0.6292491869918699,0.0,2.4967368849582217,107.86061865498274,98.55815800000003,11.92027618678685,0.8860588073730469,0.17794443216057254,23.015674050785247
8.0,1.0,0.0,12.0,82.0,7,0.0,1.0,2.0,4.743308641628734,0.7989403173955798,61.0,27.32884658064516,6.0,4.0,13.0,9.0,5.0,34.0,24.0,0.6292491869918699,0.0,2.4967368849582217,19.994737151588687,97.637125,7.69611771768794,0.9093350172042847,0.21961637972704426,1000000.0
0.0,0.0,0.0,26.0,59.0,7,2.0,1.0,2.0,9.598196103489435,0.0,64.0,27.32884658064516,0.0,4.0,12.0,9.0,8.934263555424224,31.0,25.0,0.6292491869918699,0.0,2.4967368849582217,60.65899740279347,97.57031599999999,7.029797479188617,0.2949525713920593,0.17447503659647426,1000000.0
0.0,0.0,0.0,24.0,66.0,7,2.0,1.0,2.0,6.092034233176865,0.0,73.51626578872677,27.32884658064516,7.0,4.0,14.0,9.0,5.0,40.0,2.0,0.6292491869918699,0.0,2.4967368849582217,36.102275958957605,97.26952600000004,4.337040502813519,0.3554573357105255,0.14381735884572794,1000000.0
0.0,1.0,0.0,20.0,121.0,7,2.0,1.0,0.0,6.916188865801723,0.0,69.0,27.32884658064516,1.0,4.0,0.0,9.0,9.115987135573295,15.0,14.0,0.6292491869918699,0.0,2.4967368849582217,51.01075115772489,97.04961599999999,5.770163505661858,0.253784716129303,0.1990228072897772,1000000.0
