Feature,Mean_MinDepth,Tree1_MinDepth,Tree2_MinDepth,Tree3_MinDepth,Tree4_MinDepth,Tree5_MinDepth,Tree6_MinDepth,Tree7_MinDepth,Tree8_MinDepth,Tree9_MinDepth,Tree10_MinDepth,Tree11_MinDepth,Tree12_MinDepth,Tree13_MinDepth,Tree14_MinDepth,Tree15_MinDepth,Tree16_MinDepth,Tree17_MinDepth,Tree18_MinDepth,Tree19_MinDepth,Tree20_MinDepth,Tree21_MinDepth,Tree22_MinDepth,Tree23_MinDepth,Tree24_MinDepth,Tree25_MinDepth,Tree26_MinDepth,Tree27_MinDepth,Tree28_MinDepth,Tree29_MinDepth,Tree30_MinDepth,Tree31_MinDepth,Tree32_MinDepth,Tree33_MinDepth,Tree34_MinDepth,Tree35_MinDepth,Tree36_MinDepth,Tree37_MinDepth,Tree38_MinDepth,Tree39_MinDepth,Tree40_MinDepth,Tree41_MinDepth,Tree42_MinDepth,Tree43_MinDepth,Tree44_MinDepth,Tree45_MinDepth,Tree46_MinDepth,Tree47_MinDepth,Tree48_MinDepth,Tree49_MinDepth,Tree50_MinDepth,Tree51_MinDepth,Tree52_MinDepth,Tree53_MinDepth,Tree54_MinDepth,Tree55_MinDepth,Tree56_MinDepth,Tree57_MinDepth,Tree58_MinDepth,Tree59_MinDepth,Tree60_MinDepth,Tree61_MinDepth,Tree62_MinDepth,Tree63_MinDepth,Tree64_MinDepth,Tree65_MinDepth,Tree66_MinDepth,Tree67_MinDepth,Tree68_MinDepth,Tree69_MinDepth,Tree70_MinDepth,Tree71_MinDepth,Tree72_MinDepth,Tree73_MinDepth,Tree74_MinDepth,Tree75_MinDepth,Tree76_MinDepth,Tree77_MinDepth,Tree78_MinDepth,Tree79_MinDepth,Tree80_MinDepth,Tree81_MinDepth,Tree82_MinDepth,Tree83_MinDepth,Tree84_MinDepth,Tree85_MinDepth,Tree86_MinDepth,Tree87_MinDepth,Tree88_MinDepth,Tree89_MinDepth,Tree90_MinDepth,Tree91_MinDepth,Tree92_MinDepth,Tree93_MinDepth,Tree94_MinDepth,Tree95_MinDepth,Tree96_MinDepth,Tree97_MinDepth,Tree98_MinDepth,Tree99_MinDepth,Tree100_MinDepth
Period (d),11.3,13,11,15,14,16,11,13,13,15,10,13,14,19,12,14,13,12,1,1,13,13,1,13,12,12,14,14,13,11,13,12,1,1,1,12,13,12,14,11,11,12,11,14,12,13,14,12,1,12,17,12,11,14,14,14,16,12,11,10,11,12,12,15,13,12,10,15,15,11,15,12,14,13,13,1,12,10,13,10,13,1,12,1,10,15,13,13,13,1,13,1,13,11,1,14,15,16,12,12,12
V1_Ventilation Type,12.95,13,11,15,14,16,11,13,13,15,10,13,12,19,12,14,13,12,14,13,13,13,16,13,12,12,16,14,13,11,13,12,15,12,12,12,13,12,13,11,11,12,11,14,12,13,14,12,14,12,17,12,11,14,14,14,16,12,11,10,11,12,12,15,13,12,10,15,15,11,15,12,14,13,13,12,12,10,13,10,13,13,12,16,10,15,13,13,13,12,13,17,13,11,17,14,15,12,12,12,12
V4_Ventilation Day,12.53,13,11,15,14,16,11,13,13,15,10,13,12,19,12,7,13,12,14,13,13,13,16,13,12,12,16,14,13,11,13,7,15,12,12,12,13,1,13,11,11,12,11,14,12,13,14,12,14,12,17,12,11,14,14,14,16,12,11,10,11,12,12,7,13,12,10,15,15,11,15,12,14,13,13,12,1,10,13,10,13,13,12,16,10,15,13,13,13,12,13,17,13,11,17,14,15,12,12,12,12
V3_Ventilation Duration (min),12.86,13,11,15,13,16,11,13,13,15,13,13,12,19,12,13,13,12,14,13,13,13,16,13,12,13,16,14,13,11,13,12,15,12,12,13,13,12,13,11,11,12,11,14,12,13,14,12,14,12,13,12,11,14,14,14,16,12,11,10,11,12,12,15,13,12,10,15,15,11,15,12,14,13,13,12,12,10,13,13,13,1,12,16,10,15,13,13,13,12,13,17,13,11,17,14,15,12,13,12,12
Compost volume (m3),13.16,13,11,15,14,16,14,13,13,14,10,13,12,16,14,14,13,12,14,13,13,13,16,13,12,14,16,14,13,11,13,12,15,12,12,14,13,12,13,11,11,12,11,14,12,13,14,12,14,14,17,16,11,14,14,14,16,12,11,10,11,14,12,15,13,12,13,13,15,11,14,14,14,13,14,12,14,10,13,10,13,13,14,16,10,14,13,14,14,12,13,17,13,11,17,14,15,12,12,12,12
Application Rate (%DW),12.79,13,11,15,14,16,11,13,13,7,10,13,12,19,12,14,13,12,14,13,13,13,16,13,12,12,16,14,13,14,13,12,15,12,12,12,13,12,13,11,7,12,11,14,12,13,14,12,14,12,17,12,11,14,14,14,16,12,11,10,11,12,12,15,13,12,10,15,15,7,15,12,14,13,13,12,12,10,13,10,13,13,12,16,7,15,13,13,13,12,13,17,13,11,17,14,15,12,12,12,12
V5_Ventilation rate (L/min/kg iniDW),12.09,13,11,15,7,16,11,7,13,15,10,13,12,19,12,7,13,12,14,13,13,7,16,13,12,12,16,14,13,11,13,12,15,7,12,12,13,12,7,11,7,12,11,14,12,13,7,12,14,12,17,12,11,7,14,14,16,12,11,10,11,12,7,15,13,7,10,15,15,11,15,12,7,13,13,7,12,10,13,10,13,13,12,16,7,15,13,13,13,12,7,17,13,11,17,14,15,12,12,12,12
Initial C/N (%),12.98,13,11,15,14,16,11,13,13,15,10,13,12,19,12,14,13,12,14,13,13,13,16,13,12,12,16,14,13,11,13,12,15,12,12,12,13,12,13,11,11,12,11,14,12,13,14,12,14,12,17,12,11,14,14,14,16,12,11,10,11,12,12,15,13,12,10,15,18,11,15,12,14,13,13,12,12,10,13,10,13,13,12,16,10,15,13,13,13,12,13,17,13,11,17,14,15,12,12,12,12
Initial Moisture Content (%),12.67,7,11,15,14,16,11,13,13,15,10,13,12,19,12,14,13,12,14,1,13,13,16,13,12,12,16,14,13,11,13,12,15,12,12,12,13,12,13,11,11,12,11,14,12,13,14,12,14,12,17,12,11,14,14,14,16,12,11,13,11,12,12,13,13,12,10,15,15,11,15,12,14,13,13,12,12,10,13,10,13,13,12,16,10,15,13,13,13,1,13,17,13,11,17,14,15,12,12,12,12
Initial TN (%),12.55,13,11,15,14,16,11,13,13,15,7,13,12,7,7,14,13,12,14,13,13,13,16,13,12,12,16,14,13,11,13,12,15,12,12,12,7,12,13,11,11,12,11,14,12,13,14,12,14,12,17,12,11,14,14,14,16,12,18,10,11,12,12,15,13,14,10,15,15,11,15,12,14,13,13,12,7,10,13,10,13,13,12,16,10,15,13,13,13,12,13,17,13,11,7,14,7,12,12,12,12
Initial pH,12.98,13,11,15,14,16,11,13,13,15,10,13,12,19,12,14,13,12,14,13,13,13,16,13,12,12,16,14,13,11,13,12,15,12,12,12,13,12,13,11,11,12,11,14,12,13,14,12,14,12,17,12,11,14,14,14,16,12,11,10,11,12,12,15,13,12,10,15,15,11,15,12,14,13,13,12,12,10,13,10,13,13,12,16,10,18,13,13,13,12,13,17,13,11,17,14,15,12,12,12,12
