Material_Main,Turning times,Intermittent ratio,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),Material_2,Application Rate (%DW),Initial C/N (%),Initial Moisture Content (%),Initial TN (%),V5_Ventilation rate (L/min/kg iniDW),Initial pH,Initial TC (%),Additive_1,Initial density (kg/L),Initial GI (%),Final GI (%)
5,7.0,0.04167,0,0,0,0,7,0,7,0.18,1,2.5,27.0,60.0,1.8811,6.25,8.35331,50.7897,16,0.22222,6.30372,57.7
5,7.0,0.04167,0,0,0,0,7,0,7,0.18,1,9.23077,26.0,60.0,1.76278,6.25,8.3426,45.83228,16,0.22222,14.212,63.6
5,7.0,0.04167,0,0,0,0,7,0,7,0.18,1,16.92308,26.3,60.0,1.55575,6.25,8.23822,40.91622,16,0.22222,23.8395,60.5
5,7.0,0.04167,0,0,0,0,7,0,7,0.18,1,24.61538,25.3,60.0,1.48814,6.25,8.19063,37.64994,16,0.22222,46.1891,74.6
2,7.5,2.0,0,0,0,0,4,0,4,0.06,3,0.0,32.46,53.59,1.1,2.20717,7.56646,35.52,0,0.39061,4.40313,86.0078
2,7.5,2.0,0,0,0,0,4,0,4,0.06,3,0.0,20.6533,63.395,2.24958,0.5445,7.41876,42.05173,0,0.31053,3.22896,101.859
2,7.5,2.0,0,0,0,0,4,0,4,0.06,3,4.39684,20.27554,64.194,2.06904,0.48734,7.47389,41.49405,6,0.32037,7.04539,103.327
2,7.5,2.0,0,0,0,0,4,0,4,0.06,3,4.39684,20.27554,64.194,2.06904,0.48734,7.4029,41.49405,11,0.32037,5.87123,87.7691
5,9.25,5.0,0,0,0,0,8,0,8,0.06,3,0.0,14.5,65.0,2.4,0.24,7.80334,34.8,0,0.26525,37.7432,62.2568
5,9.25,5.0,0,0,0,0,8,0,8,0.06,3,0.0,18.09524,65.0,2.1,0.48,7.70334,38.0,0,0.261,33.8521,90.856
5,9.25,5.0,0,0,0,0,8,0,8,0.06,3,0.0,20.73684,65.0,1.9,0.72,7.57234,39.4,0,0.30887,43.9689,83.6576
5,9.25,5.0,0,0,0,0,8,0,8,0.06,3,0.0,18.09524,70.0,2.1,0.24,7.80334,38.0,0,0.26525,40.6615,81.5175
5,9.25,5.0,0,0,0,0,8,0,8,0.06,3,0.0,21.10526,70.0,1.9,0.48,7.51519,40.1,0,0.28408,37.7432,85.7977
