Additive_2,Additive_2_encoded
Biochar,0
Ca-superphosphate,1
Calcium magnesium phosphate fertilizer,2
DCD,3
Ferrous sulfate,4
Gypsum,5
Inorganic acid,6
Mg(OH)₂,7
MgO,8
MgSO₄,9
Microbiological agent,10
None,11
Organic acid,12
Potassium phosphate,13
Sodium humate,14
Zeolite,15
