Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TN loss (%)
10,1,5.06243,0,43.71769,2,23.34776,3.82857,4.36513,7,0.77243,0.76419,64.04016,11.069
10,1,5.06243,0,43.71769,2,23.34776,3.82857,4.36513,7,0.77243,0.76419,64.04016,6.384
10,1,5.06243,0,43.71769,2,23.34776,3.82857,4.36513,7,0.77243,0.76419,64.04016,14.682
7,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,16.0
7,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,53.0
7,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,26.0
7,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,42.0
0,0,5.06243,2,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,22.39929
0,0,5.06243,2,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,20.7
0,0,5.06243,2,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,17.09545
0,0,5.06243,2,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,24.38837
0,0,5.06243,2,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,12.70853
0,0,5.06243,2,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,15.03571
0,0,5.06243,2,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,21.34472
8,1,0.0,0,16.0,0,16.0,0.0,0.0,7,0.1,0.233,61.7,22.49666
8,1,0.0,0,14.0,0,14.0,0.0,10.0,7,0.1,0.233,64.2,10.31193
10,1,9.0,0,18.0,0,18.0,0.0,0.0,7,0.012,0.31,63.74,22.8
10,1,9.0,0,18.0,0,18.0,0.0,5.50258,7,0.012,0.31,63.74,17.6
0,1,0.0,0,15.0,0,15.0,0.0,0.0,11,0.17,0.2885,70.5,24.57547
0,1,0.0,0,15.0,0,15.0,0.0,3.62976,11,0.17,0.29038,71.0,15.09375
0,1,0.0,0,15.0,0,15.0,0.0,7.30994,11,0.17,0.2924,71.5,15.4871
0,1,0.0,0,15.0,0,15.0,0.0,9.97672,11,0.17,0.26605,69.0,12.09124
0,1,0.0,0,15.0,0,15.0,0.0,0.0,11,0.17,0.26377,70.0,15.91628
0,1,0.0,0,15.0,0,15.0,0.0,13.09719,11,0.17,0.28166,71.8,16.07952
0,1,0.0,0,15.0,0,15.0,0.0,24.36647,11,0.17,0.26201,69.6,17.38228
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,21.42857
0,1,0.0,0,15.0,0,6.0,0.0,0.0,11,0.17,0.28948,70.6,20.97044
0,1,0.0,0,15.0,0,6.0,0.0,3.10479,11,0.17,0.28882,70.8,15.50064
0,1,0.0,0,15.0,0,6.0,0.0,3.43688,11,0.17,0.28171,70.1,16.72387
0,1,0.0,0,15.0,0,6.0,0.0,3.68545,11,0.17,0.27867,69.8,15.46387
0,1,0.0,0,15.0,0,15.0,0.0,0.0,11,0.17,0.27765,71.5,20.20988
0,1,0.0,0,15.0,0,15.0,0.0,3.66885,11,0.17,0.28276,72.3,17.13333
0,1,0.0,0,15.0,0,15.0,0.0,7.0174,11,0.17,0.27016,71.3,14.74046
0,1,0.0,0,15.0,0,15.0,0.0,10.35227,11,0.17,0.26561,71.1,16.0
10,0,7.0,1,70.0,0,0.0,0.0,0.0,11,1.2,0.0,68.70741,40.1
10,0,7.0,1,70.0,0,0.0,0.0,3.3,11,1.2,0.0,68.13741,36.4
10,0,7.0,1,70.0,0,0.0,0.0,6.6,11,1.2,0.0,65.79,34.3
10,0,7.0,1,70.0,0,0.0,0.0,9.9,11,1.2,0.0,65.52171,28.1
10,0,7.0,1,70.0,0,0.0,0.0,13.2,11,1.2,0.0,64.64171,21.7
10,0,7.0,1,70.0,0,0.0,0.0,16.5,11,1.2,0.0,64.08171,11.5
8,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,0,0.77243,0.76419,64.04016,40.7
8,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,0,0.77243,0.76419,64.04016,38.3
8,1,0.0,0,42.0,0,21.0,0.0,10.6,0,0.4,2.33616,62.138,32.2
8,1,0.0,0,42.0,0,21.0,0.0,17.7,0,0.4,1.50441,59.331,26.7
8,1,0.0,0,42.0,0,21.0,0.0,24.7,0,0.4,0.72677,59.611,20.4
8,1,0.0,0,42.0,0,21.0,0.0,31.8,0,0.4,0.59301,63.929,14.6
8,1,2.0,0,22.0,0,22.0,0.0,2.0,7,0.0035,0.47142,57.9,3.76
8,1,2.0,0,22.0,0,22.0,0.0,2.0,7,0.0035,0.47142,58.2,4.01
8,1,2.0,0,22.0,0,22.0,0.0,2.0,7,0.0035,0.47142,59.4,24.8
8,1,2.0,0,22.0,0,22.0,0.0,2.0,7,0.0035,0.37733,57.5,28.1
8,1,2.0,0,22.0,0,22.0,0.0,0.0,7,0.0035,0.37584,58.2,44.7
8,1,5.33333,0,16.0,0,16.0,0.0,0.0,7,0.045,0.51546,70.9,24.4
8,1,5.33333,0,16.0,0,16.0,0.0,14.0,7,0.045,0.53004,71.7,9.2
8,1,5.33333,0,16.0,0,16.0,0.0,14.0,7,0.045,0.47319,68.3,8.5
3,1,2.11111,0,19.0,0,19.0,0.0,0.0,4,0.0058,10.0,70.0,49.1
3,1,2.11111,0,19.0,0,19.0,0.0,3.0,4,0.0058,10.0,70.0,40.5
3,1,2.11111,0,19.0,0,19.0,0.0,6.9,4,0.0058,10.0,70.0,40.5
3,1,2.11111,0,19.0,0,19.0,0.0,9.9,4,0.0454,10.0,70.0,18.9
10,1,5.83333,0,35.0,8,35.0,10.0,2.38663,4,0.187,5.96659,58.1,33.01
10,1,5.83333,0,35.0,8,35.0,10.0,14.31981,4,0.187,5.96659,58.1,28.94
10,1,5.83333,0,35.0,8,35.0,10.0,26.25298,4,0.187,5.96659,58.1,21.28
10,1,5.06243,0,43.71769,8,23.34776,3.82857,4.36513,4,0.77243,0.76419,64.04016,17.39
5,0,5.0,1,35.0,0,0.0,0.0,3.01629,11,1.0,0.0,66.8467,15.2
5,0,5.0,1,35.0,0,0.0,0.0,6.06463,11,1.0,0.0,67.0219,10.5
5,0,5.0,1,35.0,0,0.0,0.0,8.86923,11,1.0,0.0,66.1752,9.0
5,0,5.0,1,35.0,0,0.0,0.0,11.87687,11,1.0,0.0,66.3211,4.2
10,0,5.06243,1,43.71769,0,23.34776,3.82857,4.36513,7,0.77243,0.76419,64.04016,42.8
10,0,5.06243,1,43.71769,0,23.34776,3.82857,4.36513,7,0.77243,0.76419,64.04016,41.4
10,0,9.33333,1,112.0,0,0.0,0.0,0.0,7,0.9707,0.0,64.9,46.54838
10,0,9.33333,1,112.0,0,0.0,0.0,2.8169,7,0.9529,0.0,64.5,34.81425
7,1,7.71429,0,54.0,0,54.0,0.0,0.0,11,0.0863,0.05,65.0,53.83
7,1,7.71429,0,54.0,0,54.0,0.0,5.0,11,0.0918,0.05,65.0,47.08
10,1,5.06243,1,43.71769,0,23.34776,3.82857,4.36513,7,0.77243,0.76419,64.04016,36.8405
10,1,5.06243,1,43.71769,0,23.34776,3.82857,4.36513,7,0.77243,0.76419,64.04016,26.4139
10,1,7.0,1,56.0,0,28.0,0.0,16.95419,7,0.4,5e-05,65.0,16.5561
10,1,7.0,1,56.0,0,28.0,0.0,25.43129,7,0.4,4e-05,65.0,12.5751
10,1,5.06243,1,43.71769,0,23.34776,3.82857,4.36513,7,0.77243,0.76419,64.04016,12.7014
10,1,5.06243,1,43.71769,0,23.34776,3.82857,4.36513,7,0.77243,0.76419,64.04016,9.85783
10,1,5.06243,1,43.71769,0,23.34776,3.82857,4.36513,7,0.77243,0.76419,64.04016,18.3255
3,1,3.88889,0,35.0,0,35.0,0.0,2.25,7,0.02,0.5,66.142,44.2829
3,1,3.88889,0,35.0,0,35.0,0.0,1.8209,7,0.02,0.5,66.828,0.2907
3,1,3.88889,0,35.0,0,35.0,0.0,2.5709,7,0.02,0.5,66.218,19.0891
3,1,3.88889,0,35.0,0,35.0,0.0,3.3209,7,0.02,0.5,66.342,27.3256
3,1,3.88889,0,35.0,0,35.0,0.0,4.0709,7,0.02,0.5,65.056,47.9651
10,1,6.66667,0,40.0,10,30.0,30.0,0.0,11,0.33594,7.69231,64.54545,53.1
10,1,6.66667,0,40.0,10,30.0,30.0,6.0,11,0.38138,7.31707,63.55556,36.2
10,1,6.66667,0,40.0,10,30.0,30.0,15.0,11,0.2107,6.81818,62.06897,46.5
10,1,6.66667,0,40.0,10,30.0,30.0,1.46082,11,0.33817,7.79221,65.17413,41.5
5,0,7.0,1,28.0,0,0.0,0.0,0.0,11,1.0,0.0,65.0,19.53
5,0,7.0,1,28.0,0,0.0,0.0,6.0,11,1.0,0.0,63.52779,22.53
5,0,7.0,1,28.0,0,0.0,0.0,18.0,11,1.0,0.0,61.76979,20.85
5,0,7.0,1,28.0,0,0.0,0.0,30.0,11,1.0,0.0,60.61594,19.4
5,0,7.0,1,28.0,0,0.0,0.0,42.0,11,1.0,0.0,61.5,16.26
5,0,5.06243,1,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,14.85
10,1,7.0,0,28.0,0,28.0,0.0,0.0,7,1.8,0.20354,63.2432,19.5
10,1,7.0,0,28.0,0,28.0,0.0,0.69203,7,1.8,0.20761,64.0541,18.5
8,1,5.09091,0,56.0,0,56.0,4.5,0.0,11,0.13,1.11111,55.0,6.03
8,1,5.09091,0,56.0,0,56.0,0.0,2.0,11,0.13,1.11111,55.0,4.15
8,1,5.09091,0,56.0,0,56.0,1.5,4.0,11,0.13,1.11111,55.0,2.7
8,1,5.09091,0,56.0,0,56.0,1.5,6.0,11,0.13,1.11111,55.0,3.16
8,1,5.09091,0,56.0,0,56.0,0.0,8.0,11,0.13,1.11111,55.0,2.44
8,1,5.09091,0,56.0,0,56.0,1.5,12.0,11,0.13,1.11111,55.0,2.21
8,1,5.09091,0,56.0,0,56.0,0.0,18.0,11,0.13,1.11111,55.0,2.08
4,0,1.86486,1,69.0,0,0.0,0.0,0.0,2,0.08,0.0,80.7,24.05063
4,0,1.86486,1,69.0,0,0.0,0.0,3.0,2,0.08,0.0,80.7,17.24138
4,0,1.86486,1,69.0,0,0.0,0.0,4.0,2,0.08,0.0,80.7,11.63934
4,0,1.86486,1,69.0,0,0.0,0.0,3.0,2,0.08,0.0,80.7,18.1
10,1,8.75,0,35.0,0,35.0,0.0,0.0,11,0.06,0.3,69.2,37.5
10,1,8.75,0,35.0,0,35.0,0.0,1.104,11,0.06,0.3,69.2,18.8
10,1,8.75,0,35.0,0,35.0,0.0,1.104,11,0.06,0.3,69.2,20.8
10,1,8.75,0,35.0,0,35.0,0.0,1.104,11,0.06,0.3,69.2,17.6
10,1,8.75,0,35.0,0,35.0,0.0,1.104,11,0.06,0.3,69.2,9.8
10,0,5.46667,2,82.0,0,0.0,0.0,1.37741,7,5.456,0.0,63.7,30.73
10,0,5.46667,2,82.0,0,0.0,0.0,9.64187,7,5.456,0.0,63.7,20.73
10,1,7.14286,0,50.0,8,50.0,10.0,2.5,4,0.18,6.25,60.0,32.19
10,1,7.14286,0,50.0,8,50.0,10.0,2.5,4,0.18,6.25,60.0,20.8
10,1,7.14286,0,50.0,8,50.0,10.0,2.5,4,0.18,6.25,60.0,13.65
10,1,7.14286,0,50.0,8,50.0,10.0,2.5,4,0.18,6.25,60.0,7.66
10,1,7.14286,0,50.0,8,50.0,10.0,2.5,4,0.18,6.25,60.0,20.8
10,1,7.14286,0,50.0,8,50.0,10.0,5.0,4,0.18,6.25,60.0,13.82
10,1,7.14286,0,50.0,8,50.0,10.0,7.5,4,0.18,6.25,60.0,10.57
10,1,7.14286,0,50.0,8,50.0,10.0,10.0,4,0.18,6.25,60.0,9.8
10,1,7.0,0,35.0,8,35.0,10.0,2.5,4,0.18,6.25,60.0,33.01
10,1,7.0,0,35.0,8,35.0,10.0,9.23077,4,0.18,6.25,60.0,28.94
10,1,7.0,0,35.0,8,35.0,10.0,16.92308,4,0.18,6.25,60.0,21.28
10,1,7.0,0,35.0,8,35.0,10.0,24.61538,4,0.18,6.25,60.0,17.39
10,0,1.30645,1,81.0,0,0.0,0.0,0.0,7,16.0,0.0,65.0,34.15
10,0,1.22727,1,81.0,0,0.0,0.0,8.8,7,16.0,0.0,65.0,29.07
0,0,5.55556,1,50.0,0,0.0,0.0,0.0,0,0.06,0.0,60.6,15.0
0,0,5.55556,1,50.0,0,0.0,0.0,25.49,0,0.06,0.0,60.1,10.8
10,1,7.0,0,28.0,0,28.0,0.0,0.0,12,0.06,0.36,62.06,20.29
10,1,7.0,0,28.0,0,28.0,0.0,10.0,12,0.06,0.36,58.69,13.03
8,1,5.09091,0,56.0,0,56.0,0.0,10.0,11,0.1,0.72783,55.0,28.8
8,1,5.09091,0,56.0,0,56.0,0.0,10.0,11,0.1,0.72783,55.0,28.3
8,1,5.09091,0,56.0,0,56.0,0.0,10.0,11,0.1,0.72783,55.0,28.42
3,1,7.5,0,30.0,4,30.0,40.0,0.0,11,0.06,0.54517,53.59,31.94
3,1,7.5,0,30.0,4,30.0,40.0,0.0,11,0.06,0.52357,59.14902,24.55
3,1,7.5,0,30.0,4,30.0,40.0,2.54,11,0.06,0.5724,58.6187,22.86
3,1,7.5,0,30.0,4,30.0,40.0,2.54,11,0.06,0.5724,58.6187,32.13
10,1,17.5,0,35.0,5,35.0,30.0,0.0,11,0.06,0.38,67.6,32.01
10,1,17.5,0,35.0,5,35.0,30.0,0.408,11,0.06,0.38,58.01,20.32
10,1,17.5,0,35.0,5,35.0,30.0,0.408,11,0.06,0.38,58.01,33.29
10,1,17.5,0,35.0,5,35.0,30.0,0.408,11,0.06,0.38,58.01,19.58
10,1,5.6,0,28.0,0,28.0,0.0,0.0,11,0.06,0.48,57.54093,31.5
10,1,5.6,0,28.0,0,28.0,0.0,2.44988,11,0.06,0.48,57.88952,15.82
10,1,5.6,0,28.0,0,28.0,0.0,2.45195,11,0.06,0.48,57.88952,27.47
10,1,5.6,0,28.0,0,28.0,0.0,4.35435,11,0.06,0.48,57.24952,32.42
7,1,0.0,0,21.0,9,21.0,10.0,0.0,0,0.1,0.2,62.52688,23.4
7,1,0.0,0,21.0,9,21.0,10.0,0.25,0,0.1,0.2,62.64853,13.05
7,1,0.0,0,21.0,9,21.0,10.0,5.25,0,0.1,0.2,59.172,6.82
7,1,0.0,0,21.0,9,21.0,10.0,5.0,0,0.1,0.2,59.172,16.78
7,1,21.0,0,42.0,0,42.0,0.0,0.0,11,0.165,0.0702,53.8,48.7
7,1,21.0,0,42.0,0,42.0,0.0,10.8,11,0.165,0.06533,49.3,41.9
7,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,38.3
8,1,5.66667,0,34.0,0,34.0,0.0,0.0,11,0.06,0.27211,65.0,37.08
8,1,5.66667,0,34.0,0,34.0,0.0,10.0,11,0.06,0.26291,65.0,28.22
8,1,5.66667,0,34.0,0,34.0,0.0,10.28571,11,0.06,0.26265,65.0,26.16
8,1,5.66667,0,34.0,0,34.0,0.0,14.57143,11,0.06,0.2589,65.0,24.0
10,1,5.83333,0,35.0,0,0.0,0.0,0.0,11,0.06,0.25,69.2,37.5
10,1,5.83333,0,35.0,0,0.0,0.0,7.8827,11,0.06,0.25,63.55649,18.8
10,1,5.83333,0,35.0,0,0.0,0.0,4.0,11,0.06,0.25,64.27795,24.8
10,1,5.83333,0,35.0,0,0.0,0.0,7.8827,11,0.06,0.25,63.55649,15.5
8,1,5.06243,0,43.71769,11,23.34776,3.82857,4.36513,7,0.77243,0.76419,64.04016,33.4
8,1,5.06243,0,43.71769,11,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,18.5
8,1,5.06243,0,43.71769,11,23.34776,3.82857,4.36513,7,0.77243,0.76419,64.04016,13.8
7,1,5.55556,0,50.0,0,30.6,2.0,0.0,11,0.1,2.037,60.0,41.19
7,1,5.55556,0,50.0,0,45.6,5.0,2.0,11,0.1,3.287,60.0,38.64
7,1,5.55556,0,50.0,0,49.0,7.05,4.0,11,0.1,4.50975,60.0,31.45
7,1,5.55556,0,50.0,0,39.2,7.05,6.0,11,0.1,4.37775,60.0,25.78
7,1,5.55556,0,50.0,0,33.4,3.0,8.0,11,0.1,1.93775,60.0,18.48
7,1,5.55556,0,50.0,0,33.4,3.0,10.0,11,0.1,1.93775,60.0,12.39
10,1,5.55556,0,50.0,0,50.0,0.0,0.0,11,0.1,0.3,55.0,3.27626
10,1,5.55556,0,50.0,0,50.0,0.0,10.0,11,0.1,0.3,59.866,1.86454
10,1,5.55556,0,50.0,0,50.0,0.0,20.0,11,0.1,0.3,60.907,1.06012
10,1,5.55556,0,50.0,0,50.0,0.0,20.5,11,0.1,0.3,60.907,1.0175
10,1,5.55556,0,50.0,0,50.0,0.0,21.0,11,0.1,0.3,60.907,0.84703
10,1,5.55556,0,50.0,0,50.0,0.0,22.0,11,0.1,0.3,60.907,0.75114
8,1,4.85714,0,34.0,0,34.0,0.0,0.0,7,0.005,0.03367,67.6,20.9
8,1,4.85714,0,34.0,0,34.0,0.0,7.73359,7,0.005,0.03367,67.3,14.7
8,1,4.85714,0,34.0,0,34.0,0.0,7.12828,7,0.005,0.03367,66.8,17.3
8,1,4.85714,0,34.0,0,34.0,0.0,6.05043,7,0.005,0.03367,66.0,5.7
10,0,4.0,2,52.0,0,0.0,0.0,0.0,11,2.364,0.0,65.0,22.64
10,0,4.0,2,52.0,0,0.0,0.0,23.0,11,2.374,0.0,65.0,15.38
10,0,5.06243,2,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,8.88
10,0,5.06243,2,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,11.28
7,1,7.0,0,91.0,0,10.0,0.0,0.0,11,0.25,0.01275,60.0,38.7288
7,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,30.5921
7,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,28.3129
7,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,20.4619
7,1,7.0,0,91.0,0,10.0,0.0,0.0,11,0.25,0.01275,60.0,31.9196
7,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,21.7826
7,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,19.0748
7,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,8.79526
7,1,7.0,0,91.0,0,10.0,0.0,0.0,11,0.25,0.01275,60.0,26.1098
7,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,19.9734
7,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,13.265
7,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,9.98574
8,1,0.0,0,32.0,0,32.0,0.0,0.0,11,0.1,6.77937,75.32,17.06
8,1,0.0,0,32.0,0,32.0,0.0,0.0,11,0.1,0.58699,69.37,37.71
8,1,0.0,0,32.0,0,32.0,0.0,0.0,11,0.1,0.80324,66.06,33.42
0,1,0.0,0,32.0,0,32.0,0.0,0.0,11,0.1,6.77937,76.28,23.26
0,1,0.0,0,32.0,0,32.0,0.0,0.0,11,0.1,0.60935,72.85,31.6
0,1,0.0,0,32.0,0,32.0,0.0,0.0,11,0.1,0.61862,63.45,34.13
8,1,0.0,0,32.0,0,32.0,0.0,0.0,11,0.1,0.59399,67.86,52.0
0,1,0.0,0,32.0,0,32.0,0.0,0.0,11,0.1,6.77937,76.28,26.68
5,1,0.0,0,28.0,0,28.0,0.0,0.0,11,0.1,0.88598,58.4,23.29
5,1,0.0,0,28.0,0,28.0,0.0,0.0,11,0.1,0.81624,56.2,28.36
5,1,0.0,0,28.0,0,28.0,0.0,0.0,11,0.1,0.88598,58.8,25.55
5,1,0.0,0,28.0,0,28.0,0.0,0.0,11,0.1,0.89479,60.9,27.35
5,1,0.0,0,28.0,0,28.0,0.0,0.0,11,0.1,0.9029,61.9,32.02
7,1,0.0,0,28.0,0,28.0,0.0,0.0,0,0.1,0.9029,61.9,42.17
7,1,0.0,0,28.0,0,28.0,0.0,0.0,0,0.1,0.54194,64.5,44.85
7,1,0.0,0,28.0,0,28.0,0.0,0.0,11,0.1,0.49312,65.3,55.92
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,47.069
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,50.0
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,46.7241
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,49.3103
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,46.5517
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,11,0.77243,0.76419,64.04016,48.4483
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,7,0.77243,0.76419,64.04016,44.3103
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,7,0.77243,0.76419,64.04016,26.8966
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,7,0.77243,0.76419,64.04016,28.2759
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,7,0.77243,0.76419,64.04016,33.7931
10,0,0.0,0,84.0,0,0.0,0.0,0.0,11,0.12,0.0,81.0,39.9
10,0,0.0,0,84.0,0,0.0,0.0,0.0,11,0.12,0.0,75.8,30.9
