Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
8,1,7.0,0,28.0,0,28.0,0.0,10.0,9,0.06,0.36,58.69,31.91
6,1,5.66667,0,34.0,0,34.0,0.0,0.0,8,0.06,0.27211,65.0,55.95
6,1,5.66667,0,34.0,0,34.0,0.0,10.0,8,0.06,0.26291,65.0,50.26
6,1,5.66667,0,34.0,0,34.0,0.0,10.28571,8,0.06,0.26265,65.0,49.66
6,1,5.66667,0,34.0,0,34.0,0.0,14.57143,8,0.06,0.2589,65.0,49.64
8,1,5.83333,0,35.0,0,0.0,0.0,0.0,8,0.06,0.25,69.2,64.9
8,1,5.83333,0,35.0,0,0.0,0.0,7.8827,8,0.06,0.25,63.55649,63.1
8,1,5.83333,0,35.0,0,0.0,0.0,4.0,8,0.06,0.25,64.27795,54.0
8,1,5.83333,0,35.0,0,0.0,0.0,7.8827,8,0.06,0.25,63.55649,42.2
5,1,5.55556,0,50.0,0,30.6,2.0,0.0,8,0.1,2.037,60.0,54.2
5,1,5.55556,0,50.0,0,45.6,5.0,2.0,8,0.1,3.287,60.0,52.1
5,1,5.55556,0,50.0,0,49.0,7.05,4.0,8,0.1,4.50975,60.0,48.8
5,1,5.55556,0,50.0,0,39.2,7.05,6.0,8,0.1,4.37775,60.0,42.3
5,1,5.55556,0,50.0,0,33.4,3.0,8.0,8,0.1,1.93775,60.0,39.5
5,1,5.55556,0,50.0,0,33.4,3.0,10.0,8,0.1,1.93775,60.0,38.7
8,1,5.55556,0,50.0,0,50.0,0.0,0.0,8,0.1,0.3,55.0,19.4242
8,1,5.55556,0,50.0,0,50.0,0.0,10.0,8,0.1,0.3,59.866,12.303
8,1,5.55556,0,50.0,0,50.0,0.0,20.0,8,0.1,0.3,60.907,11.9394
8,1,5.55556,0,50.0,0,50.0,0.0,20.5,8,0.1,0.3,60.907,11.2121
8,1,5.55556,0,50.0,0,50.0,0.0,21.0,8,0.1,0.3,60.907,9.51515
8,1,5.55556,0,50.0,0,50.0,0.0,22.0,8,0.1,0.3,60.907,9.18182
5,1,7.0,0,91.0,0,10.0,0.0,0.0,8,0.25,0.01275,60.0,63.5179
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,57.0893
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,59.3214
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,46.2857
5,1,7.0,0,91.0,0,10.0,0.0,0.0,8,0.25,0.01275,60.0,63.4286
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,54.8571
