Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Final GI (%)
8,1,6.66667,0,40.0,11,30.0,30.0,1.46082,5,0.33817,7.79221,65.17413,94.1038
6,1,5.09091,0,56.0,0,56.0,4.5,0.0,5,0.13,1.11111,55.0,56.41
6,1,5.09091,0,56.0,0,56.0,0.0,2.0,5,0.13,1.11111,55.0,65.5
6,1,5.09091,0,56.0,0,56.0,1.5,4.0,5,0.13,1.11111,55.0,72.85
6,1,5.09091,0,56.0,0,56.0,1.5,6.0,5,0.13,1.11111,55.0,81.34
6,1,5.09091,0,56.0,0,56.0,0.0,8.0,5,0.13,1.11111,55.0,87.63
6,1,5.09091,0,56.0,0,56.0,1.5,12.0,5,0.13,1.11111,55.0,98.63
6,1,5.09091,0,56.0,0,56.0,0.0,18.0,5,0.13,1.11111,55.0,125.3
8,1,8.75,0,35.0,0,35.0,0.0,0.0,5,0.06,0.3,69.2,103.463
8,1,8.75,0,35.0,0,35.0,0.0,1.104,5,0.06,0.3,69.2,108.116
8,1,8.75,0,35.0,0,35.0,0.0,1.104,5,0.06,0.3,69.2,93.0356
8,1,8.75,0,35.0,0,35.0,0.0,1.104,5,0.06,0.3,69.2,100.415
8,1,8.75,0,35.0,0,35.0,0.0,1.104,5,0.06,0.3,69.2,72.9821
8,1,6.25,0,50.0,9,50.0,10.0,2.38663,2,0.18,5.96659,58.1,69.2
8,1,7.14286,0,50.0,9,50.0,10.0,2.5,2,0.18,6.25,60.0,46.8
8,1,7.14286,0,50.0,9,50.0,10.0,2.5,2,0.18,6.25,60.0,52.5
8,1,7.14286,0,50.0,9,50.0,10.0,2.5,2,0.18,6.25,60.0,60.0
8,1,7.14286,0,50.0,9,50.0,10.0,2.5,2,0.18,6.25,60.0,59.0
8,1,7.14286,0,50.0,9,50.0,10.0,2.5,2,0.18,6.25,60.0,52.5
8,1,7.14286,0,50.0,9,50.0,10.0,5.0,2,0.18,6.25,60.0,50.2
8,1,7.14286,0,50.0,9,50.0,10.0,7.5,2,0.18,6.25,60.0,51.8
8,1,7.14286,0,50.0,9,50.0,10.0,10.0,2,0.18,6.25,60.0,51.5
8,1,7.0,0,35.0,9,35.0,10.0,2.5,2,0.18,6.25,60.0,57.7
8,1,7.0,0,35.0,9,35.0,10.0,9.23077,2,0.18,6.25,60.0,63.6
8,1,7.0,0,35.0,9,35.0,10.0,16.92308,2,0.18,6.25,60.0,60.5
8,1,7.0,0,35.0,9,35.0,10.0,24.61538,2,0.18,6.25,60.0,74.6
8,0,1.30645,1,81.0,0,0.0,0.0,0.0,3,16.0,0.0,65.0,103.982
8,0,1.22727,1,81.0,0,0.0,0.0,8.8,3,16.0,0.0,65.0,116.847
8,1,5.0,0,30.0,0,30.0,0.0,0.0,5,0.12,2.56621,66.11478,97.5734
8,1,5.0,0,30.0,0,30.0,0.0,5.0,5,0.12,2.56621,63.04648,114.509
8,1,5.0,0,30.0,0,30.0,0.0,10.0,5,0.12,2.56621,62.95048,127.95
8,1,5.0,0,30.0,0,30.0,0.0,1.0,5,0.12,2.56621,62.54648,120.961
8,1,7.0,0,28.0,0,28.0,0.0,0.0,6,0.06,0.36,62.06,92.191
8,1,7.0,0,28.0,0,28.0,0.0,10.0,6,0.06,0.36,58.69,89.9438
6,1,5.09091,0,56.0,0,56.0,0.0,0.0,5,0.1,1.21338,56.03,64.17
6,1,5.09091,0,56.0,0,56.0,0.0,10.0,5,0.1,0.72783,55.0,105.63
6,1,5.09091,0,56.0,0,56.0,0.0,10.0,5,0.1,0.72783,55.0,98.2
6,1,5.09091,0,56.0,0,56.0,0.0,10.0,5,0.1,0.72783,55.0,101.85
3,1,7.5,0,30.0,4,30.0,40.0,0.0,5,0.06,0.54517,53.59,86.0078
3,1,7.5,0,30.0,4,30.0,40.0,0.0,5,0.06,0.52357,59.14902,101.859
3,1,7.5,0,30.0,4,30.0,40.0,2.54,5,0.06,0.5724,58.6187,103.327
3,1,7.5,0,30.0,4,30.0,40.0,2.54,5,0.06,0.5724,58.6187,87.7691
8,1,10.0,0,50.0,0,50.0,0.0,0.0,5,0.1,4.50866,58.0,93.06
8,1,10.0,0,50.0,0,50.0,0.0,10.0,5,0.1,3.85924,61.866,99.34
8,1,10.0,0,50.0,0,50.0,0.0,10.0,5,0.1,3.85924,61.866,98.21
8,1,10.0,0,50.0,0,50.0,0.0,20.0,5,0.1,0.98865,62.907,102.41
6,1,5.66667,0,34.0,0,34.0,0.0,0.0,5,0.06,0.27211,65.0,103.21
6,1,5.66667,0,34.0,0,34.0,0.0,10.0,5,0.06,0.26291,65.0,97.4
6,1,5.66667,0,34.0,0,34.0,0.0,10.28571,5,0.06,0.26265,65.0,120.31
6,1,5.66667,0,34.0,0,34.0,0.0,14.57143,5,0.06,0.2589,65.0,111.0
8,1,5.83333,0,35.0,0,0.0,0.0,0.0,5,0.06,0.25,69.2,98.3399
8,1,5.83333,0,35.0,0,0.0,0.0,7.8827,5,0.06,0.25,63.55649,108.142
8,1,5.83333,0,35.0,0,0.0,0.0,4.0,5,0.06,0.25,64.27795,100.553
8,1,5.83333,0,35.0,0,0.0,0.0,7.8827,5,0.06,0.25,63.55649,78.419
5,1,5.55556,0,50.0,0,30.6,2.0,0.0,5,0.1,2.037,60.0,120.707
5,1,5.55556,0,50.0,0,45.6,5.0,2.0,5,0.1,3.287,60.0,127.02
8,1,5.55556,0,50.0,0,50.0,0.0,0.0,5,0.1,0.3,55.0,93.1417
8,1,5.55556,0,50.0,0,50.0,0.0,10.0,5,0.1,0.3,59.866,99.5483
8,1,5.55556,0,50.0,0,50.0,0.0,20.0,5,0.1,0.3,60.907,102.259
8,1,5.55556,0,50.0,0,50.0,0.0,20.5,5,0.1,0.3,60.907,104.723
8,1,5.55556,0,50.0,0,50.0,0.0,21.0,5,0.1,0.3,60.907,103.737
8,1,5.55556,0,50.0,0,50.0,0.0,22.0,5,0.1,0.3,60.907,105.955
