Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),N2O-N loss (%)
7,1,5.09091,0,56.0,0,56.0,1.5,4.0,5,0.13,1.11111,55.0,0.57
7,1,5.09091,0,56.0,0,56.0,1.5,6.0,5,0.13,1.11111,55.0,0.41
7,1,5.09091,0,56.0,0,56.0,0.0,8.0,5,0.13,1.11111,55.0,0.09
7,1,5.09091,0,56.0,0,56.0,1.5,12.0,5,0.13,1.11111,55.0,0.02
7,1,5.09091,0,56.0,0,56.0,0.0,18.0,5,0.13,1.11111,55.0,0.05
8,1,8.75,0,35.0,0,35.0,0.0,0.0,5,0.06,0.3,69.2,1.5
8,1,8.75,0,35.0,0,35.0,0.0,1.104,5,0.06,0.3,69.2,1.4
8,1,8.75,0,35.0,0,35.0,0.0,1.104,5,0.06,0.3,69.2,1.2
8,1,8.75,0,35.0,0,35.0,0.0,1.104,5,0.06,0.3,69.2,1.3
8,1,8.75,0,35.0,0,35.0,0.0,1.104,5,0.06,0.3,69.2,1.0
7,1,7.14286,0,50.0,6,50.0,20.0,0.0,5,0.288,0.90906,67.71,0.6
7,1,7.14286,0,50.0,6,50.0,20.0,12.0,5,0.288,2.31569,66.08,0.47
8,1,5.0,0,30.0,0,30.0,0.0,5.0,5,0.12,2.56621,63.04648,2.08
8,1,5.0,0,30.0,0,30.0,0.0,10.0,5,0.12,2.56621,62.95048,1.976
8,1,5.0,0,30.0,0,30.0,0.0,20.0,5,0.12,2.56621,60.3,1.976
8,1,5.0,0,30.0,0,30.0,0.0,1.0,5,0.12,2.56621,62.54648,2.132
8,1,7.0,0,28.0,0,28.0,0.0,0.0,6,0.06,0.36,62.06,0.0025
8,1,7.0,0,28.0,0,28.0,0.0,10.0,6,0.06,0.36,58.69,0.0149
8,0,3.71429,2,26.0,0,0.0,0.0,0.0,5,1.2,0.0,65.0,1.37
8,0,3.71429,2,26.0,0,0.0,0.0,15.67944,5,1.2,0.0,65.0,0.71
8,0,3.71429,2,26.0,0,0.0,0.0,31.35889,5,1.2,0.0,65.0,0.35
8,0,5.06243,2,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,0.38
8,1,17.5,0,35.0,5,35.0,30.0,0.0,5,0.06,0.38,67.6,0.57
8,1,17.5,0,35.0,5,35.0,30.0,0.408,5,0.06,0.38,58.01,0.79
8,1,17.5,0,35.0,5,35.0,30.0,0.408,5,0.06,0.38,58.01,0.41
8,1,17.5,0,35.0,5,35.0,30.0,0.408,5,0.06,0.38,58.01,0.68
8,1,5.6,0,28.0,0,28.0,0.0,0.0,5,0.06,0.48,57.54093,0.34
8,1,5.6,0,28.0,0,28.0,0.0,2.44988,5,0.06,0.48,57.88952,0.38
8,1,5.6,0,28.0,0,28.0,0.0,2.45195,5,0.06,0.48,57.88952,0.47
8,1,5.6,0,28.0,0,28.0,0.0,4.35435,5,0.06,0.48,57.24952,0.39
7,1,5.66667,0,34.0,0,34.0,0.0,0.0,5,0.06,0.27211,65.0,0.88
7,1,5.66667,0,34.0,0,34.0,0.0,10.0,5,0.06,0.26291,65.0,0.6
7,1,5.66667,0,34.0,0,34.0,0.0,10.28571,5,0.06,0.26265,65.0,0.25
7,1,5.66667,0,34.0,0,34.0,0.0,14.57143,5,0.06,0.2589,65.0,0.13
8,1,5.83333,0,35.0,0,0.0,0.0,0.0,5,0.06,0.25,69.2,1.5
8,1,5.83333,0,35.0,0,0.0,0.0,7.8827,5,0.06,0.25,63.55649,1.4
8,1,5.83333,0,35.0,0,0.0,0.0,4.0,5,0.06,0.25,64.27795,1.4
8,1,5.83333,0,35.0,0,0.0,0.0,7.8827,5,0.06,0.25,63.55649,2.0
6,1,5.55556,0,50.0,0,30.6,2.0,0.0,5,0.1,2.037,60.0,2.05
6,1,5.55556,0,50.0,0,45.6,5.0,2.0,5,0.1,3.287,60.0,2.01
6,1,5.55556,0,50.0,0,49.0,7.05,4.0,5,0.1,4.50975,60.0,1.53
6,1,5.55556,0,50.0,0,39.2,7.05,6.0,5,0.1,4.37775,60.0,1.42
6,1,5.55556,0,50.0,0,33.4,3.0,8.0,5,0.1,1.93775,60.0,1.24
6,1,5.55556,0,50.0,0,33.4,3.0,10.0,5,0.1,1.93775,60.0,0.75
8,1,5.55556,0,50.0,0,50.0,0.0,0.0,5,0.1,0.3,55.0,0.78311
8,1,5.55556,0,50.0,0,50.0,0.0,10.0,5,0.1,0.3,59.866,0.29833
8,1,5.55556,0,50.0,0,50.0,0.0,20.0,5,0.1,0.3,60.907,0.19711
8,1,5.55556,0,50.0,0,50.0,0.0,20.5,5,0.1,0.3,60.907,0.18645
8,1,5.55556,0,50.0,0,50.0,0.0,21.0,5,0.1,0.3,60.907,0.17047
8,1,5.55556,0,50.0,0,50.0,0.0,22.0,5,0.1,0.3,60.907,0.17047
8,0,0.0,0,84.0,0,0.0,0.0,0.0,5,0.12,0.0,81.0,0.55
8,0,0.0,0,84.0,0,0.0,0.0,0.0,5,0.12,0.0,75.8,0.57
1,0,0.0,0,84.0,0,0.0,0.0,0.0,5,0.12,0.0,77.3,0.06
1,0,0.0,0,84.0,0,0.0,0.0,0.0,5,0.12,0.0,77.0,0.03
1,0,0.0,0,84.0,0,0.0,0.0,0.0,0,0.12,0.0,80.0,0.01
1,0,0.0,0,84.0,0,0.0,0.0,22.28321,5,0.12,0.0,84.1,0.12
1,0,0.0,0,84.0,0,0.0,0.0,9.53373,5,0.12,0.0,80.7,0.02
1,0,0.0,0,84.0,0,0.0,0.0,15.84383,5,0.12,0.0,81.5,0.07
1,1,0.0,0,28.0,0,28.0,0.0,0.0,5,0.01,0.28,69.0,0.01619
1,1,0.0,0,28.0,0,28.0,0.0,0.0,3,0.01,0.28,63.0,0.01181
1,1,0.0,0,28.0,0,28.0,0.0,0.0,3,0.01,0.28,66.0,0.01812
1,1,0.0,0,28.0,0,28.0,0.0,0.0,4,0.01,0.28,65.0,0.02763
1,1,0.0,0,28.0,0,28.0,0.0,0.0,4,0.01,0.28,67.0,0.04223
1,1,0.0,0,28.0,0,28.0,0.0,25.0,5,0.01,0.28,65.0,0.01279
1,1,0.0,0,28.0,0,28.0,0.0,14.28571,5,0.01,0.28,67.0,0.01041
1,1,0.0,0,28.0,0,28.0,0.0,0.0,5,0.01,0.28,65.0,0.00707
1,1,0.0,0,28.0,0,28.0,0.0,0.0,1,0.01,0.28,65.0,0.00779
