Material_Main,Turning times,M1_is Enclosed, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Final GI (%)
6,0.5,1,0,52.0,7,52.0,15.0,2.0,3,0.1,0.00583,70.089,96.0
6,0.5,1,0,52.0,7,52.0,15.0,5.0,3,0.1,0.00583,67.699,92.0
6,0.5,1,0,52.0,7,52.0,15.0,10.0,3,0.1,0.00583,61.048,97.0
8,0.0,1,0,50.0,0,50.0,0.0,0.0,5,0.1,0.3,60.0,93.06
8,0.0,1,0,50.0,0,50.0,0.0,10.0,5,0.1,0.3,60.0,99.34
8,0.0,1,0,50.0,0,50.0,0.0,10.0,5,0.1,0.3,60.0,98.21
8,0.0,1,0,50.0,0,50.0,0.0,20.0,5,0.1,0.3,60.0,102.41
8,5.55556,1,0,50.0,0,50.0,0.0,0.0,5,0.1,0.3,49.58,93.4361
8,5.55556,1,0,50.0,0,50.0,0.0,10.0,5,0.1,0.3,59.866,99.6662
8,5.55556,1,0,50.0,0,50.0,0.0,20.0,5,0.1,0.3,60.907,102.617
8,5.55556,1,0,50.0,0,50.0,0.0,20.5,5,0.1,0.3,60.907,104.912
8,5.55556,1,0,50.0,0,50.0,0.0,21.0,5,0.1,0.3,60.907,104.256
8,5.55556,1,0,50.0,0,50.0,0.0,22.0,5,0.1,0.3,60.907,106.224
6,7.0,1,0,35.0,0,35.0,0.0,0.0,5,0.06,0.1,72.86,110.091
6,7.0,1,0,35.0,0,35.0,0.0,0.0,5,0.06,0.2,72.86,97.1194
6,7.0,1,0,35.0,0,35.0,0.0,0.0,5,0.06,0.3,72.86,87.0957
8,9.33333,1,0,28.0,0,28.0,0.0,0.0,5,0.06,0.25,52.2,116.999
8,9.33333,1,0,28.0,0,28.0,0.0,2.03425,5,0.06,0.25,57.74443,107.259
8,9.33333,1,0,28.0,0,28.0,0.0,2.03425,5,0.06,0.25,57.74443,108.235
8,9.33333,1,0,28.0,0,28.0,0.0,2.03425,5,0.06,0.25,57.74443,88.2353
8,9.33333,1,0,28.0,0,28.0,0.0,2.03425,5,0.06,0.25,57.74443,90.7843
8,9.33333,1,0,28.0,0,28.0,0.0,2.03425,5,0.06,0.25,57.74443,81.9101
0,0.0,0,2,45.0,0,0.0,0.0,0.0,5,6.48,0.0,60.0,94.3902
0,0.0,0,2,45.0,0,0.0,0.0,10.0,5,6.48,0.0,60.0,110.447
0,0.0,0,2,45.0,0,0.0,0.0,0.0,5,6.48,0.0,60.0,104.756
0,5.06243,0,2,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,57.6305
0,5.06243,0,2,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,71.4859
0,5.06243,0,2,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,76.1044
0,5.06243,0,2,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,82.5301
