Material_Main,Turning times,M1_is Enclosed, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Final GI (%)
0,12.0,1,0,60.0,0,60.0,0.0,1.79709,5,0.045,0.22,65.0,81.0978
0,12.0,1,0,60.0,0,60.0,0.0,1.79709,5,0.045,0.44,65.0,86.9231
0,12.0,1,0,60.0,0,60.0,0.0,2.79709,5,0.045,0.66,65.0,66.8675
0,12.0,1,0,60.0,0,60.0,0.0,0.29709,5,0.045,0.22,70.0,73.0185
0,12.0,1,0,60.0,0,60.0,0.0,0.29709,5,0.045,0.44,70.0,58.9231
0,12.0,1,0,60.0,0,60.0,0.0,0.29709,5,0.045,0.66,70.0,82.0783
8,9.25,1,0,37.0,1,37.0,25.0,0.0,5,0.06,0.24,65.0,62.2568
8,9.25,1,0,37.0,1,37.0,25.0,0.0,5,0.06,0.48,65.0,90.856
8,9.25,1,0,37.0,1,37.0,25.0,0.0,5,0.06,0.72,65.0,83.6576
8,9.25,1,0,37.0,1,37.0,25.0,0.0,5,0.06,0.24,70.0,81.5175
8,9.25,1,0,37.0,1,37.0,25.0,0.0,5,0.06,0.48,70.0,85.7977
8,9.25,1,0,37.0,1,37.0,25.0,0.0,5,0.06,0.72,70.0,66.1479
8,9.25,1,0,37.0,1,37.0,25.0,0.0,5,0.06,0.24,75.0,73.7354
8,9.25,1,0,37.0,1,37.0,25.0,0.0,5,0.06,0.48,75.0,53.3074
8,9.25,1,0,37.0,1,37.0,25.0,0.0,5,0.06,0.72,75.0,85.9922
8,9.25,1,0,37.0,0,37.0,0.0,0.0,5,0.06,0.24,64.1,62.0
8,9.25,1,0,37.0,0,37.0,0.0,0.0,5,0.06,0.48,65.2,90.9
8,9.25,1,0,37.0,0,37.0,0.0,0.0,5,0.06,0.72,63.7,83.5
8,9.25,1,0,37.0,0,37.0,0.0,0.0,5,0.06,0.24,71.3,81.4
8,9.25,1,0,37.0,0,37.0,0.0,0.0,5,0.06,0.48,70.6,85.7
8,9.25,1,0,37.0,0,37.0,0.0,0.0,5,0.06,0.72,70.8,66.2
8,9.25,1,0,37.0,0,37.0,0.0,0.0,5,0.06,0.24,75.7,73.5
8,9.25,1,0,37.0,0,37.0,0.0,0.0,5,0.06,0.48,76.8,53.2
8,9.25,1,0,37.0,0,37.0,0.0,0.0,5,0.06,0.72,74.0,86.1
5,1.5,0,2,21.0,0,0.0,0.0,0.0,0,2.0,0.0,60.0,83.2288
5,1.5,0,2,21.0,0,0.0,0.0,7.75,0,2.0,0.0,60.0,90.7011
5,1.5,0,2,21.0,0,0.0,0.0,7.75,0,2.0,0.0,60.0,89.0959
5,1.5,0,2,21.0,0,0.0,0.0,7.75,0,2.0,0.0,60.0,94.5756
5,1.5,0,2,21.0,0,0.0,0.0,7.75,0,2.0,0.0,60.0,89.1513
5,1.5,0,2,21.0,0,0.0,0.0,7.75,0,2.0,0.0,60.0,85.941
5,1.5,0,2,21.0,0,0.0,0.0,7.75,0,2.0,0.0,60.0,86.2731
5,1.5,0,2,21.0,0,0.0,0.0,7.75,0,2.0,0.0,60.0,84.059
8,3.5,0,1,70.0,0,0.0,0.0,0.0,5,2.422,0.0,65.7,116.483
8,3.5,1,1,70.0,0,0.0,0.0,0.0,5,2.422,0.0,65.7,94.5508
8,7.0,0,1,70.0,0,0.0,0.0,0.0,5,11.74,0.0,65.7,118.588
8,7.0,1,1,70.0,0,0.0,0.0,0.0,5,11.74,0.0,65.7,97.0069
8,0.0,0,1,70.0,0,0.0,0.0,0.0,5,0.452,0.0,65.7,54.0264
8,0.0,1,1,70.0,0,0.0,0.0,0.0,5,0.452,0.0,65.7,60.1649
8,7.0,0,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,85.2
8,7.0,1,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,80.6
8,14.0,0,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,73.5
8,14.0,1,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,70.5
8,0.0,0,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,67.4
8,0.0,1,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,65.6
6,7.0,1,0,35.0,0,35.0,0.0,0.0,5,0.06,0.2,72.1,97.4
8,8.0,1,0,56.0,0,0.0,0.0,0.0,5,1.2,0.0,67.6,121.3
8,8.0,1,0,56.0,0,0.0,0.0,3.3,5,1.2,0.0,67.6,102.0
8,8.0,1,0,56.0,0,0.0,0.0,6.6,5,1.2,0.0,67.6,112.2
8,8.0,1,0,56.0,0,0.0,0.0,9.9,5,1.2,0.0,67.6,121.4
8,8.0,1,0,56.0,0,0.0,0.0,13.2,5,1.2,0.0,67.6,82.5
5,3.11111,1,0,28.0,0,0.0,0.0,0.0,5,0.13,0.0,61.4561,121.0
5,3.11111,1,0,28.0,0,0.0,0.0,2.0,5,0.13,0.0,60.661,127.0
0,5.33333,0,1,64.0,0,0.0,0.0,0.0,5,1.0,0.0,74.0,65.9
0,5.33333,1,1,64.0,0,0.0,0.0,0.0,5,1.0,0.0,74.0,84.8
0,5.33333,1,1,64.0,0,0.0,0.0,0.0,5,1.0,0.0,74.0,110.4
0,5.33333,1,1,64.0,0,64.0,0.0,0.0,5,1.0,1.157,74.0,117.9
5,0.0,1,0,25.0,5,25.0,30.0,0.0,5,0.06,0.82645,60.0,97.0
5,0.0,1,0,25.0,5,25.0,30.0,0.0,5,0.06,1.64384,60.0,106.28
8,14.0,1,0,28.0,5,28.0,30.0,0.0,5,0.07122,0.8589,60.0,75.0
8,14.0,1,0,28.0,5,28.0,30.0,0.0,5,0.07122,0.92562,60.0,88.5
8,14.0,1,0,28.0,5,28.0,30.0,0.0,5,0.07122,0.90323,60.0,116.05
2,7.0,1,0,28.0,6,28.0,30.0,0.0,5,0.06,1.20727,66.9,70.8
2,7.0,1,0,28.0,6,28.0,30.0,0.0,0,0.06,0.96434,58.6,121.4
5,0.0,1,2,21.0,5,21.0,30.0,0.0,3,0.0357,0.15543,59.79,107.576
5,0.0,1,2,21.0,5,21.0,30.0,0.0,3,0.0357,0.31087,59.79,117.677
5,0.0,1,2,21.0,5,21.0,30.0,0.0,3,0.0357,0.15543,59.79,88.3838
6,5.06243,1,0,43.71769,8,23.34776,3.82857,4.36513,3,0.77243,0.76419,64.04016,101.1
6,5.06243,1,0,43.71769,8,23.34776,3.82857,4.36513,3,0.77243,0.76419,64.04016,65.5
6,5.06243,1,0,43.71769,8,23.34776,3.82857,4.36513,3,0.77243,0.76419,64.04016,85.7143
6,5.06243,1,0,43.71769,8,23.34776,3.82857,4.36513,3,0.77243,0.76419,64.04016,48.3
0,6.0,1,0,66.0,0,66.0,0.0,0.0,5,0.028,0.4,72.7,97.7459
0,6.0,1,0,66.0,0,66.0,0.0,0.0,5,0.028,0.4,71.7,93.2377
0,6.0,1,0,66.0,0,66.0,0.0,0.0,5,0.028,0.2,71.7,49.1803
0,6.0,1,0,66.0,0,66.0,0.0,0.0,3,0.028,0.2,68.8,95.0
0,6.0,1,0,66.0,0,66.0,0.0,0.0,3,0.028,0.2,69.5,86.875
0,6.0,1,0,66.0,0,66.0,0.0,0.0,3,0.028,0.2,67.3,91.6667
0,6.0,1,0,66.0,0,66.0,0.0,0.0,5,0.028,0.2,71.8,112.295
0,0.0,0,1,64.0,0,0.0,0.0,0.0,5,1.1,0.0,74.27405,65.7975
0,0.0,1,1,64.0,0,0.0,0.0,0.0,5,1.1,0.0,74.27405,84.2945
0,5.33333,1,1,64.0,0,0.0,0.0,0.0,5,1.1,0.0,74.27405,109.969
0,5.06243,1,1,43.71769,13,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,117.975
1,4.44444,1,1,40.0,0,0.0,0.0,0.0,5,0.2,0.0,65.0,97.619
1,4.44444,1,1,40.0,0,0.0,0.0,1.0,5,0.2,0.0,65.0,130.595
1,4.44444,1,1,40.0,0,0.0,0.0,5.0,5,0.2,0.0,65.0,105.714
1,4.44444,1,1,40.0,0,0.0,0.0,6.0,5,0.2,0.0,65.0,131.786
0,0.0,1,0,20.0,0,20.0,0.0,0.0,5,0.06,0.21,60.22,90.14
0,0.0,1,0,20.0,2,20.0,10.0,0.0,5,0.06,0.42,60.22,94.79
0,0.0,1,0,20.0,3,20.0,5.0,0.0,5,0.06,0.84,60.22,88.56
5,3.0,0,1,30.0,0,0.0,0.0,0.0,5,0.1458,0.0,66.0568,87.5514
5,3.0,0,1,30.0,0,0.0,0.0,0.0,5,0.1458,0.0,66.0568,86.1971
5,3.0,0,1,30.0,0,0.0,0.0,0.0,5,0.1458,0.0,66.0568,83.8271
8,6.22222,1,0,56.0,0,0.0,0.0,0.0,5,0.1,0.0,67.70741,114.286
8,6.22222,1,0,56.0,0,0.0,0.0,10.0,5,0.1,0.0,63.24,123.429
0,0.0,1,0,21.0,0,21.0,0.0,0.0,5,0.06,0.21,55.0,70.9552
0,5.06243,1,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,90.0531
0,5.06243,1,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,113.607
0,15.5,1,0,31.0,0,31.0,0.0,0.0,5,0.06,0.09384,65.4,84.4
0,15.5,1,0,31.0,0,31.0,0.0,0.0,5,0.06,0.15639,65.4,70.1
0,15.5,1,0,31.0,4,31.0,10.0,0.0,5,0.06,0.28151,65.4,80.4
8,0.0,1,0,48.0,0,48.0,0.0,0.0,1,0.045,0.3279,50.0,126.4
5,0.0,1,0,48.0,0,48.0,0.0,0.0,1,0.045,0.34666,50.0,89.3
7,0.0,1,0,48.0,0,48.0,0.0,0.0,1,0.045,0.38698,50.0,118.3
4,0.0,1,0,48.0,0,48.0,0.0,0.0,4,0.045,0.32143,50.0,102.3
6,7.0,1,0,35.0,0,35.0,0.0,0.0,5,0.06,0.2,72.1,113.314
6,7.0,1,0,35.0,0,35.0,0.0,10.0,5,0.06,0.2,72.1,103.193
6,7.0,1,0,35.0,0,35.0,0.0,10.0,5,0.06,0.2,72.1,105.622
6,7.0,1,0,35.0,0,35.0,0.0,12.5,5,0.06,0.2,72.1,108.658
6,7.0,1,0,35.0,0,35.0,0.0,12.5,5,0.06,0.2,72.1,118.375
8,21.0,1,0,21.0,0,21.0,0.0,0.0,5,1.2096,0.24,59.81,93.25
8,21.0,1,0,21.0,0,21.0,0.0,0.0,0,1.2096,0.24,60.21,105.78
8,17.5,1,0,70.0,0,0.0,0.0,0.0,5,1.2096,0.0,63.6,112.278
8,17.5,1,0,70.0,0,70.0,0.0,0.0,5,1.2096,0.18,63.6,98.748
8,17.5,1,0,70.0,0,70.0,0.0,0.0,5,1.2096,0.36,63.6,100.969
8,17.5,1,0,70.0,0,70.0,0.0,0.0,5,1.2096,0.54,63.6,93.0937
8,5.06243,1,0,43.71769,4,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,106.624
8,7.5,1,0,30.0,1,30.0,25.0,0.0,5,0.06,0.48,65.9,100.7
8,7.5,1,0,30.0,1,30.0,25.0,10.0,5,0.06,0.48,64.019,105.9
8,7.5,1,0,30.0,1,30.0,25.0,10.2,5,0.06,0.48,64.499,112.4
8,7.5,1,0,30.0,1,30.0,25.0,5.2,5,0.06,0.48,57.60411,107.9
5,12.5,1,0,25.0,5,25.0,30.0,0.0,5,0.06,0.82645,65.0,97.0787
5,12.5,1,0,25.0,5,25.0,30.0,0.0,5,0.06,1.64384,65.0,105.583
5,4.15,0,2,83.0,0,0.0,0.0,0.0,3,2.0,0.0,72.4,46.0
8,7.71429,0,1,54.0,0,0.0,0.0,0.0,5,0.13,0.0,66.28,84.196
8,7.71429,0,1,54.0,0,0.0,0.0,15.0,5,0.13,0.0,62.82171,91.2548
8,7.71429,0,1,54.0,0,0.0,0.0,15.0,5,0.13,0.0,62.82171,76.2968
8,7.71429,0,1,54.0,0,0.0,0.0,0.0,5,0.13,0.0,66.28,111.975
8,7.71429,0,1,54.0,0,0.0,0.0,6.0,5,0.13,0.0,63.24,83.6134
8,7.71429,0,1,54.0,0,0.0,0.0,6.0,5,0.13,0.0,63.24,86.7647
0,5.06243,1,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,112.09
0,0.0,1,0,21.0,0,21.0,0.0,0.0,0,0.007,3.40107,64.47195,105.78
0,0.0,1,0,21.0,0,21.0,0.0,0.0,0,0.007,3.40107,64.47195,117.35
0,0.0,1,0,21.0,0,21.0,0.0,0.0,0,0.007,3.40107,64.47195,119.45
6,5.0,1,0,45.0,12,45.0,20.0,0.0,5,0.12,0.97145,65.0,92.0
6,5.0,1,0,45.0,12,45.0,20.0,5.0,5,0.12,1.71576,65.0,114.0
6,5.0,1,0,45.0,12,45.0,20.0,1.0,5,0.12,0.92403,65.0,103.0
6,5.0,1,0,45.0,12,45.0,20.0,1.0,5,0.12,0.92403,65.0,52.0
6,5.0,1,0,45.0,12,45.0,20.0,3.0,5,0.12,0.93795,65.0,74.0
6,5.0,1,0,45.0,12,45.0,20.0,3.0,5,0.12,0.93795,65.0,112.0
6,5.0,1,0,45.0,12,45.0,20.0,5.0,5,0.12,1.71576,65.0,81.0
6,0.5,1,0,52.0,7,52.0,15.0,0.0,3,0.1,0.00583,65.549,87.0
