Initial C/N (%),V1_Ventilation Type,Additive_4,Initial Moisture Content (%),Turning times,V5_Ventilation rate (L/min/kg iniDW),Material_3,Initial GI (%), Composting Method,V3_Ventilation Duration (min),M1_is Enclosed,Additive_3,Application Rate (%DW),Initial pH,Additive_1,Additive_2,V2_Ventilation Interval (min),V4_Ventilation Day,Material_Main,Compost volume (m3),Period (d),Material_2,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
22.0,2.0,1.0,60.0,12.0,0.5305808616396787,9.0,27.32884658064516,0.0,0.9706679414063056,1.0,4.0,9.517318126731627,6.0,24.0,1.0,0.0,0.0,9,0.045,48.0,2.0,1.97,42.737820820768825,108.18758799999999,8.12095793334512,0.2928940951824188,0.23614963867764902,1000000.0
45.384489743582215,1.0,1.0,60.0,14.0,0.11125466091524094,5.0,27.32884658064516,1.0,48.57703999203886,0.0,4.0,9.62728116125016,11.038810667721826,19.0,1.0,59.0,0.0,9,0.045,116.0,14.0,1.97,89.40744479485696,113.53262100000002,4.213446005624561,0.41969266533851624,0.14005730171499928,25.801439530991246
18.0,1.0,1.0,63.0,29.0,1.4138079781606683,3.0,27.32884658064516,0.0,13.80671679384713,1.0,4.0,2.4387609722867767,6.0,19.0,6.0,1179.0,3.0,9,0.045,80.0,5.0,1.97,32.66217292720094,112.51232100000003,7.161046634690967,0.9920374751091003,0.1596954616891334,1000000.0
14.0,1.0,1.0,52.0,14.0,0.6311765752244212,3.0,27.32884658064516,2.0,35.1290702220073,0.0,4.0,6.185606779452346,7.0,4.0,11.0,1337.0,2.0,9,0.045,96.0,0.0,1.97,23.117967836690628,111.98019500000004,7.161046634690967,0.7113669514656067,0.15073118178205336,1000000.0
43.081115418112354,1.0,1.0,77.33444995294829,21.0,0.0037892130371497412,2.0,27.32884658064516,2.0,52.67239248712657,0.0,4.0,4.850052399425385,7.0,12.0,13.0,417.0,0.0,9,0.045,70.0,12.0,1.97,84.86979737368134,112.13308300000003,5.1178211122878645,0.46465572714805603,0.135457365148422,23.335231219423623
32.0,2.0,1.0,58.0,13.0,0.0,5.0,27.32884658064516,0.0,0.0,1.0,4.0,4.634864914521311,6.0,4.0,0.0,0.0,0.0,9,0.045,61.0,3.0,1.97,18.187958954821628,108.067173,7.059615195210737,0.280536025762558,0.22150751462442686,1000000.0
40.37659591419959,1.0,1.0,61.0,30.0,0.0383965350730775,4.0,27.32884658064516,2.0,51.08787002336087,0.0,4.0,2.6790082133609854,8.99701883021098,38.0,12.0,1227.0,5.0,9,0.045,96.0,2.0,1.97,79.54189395097319,109.77938200000003,7.219057488791595,1.0493217706680298,0.12513715404457582,22.591932848246014
35.0,2.0,1.0,64.0,12.0,0.0,0.0,27.32884658064516,2.0,0.0,1.0,4.0,9.431791128354474,8.28812910605026,14.0,1.0,0.0,0.0,9,0.045,81.0,8.0,1.97,56.7006521255069,108.087744,7.059615195210737,0.33428892493247986,0.19842786836650317,1000000.0
20.0,1.0,1.0,63.0,17.0,0.11558156818383103,9.0,27.32884658064516,1.0,23.434922618856497,0.0,4.0,8.879306326413776,8.0,38.0,2.0,9.0,0.0,9,0.045,88.0,8.0,1.97,44.13479208946615,110.618898,5.129425918680797,0.3181205093860626,0.17444118675285364,1000000.0
24.0,2.0,1.0,73.68835446851143,30.0,0.0,5.0,27.32884658064516,0.0,0.0,1.0,4.0,9.788118284632569,8.35384661318273,24.0,2.0,0.0,0.0,9,0.045,130.0,6.0,1.97,39.67043780069333,108.14308799999999,7.58597521098674,0.28932586312294006,0.2195488281121711,1000000.0
