Initial GI (%),V4_Ventilation Day,V2_Ventilation Interval (min), Composting Method,Material_3,Additive_3,Compost volume (m3),Turning times,Initial Moisture Content (%),Initial pH,Period (d),V5_Ventilation rate (L/min/kg iniDW),M1_is Enclosed,Initial C/N (%),Application Rate (%DW),Additive_4,Material_Main,Additive_2,Material_2,V1_Ventilation Type,V3_Ventilation Duration (min),Additive_1,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
27.32884658064516,30.0,1206.0,0.0,3.0,4.0,0.6292491869918699,1.0,70.0,6.0,117.0,0.353871179532969,1.0,27.0,3.434091493644179,1.0,7,3.0,6.0,1.0,29.25207673630653,25.0,2.4967368849582217,61.715354553661896,104.66039700000005,9.696459934372209,0.29695945978164673,0.11335654511775786,1000000.0
27.328846580645163,1.0,749.0,0.0,5.0,4.0,0.6292491869918699,8.0,73.22909250702587,10.480522254555975,59.0,2.356702091455279,1.0,17.0,6.752670822373347,1.0,7,0.0,2.0,1.0,33.250312906636005,36.0,3.123545203206788,92.01987633946028,104.46831700000003,1000000.0,1000000.0,1000000.0,1000000.0
27.32884658064516,0.0,50.0,0.0,3.0,4.0,0.6292491869918699,4.0,83.88082838297179,7.393021887401879,105.0,0.27842225425959555,1.0,21.0,2.9493499190775614,1.0,7,10.0,13.0,1.0,41.441918035619196,20.0,2.4967368849582217,55.957912150568404,102.25895000000004,6.498781396783098,0.19002746045589447,0.18199666070681353,1000000.0
27.328846580645163,75.0,1130.0,1.0,3.0,4.0,0.6292491869918699,0.0,52.0,7.196249334688778,96.0,0.749313012220082,1.0,19.0,7.585632282203187,1.0,7,1.0,0.0,1.0,52.06632476268143,36.0,2.4967368849582217,85.78183465739423,104.86761400000003,8.427373095528711,0.4264160394668579,0.1138712616938308,1000000.0
27.328846580645163,6.0,958.0,1.0,3.0,4.0,0.6292491869918699,23.0,55.0,9.031723559586451,26.0,0.39976581743832096,1.0,36.0,4.630604620652077,1.0,7,1.0,13.0,1.0,37.13741538759461,10.0,2.4967368849582217,71.2196292312655,102.86912500000004,8.094576230578225,0.2506653666496277,0.1447377561823446,1000000.0
27.32884658064516,12.0,975.0,1.0,2.0,4.0,0.6292491869918699,29.0,62.0,5.0,80.0,1.4015219884187204,1.0,25.0,9.015315213816237,1.0,7,11.0,13.0,1.0,28.522712341038577,8.0,2.4967368849582217,72.421423783265,97.94472400000002,9.144330392603198,0.332487016916275,0.1454599655119496,1000000.0
27.32884658064516,52.0,1286.0,2.0,9.0,4.0,0.6292491869918699,20.0,73.02260252051785,8.66282180232595,110.0,1.4562457117270386,0.0,14.0,3.473343968753718,1.0,7,2.0,3.0,1.0,42.477717071701484,4.0,2.4967368849582217,24.124809630195134,104.02755900000002,9.144330392603198,0.374940425157547,0.1687003915326184,1000000.0
27.32884658064516,82.0,602.0,0.0,5.0,4.0,0.6292491869918699,17.0,78.86013876264619,5.0,84.0,1.672347514223337,1.0,33.0,6.3182171321181055,1.0,7,5.0,6.0,1.0,33.3558312767555,4.0,2.4967368849582217,54.09597290726096,102.673509,9.077583184786288,0.31153687834739685,0.17211234674711184,1000000.0
27.32884658064516,20.0,730.0,1.0,9.0,4.0,0.6292491869918699,19.0,78.31759301383923,9.234520705160048,126.0,0.05712548736043099,0.0,16.0,5.306567772212451,1.0,7,3.0,4.0,1.0,27.205412134635655,11.0,2.4967368849582217,32.91930561112949,103.63395100000001,9.144330392603198,0.3153926134109497,0.1590318260852311,1000000.0
27.32884658064516,68.0,1094.0,2.0,2.0,4.0,0.6292491869918699,30.0,63.0,6.0,111.0,1.1670669715744273,0.0,37.0,3.1389826044080484,1.0,7,5.0,13.0,1.0,35.90630568577765,4.0,2.4967368849582217,88.05841647154412,103.15601900000001,9.144330392603198,0.332487016916275,0.14545846973309104,1000000.0
27.32884658064516,73.0,1364.0,1.0,3.0,4.0,0.6292491869918699,17.0,61.0,9.592730006945438,108.0,1.5102158407213206,0.0,32.0,2.610235713382499,1.0,7,9.0,8.0,1.0,36.86091208011403,13.0,2.4967368849582217,89.54484502198149,99.00874600000003,8.3760140378259,0.3366207778453827,0.16079411706431804,1000000.0
27.32884658064516,16.0,1191.0,2.0,9.0,4.0,0.6292491869918699,3.0,81.35796522709745,9.04438670163485,45.0,1.3153652987128173,0.0,24.0,7.267546565146363,1.0,7,1.0,3.0,1.0,47.14846851730435,4.0,2.4967368849582217,15.406522225767857,105.37476300000004,9.547174865154993,0.3827088475227356,0.18434319679992245,1000000.0
27.32884658064516,0.0,1408.0,0.0,9.0,4.0,0.6292491869918699,22.0,73.9471525796108,6.0,131.0,1.9062640224964116,1.0,26.0,5.324506070076392,1.0,7,3.0,14.0,1.0,59.983072894954326,23.0,2.4967368849582217,85.71817921396307,104.04360700000002,7.489010287694208,0.2171480506658554,0.1806389609905586,1000000.0
27.32884658064516,21.0,691.0,2.0,5.0,4.0,0.6292491869918699,1.0,58.0,12.033846492521597,51.0,0.42563852259077306,1.0,44.889193863506826,5.225023086391782,1.0,7,1.0,2.0,1.0,50.40242573448965,7.0,2.4967368849582217,112.07650605505775,105.14899500000003,9.547174865154993,0.5161535143852234,0.17314459811266278,20.359978841229378
27.32884658064516,48.0,31.0,0.0,5.0,4.0,0.6292491869918699,16.0,62.0,5.0,63.0,1.2846679468286826,1.0,29.393556255990283,7.268125655662592,1.0,7,3.0,12.0,1.0,50.370782813139485,21.0,2.4967368849582217,25.499259929130684,106.00518200000006,8.932060657470197,0.3344297707080841,0.20121091640802688,1000000.0
27.32884658064516,25.0,1221.0,0.0,5.0,4.0,0.6292491869918699,18.0,55.0,8.261017214062493,122.0,1.117555024696281,1.0,24.384822064993674,9.359319784267118,1.0,7,3.0,13.0,1.0,34.83219128472621,18.0,2.4967368849582217,15.045761241591759,104.6411716666667,10.921672358884981,0.332487016916275,0.1546564847164989,1000000.0
27.32884658064516,36.0,30.0,1.0,3.0,4.0,0.6292491869918699,13.0,82.89876079818589,10.780199725531055,72.0,1.0994709678391372,1.0,41.58830484526928,2.8592817673415905,1.0,7,2.0,5.0,1.0,30.406797952528482,16.0,2.4967368849582217,103.83505469007054,104.75199866666671,9.246830541415259,0.24506071209907532,0.2124188032335611,22.30515185469987
27.32884658064516,6.0,1372.0,0.0,9.0,4.0,0.6292491869918699,26.0,80.5076846926641,9.892512071841928,46.0,1.6020017032677158,1.0,15.0,7.567919333820573,1.0,7,3.0,12.0,1.0,47.07192319652128,21.0,2.4967368849582217,78.42550015273457,106.69061100000005,7.146571506074382,0.27888965606689453,0.1686001542705055,1000000.0
27.32884658064516,55.0,44.0,1.0,3.0,4.0,0.6292491869918699,26.0,67.0,9.53512341701122,130.0,0.695561659475713,1.0,20.0,5.055137183446156,1.0,7,2.0,2.0,1.0,35.319101222923074,21.0,2.4967368849582217,52.885407364375794,104.2654636666667,8.998807865287107,0.5083850622177124,0.20708306838880014,1000000.0
27.32884658064516,70.0,775.0,0.0,9.0,4.0,0.6292491869918699,24.0,61.0,9.36934977298583,109.0,1.5492081430025062,1.0,27.0,9.701290463712581,1.0,7,5.0,13.0,1.0,52.43213501453629,11.0,2.4967368849582217,97.24400604504575,102.93318600000002,9.077583184786288,0.332487016916275,0.15226473418422776,1000000.0
27.32884658064516,51.0,415.0,1.0,2.0,4.0,0.6292491869918699,5.0,60.0,9.961077366968105,127.0,1.2122673458676778,0.0,10.0,4.03700251463478,1.0,7,2.0,12.0,1.0,44.70986834460483,37.0,2.4967368849582217,25.421529088193797,104.57177300000005,8.763933582510539,0.19290977716445923,0.13043300853073211,1000000.0
27.32884658064516,19.0,451.0,2.0,0.0,4.0,0.6292491869918699,23.0,80.3806047106797,10.312787967535716,19.0,1.267289799490727,1.0,19.0,4.735247055636696,1.0,7,2.0,2.0,1.0,31.089632116872586,11.0,2.4967368849582217,20.102973815147468,99.63608300000004,8.701281153280654,0.507676362991333,0.19752295814207588,1000000.0
27.32884658064516,11.0,1267.0,1.0,4.0,4.0,0.6292491869918699,4.0,61.0,8.0,69.0,1.8632537762533958,0.0,36.0,5.332624336376184,1.0,7,1.0,12.0,1.0,44.49110977375254,13.0,2.4967368849582217,66.8499836833446,104.28641000000005,8.778858510377695,0.19290977716445923,0.13477671022403445,1000000.0
27.32884658064516,54.0,1120.0,1.0,4.0,4.0,0.6292491869918699,13.0,59.0,10.587921000272239,67.0,1.8246918536094172,1.0,15.807978997655004,6.37064783939733,1.0,7,0.0,5.0,1.0,31.079509644019275,10.0,2.4967368849582217,14.687751558195686,101.0703406666667,10.969204801511195,1.00738525390625,0.17177745301281722,1000000.0
27.328846580645163,4.0,652.0,1.0,3.0,4.0,0.6292491869918699,23.0,73.63061095451356,5.0,107.0,0.6789974268447863,1.0,34.0,3.6916612441327565,1.0,7,0.0,2.0,1.0,38.23424962489745,22.0,2.4967368849582217,80.98821189178632,104.23392100000001,9.59088267413856,1.2500238418579102,0.16210091762006404,1000000.0
27.32884658064516,56.0,29.0,0.0,2.0,4.0,0.6292491869918699,31.0,72.94853832908962,6.0,129.0,1.5345939613733215,1.0,12.0,7.156485997263786,1.0,7,3.0,0.0,1.0,55.364879931458745,30.0,2.4967368849582217,34.848970573980075,105.32403800000003,8.785150180793558,0.4893134534358978,0.1637397917138165,1000000.0
27.32884658064516,5.0,595.0,2.0,9.0,4.0,0.6292491869918699,10.0,73.54034415889964,6.000000000000001,22.0,1.9644624270806745,0.0,11.0,5.709288632758798,1.0,7,3.0,5.0,1.0,35.623891628919125,24.0,2.4967368849582217,24.87683700481792,107.16929500000006,8.665538613345872,0.2655813694000244,0.1653191010382776,1000000.0
27.32884658064516,4.0,460.0,0.0,2.0,4.0,0.6292491869918699,31.0,82.0918845489245,11.436341124414955,86.0,1.3009418176714038,1.0,14.0,5.037760566065547,1.0,7,2.0,14.0,1.0,50.74597081234006,30.0,2.4967368849582217,75.91785148211794,104.97208600000003,8.440140595089064,0.2506653666496277,0.1462182292806747,1000000.0
27.32884658064516,47.0,318.0,2.0,5.0,4.0,0.6292491869918699,1.0,60.0,10.64664574551085,92.0,1.2250071108904275,1.0,35.0,5.636865867708673,1.0,7,0.0,8.0,1.0,27.84802183213323,19.0,2.81968521662198,22.997518445512977,103.76223800000005,1000000.0,1000000.0,1000000.0,1000000.0
27.32884658064516,22.0,244.0,0.0,2.0,4.0,0.6292491869918699,23.0,60.99999999999999,5.0,57.0,0.6565777833018849,1.0,33.0,6.322492020783362,1.0,7,3.0,14.0,1.0,51.28727923112716,35.0,2.4967368849582217,41.98737148632717,104.04670600000001,9.267218717711508,0.332487016916275,0.15002171341855,1000000.0
