Additive_3,V4_Ventilation Day,Additive_4,Initial C/N (%),Additive_2,Application Rate (%DW),M1_is Enclosed,Turning times,Initial GI (%),Material_3,Initial Moisture Content (%),Compost volume (m3),Period (d),V2_Ventilation Interval (min),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Additive_1, Composting Method,Material_Main,Material_2,Initial pH,V1_Ventilation Type,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
4.0,0.0,1.0,23.0,1.0,4.945677039971626,1.0,5.0,27.32884658064516,3.0,59.0,0.15181,64.0,0.0,0.0,0.0,18.0,0.0,6,4.0,10.429776099476058,2.0,1.411,17.36932940723501,102.96533600000002,5.2552368454797485,0.15547966957092285,0.22171687272023216,1000000.0
4.0,0.0,1.0,21.0,9.0,5.85367095218507,1.0,0.0,27.32884658064516,0.0,60.0,0.15181,39.0,0.0,0.0,0.0,16.0,2.0,6,2.0,8.0,2.0,1.411,21.020398404904096,104.90384600000003,7.289683298652186,0.0730128362774849,0.208318098771405,1000000.0
4.0,0.0,1.0,17.0,12.0,3.9043936059246347,1.0,4.0,27.328846580645163,4.0,76.66095404874223,0.15181,109.0,0.0,0.0,0.0,25.0,1.0,6,5.0,5.0,2.0,1.411,42.326188137071625,103.13805700000006,7.544864917375314,0.47666671872138977,0.18171528816524116,1000000.0
4.0,0.0,1.0,30.0,13.0,9.54094630787156,1.0,1.0,27.32884658064516,3.0,60.0,0.15181,113.0,0.0,0.0,0.0,16.0,0.0,6,5.0,8.0,2.0,1.411,9.968026350743402,103.29496600000002,5.0088636042515065,0.17432688176631927,0.20242207178271457,1000000.0
4.0,0.0,1.0,22.0,13.0,9.776560850166085,1.0,2.0,27.32884658064516,9.0,74.35665938627885,0.15181,53.0,0.0,0.0,0.0,13.0,2.0,6,0.0,5.0,2.0,1.411,31.97912686175816,104.95174500000003,7.369115856952888,0.3136805295944214,0.17998995299510973,1000000.0
4.0,0.0,1.0,21.0,2.0,8.510713685857656,1.0,0.0,27.32884658064516,9.0,60.0,0.15181,33.0,0.0,0.0,0.0,18.0,2.0,6,3.0,6.0,2.0,1.411,43.698956082844276,105.17917600000003,7.17952251208299,-0.04246145859360695,0.18519597116430767,1000000.0
4.0,0.0,1.0,33.0,13.0,9.099936455227962,1.0,5.0,27.32884658064516,0.0,80.88895272493478,0.15181,94.0,0.0,0.0,0.0,10.0,2.0,6,5.0,10.077775172915025,2.0,1.411,45.84829128442477,103.69467100000003,6.322064246220466,0.1393856704235077,0.17058995405778066,1000000.0
4.0,3.0,1.0,38.0,11.0,4.89089191629991,1.0,4.0,27.32884658064516,2.0,82.25721069213138,0.15181,98.0,0.0,0.0,0.6110830793997377,27.0,1.0,6,0.0,8.423896682372881,0.0,1.411,26.3116871461171,102.30530000000005,8.664441367703336,0.14761923253536224,0.21075801500902921,1000000.0
4.0,0.0,1.0,13.0,6.0,2.987264573864171,0.0,7.0,27.32884658064516,9.0,79.33195077982472,0.15181,125.0,0.0,0.0,0.0,35.0,2.0,6,4.0,8.471881902885116,2.0,1.411,10.794589213038634,104.24613100000005,6.843563131890467,0.20583483576774597,0.12598335938742908,1000000.0
4.0,0.0,1.0,24.0,10.0,8.875655671586017,1.0,7.0,27.32884658064516,4.0,55.0,0.15181,70.0,0.0,0.0,0.0,12.0,2.0,6,2.0,7.0,2.0,1.411,46.58986011179171,103.18782600000003,7.125567273375678,0.05671456456184387,0.17200164543766175,1000000.0
4.0,0.0,1.0,34.0,11.0,8.93200611685614,0.0,29.0,27.328846580645163,9.0,61.99999999999999,0.15181,36.0,0.0,0.0,0.0,28.0,2.0,6,5.0,8.0,2.0,1.411,43.62382837824759,101.31695066666668,8.794824475210893,0.15049347281455994,0.15399395373182836,1000000.0
4.0,0.0,1.0,31.0,5.0,9.991802911779185,1.0,2.0,27.32884658064516,5.0,52.0,0.15181,72.0,0.0,0.0,0.0,19.0,2.0,6,4.0,7.0,2.0,1.411,28.7597430909568,104.98467600000004,7.00917532250195,-0.008415192365646362,0.18032525552592332,1000000.0
