Aeration method, Composting Method,M1_is Enclosed,Material_2,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),TC loss (%)
1,0,1.0,15,1,5,91.0,70.2,0,0.0,0.0,13.0,12.5,0.25,60.0,4,0.93,7,20.0,59.32
1,0,1.0,15,2,5,91.0,71.8,0,0.0,0.0,13.0,25.0,0.25,60.0,0,0.89,1,20.0,46.29
1,0,1.0,15,3,5,91.0,76.8,0,0.0,0.0,13.0,0.0,0.25,60.0,9,1.05,7,25.0,63.43
1,0,0.75,15,4,5,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,0,0.44,7,20.54,54.86
1,0,0.75,15,1,5,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,4,0.44,7,20.54,57.98
1,0,0.75,15,2,5,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,0,0.44,1,20.54,46.82
1,0,1.0,15,3,5,91.0,80.8,0,0.0,0.0,13.0,0.0,0.25,60.0,9,0.99,7,30.0,65.3
1,0,1.0,15,4,5,91.0,59.8,0,0.0,0.0,13.0,12.5,0.25,60.0,0,0.81,7,30.0,58.96
1,0,1.0,15,1,5,91.0,59.8,0,0.0,0.0,13.0,12.5,0.25,60.0,4,0.81,7,30.0,57.62
1,0,0.75,15,2,5,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,0,0.44,1,20.54,51.11
0,0,1.0,3,3,7,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,75.32,9,0.56,7,17.96,22.82
0,0,1.0,3,3,7,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,69.37,9,0.49,7,17.83,43.09
0,0,1.0,3,3,7,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,66.06,9,0.78,7,19.19,49.76
0,0,1.0,13,3,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,76.28,9,0.52,7,21.77,23.45
0,0,1.0,13,3,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,72.85,9,0.5,7,21.05,37.55
0,0,1.0,13,3,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,63.45,9,0.51,7,22.43,57.58
0,0,1.0,17,3,7,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,67.86,9,0.44,7,12.13,32.63
0,0,1.0,17,3,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,76.28,9,0.75,7,22.24,36.19
3,2,0.0,4,3,7,70.0,0.0,2,0.0,0.0,6.0,0.0,22.5,68.28,9,0.0,7,18.3,34.44
3,2,0.0,4,4,7,70.0,0.0,2,0.0,0.0,6.0,0.6,22.5,68.28,0,0.0,7,18.3,28.31
3,2,0.0,4,4,7,70.0,0.0,2,0.0,0.0,6.0,1.0,22.5,68.28,0,0.0,7,17.82,29.97
3,2,0.0,4,4,7,70.0,0.0,2,0.0,0.0,6.0,1.7,22.5,68.77,0,0.0,7,17.82,30.68
3,2,0.0,4,3,7,56.0,0.0,2,0.0,0.0,8.0,0.0,22.5,64.97,9,0.0,7,18.71,46.89
3,2,0.0,4,4,7,56.0,0.0,2,0.0,0.0,8.0,4.0,22.5,64.97,0,0.0,7,18.71,34.85
3,2,0.0,4,4,7,56.0,0.0,2,0.0,0.0,8.0,7.3,22.5,64.35,0,0.0,7,18.71,33.33
3,2,0.0,4,4,7,56.0,0.0,2,0.0,0.0,8.0,13.5,22.5,62.0,0,0.0,7,16.55,23.79
3,2,0.75,4,4,7,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,0,0.44,7,20.54,21.21
0,0,0.75,9,3,4,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,9,0.44,7,20.54,36.77
0,0,1.0,9,3,4,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,56.2,9,0.78,7,40.0,45.06
0,0,1.0,9,3,4,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,58.8,9,0.83,7,35.0,43.65
0,0,1.0,9,3,4,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,60.9,9,0.66,7,30.0,50.1
0,0,1.0,9,3,4,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,61.9,9,0.59,7,25.0,53.43
0,0,1.0,7,3,6,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,61.9,9,0.56,7,20.0,56.34
0,0,1.0,7,3,6,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,64.5,9,0.35,7,15.0,54.84
0,0,1.0,17,3,6,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,65.3,9,0.52,7,11.7,56.57
1,0,0.75,6,3,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,9,0.44,7,20.54,67.86
1,0,0.75,6,1,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,10,0.44,7,20.54,68.52
1,0,0.75,6,4,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,12,0.44,7,20.54,65.77
1,0,0.75,6,2,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,10,0.44,8,20.54,68.08
1,0,0.75,11,3,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,9,0.44,7,20.54,64.55
1,0,0.75,11,1,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,10,0.44,7,20.54,59.37
1,0,0.75,11,4,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,12,0.44,7,20.54,55.72
1,0,0.75,11,2,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,10,0.44,8,20.54,59.37
1,0,0.75,12,3,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,9,0.44,7,20.54,61.68
1,0,0.75,12,1,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,10,0.44,7,20.54,43.92
1,0,0.75,12,4,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,12,0.44,7,20.54,53.08
1,0,0.75,12,2,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,10,0.44,8,20.54,51.64
2,0,0.0,6,3,8,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,81.0,9,0.0,7,12.2,24.9
2,0,0.0,10,3,8,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,75.8,9,0.0,7,15.3,31.4
2,0,0.0,10,3,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,77.3,9,0.0,7,22.3,31.6
2,0,0.0,10,3,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,77.0,9,0.0,7,20.1,40.8
2,0,0.0,16,3,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,80.0,9,0.0,7,29.9,35.0
2,0,0.0,6,4,1,84.0,0.0,2,0.0,0.0,0.0,22.28,0.12,84.1,0,0.0,7,16.9,14.9
2,0,0.0,10,4,1,84.0,0.0,2,0.0,0.0,0.0,9.53,0.12,80.7,0,0.0,7,20.5,32.3
2,0,0.0,10,4,1,84.0,0.0,2,0.0,0.0,0.0,15.84,0.12,81.5,0,0.0,7,21.3,25.3
1,0,1.0,1,1,0,60.0,60.0,0,0.0,0.0,5.0,13.15,0.04,60.0,11,0.22,7,16.0,44.0
1,0,1.0,1,1,0,60.0,60.0,0,0.0,0.0,5.0,13.15,0.04,60.0,11,0.44,7,19.0,51.0
1,0,1.0,1,1,0,60.0,60.0,0,0.0,0.0,5.0,13.15,0.04,60.0,11,0.66,7,22.0,54.0
1,0,1.0,1,1,0,60.0,60.0,0,0.0,0.0,5.0,10.07,0.04,65.0,11,0.22,7,19.0,42.0
1,0,1.0,1,1,0,60.0,60.0,0,0.0,0.0,5.0,7.49,0.04,65.0,11,0.44,7,22.0,56.0
1,0,1.0,1,1,0,60.0,60.0,0,0.0,0.0,5.0,12.04,0.04,65.0,11,0.66,7,16.0,51.0
1,0,1.0,1,1,0,60.0,60.0,0,0.0,0.0,5.0,1.17,0.04,70.0,11,0.22,7,22.0,47.0
1,0,1.0,1,1,0,60.0,60.0,0,0.0,0.0,5.0,1.07,0.04,70.0,11,0.44,7,16.0,36.0
1,0,1.0,1,1,0,60.0,60.0,0,0.0,0.0,5.0,1.39,0.04,70.0,11,0.66,7,19.0,50.0
0,0,1.0,6,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,69.0,9,0.28,7,11.0,23.5
0,0,1.0,8,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,63.0,9,0.28,7,11.0,20.6
0,0,1.0,8,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,66.0,9,0.28,7,11.0,21.8
0,0,1.0,12,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,9,0.28,7,14.7,16.8
0,0,1.0,12,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,67.0,9,0.28,7,12.9,19.2
0,0,1.0,0,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,9,0.28,7,14.0,29.5
0,0,1.0,5,3,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,9,0.28,7,12.1,18.6
1,0,0.75,1,3,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,9,0.44,7,20.54,43.0
1,0,0.75,1,3,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,9,0.44,7,20.54,50.0
1,0,0.75,1,3,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,9,0.44,7,20.54,53.0
1,0,0.75,1,3,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,9,0.44,7,20.54,41.0
1,0,0.75,1,3,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,9,0.44,7,20.54,55.0
1,0,0.75,1,3,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,9,0.44,7,20.54,50.0
1,0,0.75,1,3,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,9,0.44,7,20.54,46.0
1,0,0.75,1,3,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,9,0.44,7,20.54,34.0
1,0,0.75,1,3,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,9,0.44,7,20.54,49.0
1,0,1.0,2,3,8,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,64.1,9,0.24,7,14.7,42.7
1,0,1.0,2,3,8,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,65.2,9,0.48,7,18.3,51.0
1,0,1.0,2,3,8,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,63.7,9,0.72,7,20.7,50.7
1,0,1.0,2,3,8,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,71.3,9,0.24,7,18.4,41.6
1,0,1.0,2,3,8,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,70.6,9,0.48,7,21.1,54.0
1,0,1.0,2,3,8,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,70.8,9,0.72,7,15.0,50.3
1,0,1.0,2,3,8,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,75.7,9,0.24,7,21.2,45.6
1,0,1.0,2,3,8,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,76.8,9,0.48,7,14.9,33.8
1,0,1.0,2,3,8,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,74.0,9,0.72,7,18.0,48.9
3,2,0.0,12,3,5,87.0,0.0,2,0.0,0.0,14.0,0.0,0.14,69.24,9,0.0,7,20.0,63.12
3,2,0.0,12,3,5,87.0,0.0,2,0.0,0.0,14.0,0.0,0.14,70.39,9,0.0,7,25.0,69.28
1,0,1.0,12,3,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.16,66.03,9,0.81,7,21.96,52.9
1,0,1.0,12,3,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.3,65.69,9,0.81,7,21.51,55.63
1,0,1.0,12,3,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.57,66.14,9,0.81,7,21.64,55.11
3,1,0.0,1,3,8,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,64.0,9,0.0,7,17.4,63.64
3,1,1.0,1,3,8,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,64.0,9,0.0,7,17.4,63.16
3,1,0.0,1,3,8,70.0,0.0,2,0.0,0.0,5.0,0.0,1.2,64.0,9,0.0,7,17.4,63.33
3,1,1.0,1,3,8,70.0,0.0,2,0.0,0.0,5.0,0.0,1.2,64.0,9,0.0,7,17.4,62.73
2,1,0.0,1,3,8,70.0,0.0,2,0.0,0.0,0.0,0.0,1.2,64.0,9,0.0,7,17.4,52.88
2,1,1.0,1,3,8,70.0,0.0,2,0.0,0.0,0.0,0.0,1.2,64.0,9,0.0,7,17.4,51.81
1,0,1.0,1,3,7,35.0,35.0,0,0.0,0.0,5.0,0.0,0.06,72.1,9,0.2,7,11.37,50.26
3,0,1.0,1,3,8,56.0,0.0,2,0.0,0.0,7.0,0.0,1.2,67.6,9,0.0,7,18.98,66.0
3,0,1.0,1,1,8,56.0,0.0,2,0.0,0.0,7.0,3.3,1.2,67.6,11,0.0,7,18.98,59.5
3,0,1.0,1,1,8,56.0,0.0,2,0.0,0.0,7.0,6.6,1.2,67.6,11,0.0,7,18.98,60.5
3,0,1.0,1,1,8,56.0,0.0,2,0.0,0.0,7.0,9.9,1.2,67.6,11,0.0,7,18.98,55.3
3,0,1.0,1,1,8,56.0,0.0,2,0.0,0.0,7.0,13.2,1.2,67.6,11,0.0,7,18.98,44.3
3,0,1.0,19,3,5,28.0,0.0,2,0.0,0.0,9.0,0.0,0.13,61.46,9,0.0,7,30.88,41.19
3,0,1.0,19,4,5,28.0,0.0,2,0.0,0.0,9.0,2.0,0.13,60.66,3,0.0,7,30.04,38.64
3,0,1.0,19,4,5,28.0,0.0,2,0.0,0.0,9.0,4.0,0.13,59.71,3,0.0,7,30.35,31.45
3,0,1.0,19,4,5,28.0,0.0,2,0.0,0.0,9.0,6.0,0.13,60.45,3,0.0,7,30.57,25.78
3,0,1.0,19,4,5,28.0,0.0,2,0.0,0.0,9.0,8.0,0.13,60.07,3,0.0,7,30.88,18.48
1,0,1.0,1,3,8,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,9,0.86,7,15.04,46.9
1,0,1.0,1,3,8,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,9,0.93,7,19.96,53.94
1,0,1.0,1,3,8,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,9,0.9,7,24.99,67.74
1,0,1.0,6,3,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,66.9,9,1.21,7,25.0,52.8
1,0,1.0,14,3,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,58.6,9,0.96,7,20.9,59.4
1,0,1.0,14,3,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,53.1,9,0.86,7,18.7,62.5
1,0,1.0,14,3,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,47.5,9,0.76,7,16.8,60.1
3,1,1.0,1,3,1,40.0,0.0,2,0.0,0.0,9.0,0.0,0.2,65.0,9,0.0,7,29.71,55.81
3,1,1.0,1,0,1,40.0,0.0,2,0.0,0.0,9.0,1.0,0.2,65.0,8,0.0,7,29.85,54.13
3,1,1.0,1,4,1,40.0,0.0,2,0.0,0.0,9.0,5.0,0.2,65.0,0,0.0,7,33.08,52.5
3,1,1.0,1,2,1,40.0,0.0,2,0.0,0.0,9.0,6.0,0.2,65.0,0,0.0,6,33.44,48.48
