Additive_2,Additive_2_encoded
Bamboo Vinegar,0
Bean dreg,1
Biochar,2
Calcium magnesium phosphate fertilizer,3
Calcium superphosphate,4
DCD,5
Dicyandiamide,6
Ferrous sulfate,7
Gypsum,8
H₃PO₄,9
KH₂PO₄,10
KH₂PO₄-K₂HPO₄,11
K₂HPO₄,12
K₃PO₄,13
Mg(OH)₂,14
MgO,15
MgSO₄,16
Microbiological agent,17
Na₂HPO₄·2H₂O,18
None,19
Sodium humate,20
Superphosphate,21
Zeolite,22
