Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),N2O-N loss (%)
20,3,3,7,2,2,100.50590739793698,10.26315186194558,0.5940605540647144,53.798808278164316,17.887331499821506,4.3176766233162684,0.07914181517505364,77.99480711814422,5.191330996335694,3.917673286119318,7.3497788362198495,0,2.162888921981482,39.758310469554054,2,11.782426418973614,0.04618066660428967,2558.1589821827793,170.05716520149528,5.761281668314457,[2.2302952]
17,9,0,2,3,1,57.90257515578006,43.47911082002161,2.738931325597795,174.416478884838,29.09396059827738,13.37135230872822,0.05663043371575985,37.8469845059485,5.206080751922044,0.20378450838998413,16.15830833356722,1,4.832468625605309,36.5982365038987,2,5.2123881192860715,0.27394361542229717,2880.8514242438887,616.4933303540181,5.737047955717651,[1.72732625]
16,10,0,2,1,2,34.45130116752197,5.657671885446623,5.807855363140147,138.30189424480204,36.816992621310206,13.87615801572168,1.9264186581561502,9.663743372520674,3.2087538287596304,0.11754055020983101,9.978322114642994,2,1.4056565149556242,54.3117298738578,1,8.19192847152333,0.769176896497306,637.8873976115656,15.91144209126394,8.232385289056129,[1.79315641]
22,1,3,4,2,0,68.24167276520953,37.09323640368195,5.669435967610048,227.96742518083954,17.582028305950242,4.1699712291140205,10.523064146029842,20.173396213272625,6.180274557743349,2.912024891383298,7.878288505179831,1,4.952255947136086,25.222359627697674,4,5.0050699641181415,1.2875720098364642,3359.5874887795267,182.1534284546229,6.549646668188136,[1.76233147]
20,4,3,4,7,3,91.60312147777557,38.84184353608207,9.468598154389602,1.498901781393232,2.626963570615624,3.958458621070001,8.329077246462267,55.09888247050944,4.87824743997073,0.39839153274390476,8.84074042240158,0,1.617994809864992,44.012725851762056,2,8.363586874283074,0.6341446238718467,83.56116017350799,646.104063638912,2.5994718982108047,[1.91690588]
6,1,3,2,3,0,15.618947368450812,40.52984595597909,21.68200409053395,209.20806476170318,6.274685407435451,20.486138279055595,8.354365552316438,39.53950513704503,4.378871598922492,1.2898512697962028,14.40117721182489,1,4.473324557509869,0.3615726008560005,1,9.394540648628425,1.3961636161940678,360.89259179527886,714.5088157764917,9.165090303535203,[1.72444785]
20,4,2,2,4,2,0.26324809090270307,1.407452245470485,26.177436550784606,2.458851091018143,32.73034584252205,15.273065611329482,5.920442152433862,20.69382080150219,6.046942362560061,1.0462586774581417,17.197544888392695,1,6.4671046659814335,14.542358729130191,0,7.683310044858943,1.0460993841233588,197.35459159411286,718.126251513148,1.419786602329872,[1.75643765]
6,1,0,2,3,2,66.07671995039762,38.582363195214064,26.03977924042006,78.33713273199798,35.24872568324028,28.77348860904638,3.8973981329285032,78.58618956070585,-0.43767046610144666,0.05732533099482601,10.212247600690942,1,6.728700810211382,52.267462176380285,1,5.466292327900794,0.2507973290184638,619.1308492753399,985.8113622028228,3.7128145125979324,[1.72170547]
17,0,3,2,2,1,86.11596544696778,52.34021041000748,2.7215621264162975,178.3620239664117,11.80441473191833,9.538121914544986,1.2113490828317421,34.67823993083996,3.8232944594314078,1.843308153923066,7.828427407506958,1,3.1708377039920714,6.99217811088164,3,10.957881107619837,0.7193373632130263,2113.3967626045824,653.720450622043,7.486754546298192,[1.72320338]
15,6,2,5,0,3,29.341750409143067,34.340965288847514,7.8826119344446575,36.42777240391421,35.365492159834304,2.0403533849342765,0.08635607566584907,14.992009299444149,4.197495257609434,3.3600723071641694,23.673456020423618,0,2.209249911708082,24.32959076689698,2,6.654962731013458,0.6420074759118172,1146.4802153105868,874.5026846401679,8.519010717469659,[1.69910502]
