Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),NH3-N (g)
13,7,1,5,0,6,32.83171040769264,31.827638078098666,23.524103604424155,73.57106009603469,20.338416128943468,15.736585548384351,3.481103178181393,1.8831812067615346,15.053819488221638,1.7327843407549781,35.5132409667406,2,4.291699883945267,18.370934638805196,0,2.6065861562964336,1.326153522418726,3912.6404759849415,528.3218231092459,7.461175910079494,[13850.90446686]
43,5,1,2,8,4,38.68342511802936,40.2159840362325,55.450864350059895,297.92896297063226,20.378083710851364,8.465937869994004,4.0793118390884135,31.088114417115573,8.385193100519823,3.7072764642398854,1.8995820135417465,0,3.5203384731091374,41.00738679110895,3,9.833454414665486,0.6021790075732588,3941.9539666104433,673.9952011608981,7.497546666365945,[13318.11878158]
42,5,2,1,5,0,81.30476160511765,30.72502647752335,3.483100626873891,74.24740285391411,21.329977041954592,34.21988715616421,5.690595291995678,10.405447436605199,16.471079743044335,3.3353218231172175,0.698173705714705,0,4.867855885066449,3.406535412173189,4,5.522784200201588,0.7585499678988621,3921.6679859195033,672.1812246289243,10.622618532614485,[14713.52781306]
24,6,1,3,6,3,72.18389798019514,5.972549765365814,6.18712965030204,295.6666998112681,18.247902856056434,36.518968894002356,8.427519960572855,1.7127659070471501,14.99649748852777,0.4553938116343023,0.2598170194856682,0,0.9639183742242813,26.60372232158191,2,11.834824515670196,1.4425242363976398,3375.1959599583774,675.3323404216513,10.503568235580257,[12300.43902303]
35,5,0,6,5,6,44.45604297126387,41.01984704024163,41.846237525492036,22.083012488100472,20.959786504687074,25.797178452835915,4.791499711840516,72.01770029171156,11.586859301099636,2.451568288472613,14.415557797614328,1,5.964937059614129,22.6366606987811,1,9.907730375824336,2.0243608289573842,3445.999523400473,663.3465734809679,0.21148806378307677,[12008.28352535]
14,10,1,5,2,2,75.60294678936924,61.87003392412885,22.739032349608152,67.5581272250309,13.754121991167537,6.513633833836661,10.785464521020527,40.451388522949365,0.066044782349717,0.10742613897063191,4.372146574232864,2,2.229409035576258,26.37474984516929,4,12.984585841005373,0.8814596011825938,3787.278748350577,628.5517319656991,10.149982901298849,[12924.57732551]
42,5,3,3,4,2,22.08365059299825,18.400987328213024,2.556992858269269,-0.7872761390956307,12.718945816703464,28.402480575359377,0.12785538450942407,38.54557614053778,12.053625723487558,0.5211003740720015,25.81902580452227,0,3.9647856754227564,32.629443212958435,4,9.823473906131987,0.4407157312842525,3366.964455190947,685.1516181953008,7.812007174732102,[12930.19185351]
30,2,2,7,4,3,36.09380140423602,4.841435462795872,55.95500312640425,259.92574412763327,11.967214485946819,9.149491303577587,8.244072703132279,6.147889601205667,3.578995196158476,2.106254011965472,2.845865917732002,0,2.0172664500153874,44.39306788270574,1,13.01047271641642,0.5018547354731121,3895.4958723481177,451.24287483627546,3.082092499327083,[12439.60067258]
22,4,2,3,2,0,26.223510490849506,26.68412412681177,25.01753131451789,204.65645868460038,1.298428194771505,32.63821596164063,4.829825164065688,11.367632118648912,0.9003573923330417,2.7599649307729965,23.17664172125352,1,1.4473909857064193,21.045361986764185,4,6.132244306410971,0.345305077867443,3473.2523767797647,698.5533510959358,3.697826036143053,[13177.21721949]
26,8,2,5,3,6,30.6857335426295,20.12498740461518,19.28136649830724,155.05059115371955,2.817465741155903,20.294936261097522,4.321571667662914,5.399762722994175,2.3876913168204474,0.3850093176680498,33.262209440333656,0,1.0383246358946345,29.885384550970727,4,1.5789725980758489,1.440227689814445,3903.4915869023325,424.72740607421184,9.027038660777096,[12509.89024941]
23,7,0,0,9,0,14.654149877274747,21.102903285546123,26.694368460742304,226.9178799875122,17.750788645773273,29.975075132870522,9.579555386265264,1.9572560066168094,12.88595546062587,0.07412573240508269,1.6728557941211017,1,0.010195423436803658,7.316903038166277,1,9.505157372125076,2.0139306573346554,3904.5036082388215,468.44480273812326,8.768350904763775,[13713.61535901]
44,4,0,6,6,3,63.591529534499756,44.75158699316116,1.2063678849311534,104.37053658801307,23.76812075508462,9.406439774138061,4.155205273950885,66.52698433112877,14.89420229243514,1.753023317101711,28.131890481792155,1,1.4226720338827847,0.998171965440657,0,13.735578353736516,0.21560272384671145,3720.640231288338,582.5101005657233,2.6238589558103134,[11925.52454517]
8,1,3,7,2,5,101.16601691530084,0.8456812243097063,58.3986455377585,267.7062795154807,7.956310935697342,24.511767593751262,9.086233112857434,55.960312204854475,10.369435689459339,3.940701512143707,10.913344757065179,2,6.271529836295488,15.143054062084266,2,3.209069755785531,0.6799698799380309,3909.825811635939,699.3787991586476,7.132274679415203,[12470.22406586]
7,6,1,0,5,2,91.55148221916717,9.990851052692484,47.84264197073918,31.63315731166314,8.797066444786138,3.9432601074085496,4.756721373947595,24.749150004533938,11.479760303013746,0.555311587672444,24.31380727645888,0,1.2755774178599695,49.80781751603901,3,1.291682561723339,2.192188145215179,3871.2755943495335,675.7413544998186,4.909515940898767,[13321.11981337]
32,1,1,3,5,1,84.47759090050165,11.147161484499179,6.210319950963268,176.12727699397547,20.76000980595649,2.038374753155182,3.4497076200629695,1.5662571212580745,1.2829801779045318,1.1242002990722293,27.306033909245834,0,6.548445516234175,31.512242460509,3,14.016536639704295,0.1632961973947419,3690.476782097086,562.8032747761413,9.70688455937155,[12295.52747919]
39,2,3,1,0,1,89.92895870400207,8.534385536694776,26.147280070442303,8.154826919167014,3.9803573488668906,18.54539858327548,6.738166909493109,4.447049033043117,9.758913175938943,4.258495754764501,27.63136053746887,0,2.503246277976741,19.149263299013366,3,8.562730159699623,0.35775922578205727,3423.939825868017,607.8271128790975,3.465075576999354,[12458.04805269]
35,6,3,2,7,3,34.37110758986222,28.51012526657277,46.35637479740223,204.62026005470935,14.47290924875342,15.5499313573475,5.600568831629367,1.2523201738169776,5.889085024388914,3.3496917498977052,9.642279228437785,1,4.938912129714571,18.825385254478807,2,1.9969410721555534,1.5540113438362302,3411.447272158288,582.936497290485,2.4204659076106347,[12474.8627938]
28,10,3,5,5,4,29.50418119856781,42.890845170016924,27.69707593169922,78.20200756893512,12.820921507020845,6.4467198512503,0.5405859296539439,37.2092588857235,8.9340104140314,1.0311919372752545,35.0722197304998,0,6.18824035135991,7.207722382742677,3,9.224105016903115,2.117875993602605,3861.3726136394807,569.2352104010237,6.967244873007011,[13304.27230015]
25,2,3,5,5,2,65.02677731117642,32.51588930451821,-0.09079831875189881,75.20203936878039,4.918896405657422,9.261232370632811,0.1682923914686585,17.58000120241501,1.1784231458576935,3.4461866296099952,10.138265034613859,2,1.180292299924011,20.049080027406763,2,4.0908907678762585,1.3840402933598979,3777.351594348883,582.9610819090229,6.243356032895133,[13310.42709065]
6,5,1,7,8,0,58.74242932672171,62.87724312816011,58.71608082921247,233.75575423352365,7.599635451603591,0.7472870866876198,7.6807734234119085,30.455838888076013,11.887570966814707,3.8658950110447052,28.00240402128854,0,0.12536471527379112,9.727530049428243,1,2.570694794251055,1.3389533530130264,3630.8329081686356,670.6157613870655,10.841171439457135,[12367.11063105]
34,1,3,2,8,0,72.8856544065409,23.988027249706608,26.80864890257687,19.983258483828177,19.875035458527364,7.1071622741519995,10.840367782650647,44.32725690196749,6.955092591864777,1.6920035919192633,0.5090228853911452,1,6.0991483787478264,12.929698949157896,3,0.9505062933226999,0.4026990798769429,3780.079315771891,502.3159934438926,10.854924226862632,[12501.76671293]
37,2,0,3,6,5,22.3167006986142,58.9526837128494,37.446445505535536,168.89529627014397,16.58094255274585,26.646280654969345,0.5027238576707407,14.19634642779136,8.898778167359515,2.480437012182896,9.22532571007304,1,1.191443547901193,13.434189240392811,1,11.976240214424653,0.634894473271874,3548.4363767100663,667.0557719980204,2.0284090379679767,[13502.13962835]
21,1,1,2,6,0,22.30882313306175,61.65044083464446,32.839885567377,112.86064065597225,11.383700013883272,36.473794454460545,3.8340801782216882,19.602510477458125,14.390210517630184,2.209664235148936,1.0302289741281792,1,6.1056811277245595,50.76704409425529,2,1.4955819845550944,1.7882519854976975,3800.527948566331,407.549744978254,7.185415713761135,[11939.76253493]
