Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),TC loss (%)
5,0,0,3,1,0,66.64792338928811,30.479156758094348,-0.32323328402815044,33.39368595096999,42.084113681315756,5.184539735833575,5.246206494080679,14.94402615574081,5.990993262922023,1.4356433549055967,34.38852952588154,2,7.121778554361936,14.963761646542565,4,4.2843960780142005,0.3416390522615543,5772.5251331535255,138.24294220450565,1.731442065761375,[64.501854]
3,7,0,5,0,0,54.303313536320296,19.515676214188048,4.839194499250251,57.83463644744176,38.01435655949054,5.315188669525986,15.627729951328714,5.563788123815454,10.674565903285664,2.587064352370678,27.715569291377175,2,2.5992725007402857,7.680260271615831,4,4.554454977795689,0.3665338538958708,17014.926969985212,84.61874882972347,0.9186973916779066,[62.27865]
4,0,0,0,0,0,82.53547136638996,3.6643982222108455,3.1221975470880716,30.58155216943627,34.20922671192111,5.920152700565996,17.07096394708896,65.71387720783713,16.289624187614713,2.7158792960766633,27.86149876429303,1,3.3394774864894536,0.46356533356023866,2,3.5794854078800915,0.11042882888572743,8330.995131214238,48.02318619785731,0.4774852000958808,[60.714832]
4,5,0,6,0,0,23.790455576605186,25.07576314640347,10.263147759221768,13.94633596698873,42.87090657468794,0.7604282871461456,2.4686037204525886,45.070674486126144,1.0180282977274167,0.10149666103764722,21.70345012431854,1,3.6295872048775446,39.843660953313154,0,7.789483687365186,0.4674723993153102,17622.40818640678,115.27618644424989,1.3552499914277134,[60.853916]
12,6,1,2,0,1,93.17090633502603,23.893601670537613,22.1713330112017,27.655696787947747,28.883508054901476,4.371611788809424,16.16115035740179,35.16549503481147,3.120536288135847,1.999172077271864,26.64405140388171,0,7.68152957740577,25.109035654238507,1,1.0312260502933221,0.33562051046491986,19140.1578136599,38.780283800416534,0.035512603738395265,[64.48675]
2,4,0,3,0,0,89.2793386827618,0.9139179835928042,25.336048146563073,15.95606597619371,36.8229500997249,1.7465647847833823,20.599759588072732,5.742538589512126,7.377071868275948,1.7624482703266668,28.605412411204753,1,4.152891587845787,8.691441436463338,3,5.941381372967753,0.17355362745210204,919.2053059785965,134.13833711353308,1.1949799989306689,[61.539013]
2,2,1,6,0,1,76.39189643956385,36.66202610194023,23.534949968142715,51.988305826019165,42.56982947029111,2.8595643775007265,21.72758779521016,47.42196594682263,8.988728279324647,3.3867263254607045,23.526487916914686,1,8.376704547570212,26.878465651636844,3,4.6647920902522575,0.8869141037941412,2152.3106931013735,124.50428748586599,0.6624786175557388,[60.169434]
10,3,1,7,1,1,94.13483834661417,17.422359920738263,9.483170367904037,46.58888252229893,22.309641735699657,4.789347196375873,14.161695048919505,61.10514204479317,12.775520363073143,0.8653994828568377,22.02175459267913,0,7.221746776900094,29.221381326696424,2,7.6243332437411615,0.1209005644665536,8322.121744824524,54.801557699205375,0.014947986341797804,[57.666977]
7,4,1,5,1,0,75.06437652895637,9.022193924142952,10.107884363827864,50.012579771732625,37.28571364317549,3.486914738053564,5.531139987821218,35.84541968424573,13.97024401548116,2.496499648068191,40.481431033399524,0,7.230145679383494,2.8256475377144903,0,5.126228642537674,0.5847498632781449,753.6422522082087,26.608934033068905,1.6788327133273155,[57.23091]
1,8,1,5,0,1,44.54630539580096,24.191640819874483,15.11205470904915,25.066706034787853,36.05114899048214,0.9321383758087758,16.951977785796267,2.269597244322503,0.779429428836973,0.3242906317695567,32.09949660030299,0,0.6335515693773222,3.6994527922213174,2,7.836034352522083,0.5009628079196554,7307.250193256263,135.8812171937118,0.4800600609549577,[57.556847]
2,1,0,5,0,0,36.37152375574183,23.383480624511662,16.82631511020308,31.293476287056592,22.81062724075591,10.222189016564444,10.321533020239345,67.47950523223045,11.176877637314822,1.698552505040574,30.27277493394786,0,8.975535406450042,3.4432356394085613,4,3.6458937454160885,0.2688076622987697,15490.152122189818,0.21576716041661345,1.4915627957710262,[62.707066]
0,7,1,7,1,1,29.975318922289627,30.911828423771244,10.323279390668018,46.41799344641343,31.734143296527197,17.02770302886281,5.091896446889384,52.36980616540415,12.622952978151988,0.8342103908176847,25.265056016788318,2,0.7535169568586473,48.3019914209685,1,4.713865647299845,0.43768836489555796,8921.640287645288,10.423061975539904,1.2751938020158333,[57.621796]
9,5,0,5,1,1,78.78505351513832,3.4392688707906043,1.0200327382773091,50.58475905283064,24.138953446740995,2.4294650125094837,7.27827937813357,36.54595306608943,11.453536304484409,1.6644570939927408,44.03866899505212,1,4.507055316329111,42.96493061869673,2,3.3258692845766413,0.31169563935564376,11343.60441673276,38.808353922214145,2.294049207213146,[59.78713]
12,2,0,1,1,0,44.16496415013796,22.42891636100443,-0.7881895660044779,12.945193923755829,30.282176786934293,12.818307455733201,7.919344370214446,52.629552791920325,9.753831728780892,1.225054403051422,30.290130273134146,0,2.7198712512847605,18.564877680626886,4,1.0379512302775415,0.024042362066079157,2720.673907523947,112.52386820441838,0.7729094038770348,[65.29721]
