Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),N2O-N (g)
14,1,0,0,1,4,17.422943789565807,67.63494097843221,29.996632498341214,307.1979865590273,15.121682448653218,3.5570050818643186,11.207299290548578,12.812298261116764,3.183095483843589,3.982672818197137,34.81186512462887,0,2.303321613592386,18.310537830783186,3,0.7868143097426373,1.314075912810177,3428.59178315672,181.66768959187752,8.226318463065299,[5833.82214805]
8,0,1,2,0,1,49.42414568276919,37.028109775821946,28.531375948354093,189.64711298497625,17.21640424687243,29.747045599439335,10.811929041246938,72.30903172714245,-0.39585545571926006,4.159509447965487,12.066994352332667,0,5.2868024762251835,37.57584019424466,3,6.1835542379970585,1.3054569290948284,3704.1919715799327,287.7548242153628,2.2524080260362846,[5836.73077598]
19,0,1,4,1,3,93.43450339084823,11.685099348375283,5.079427042847961,213.7024487289987,17.982657430792038,13.409609456715001,8.359314768547941,35.80800204616086,4.113280676231625,1.9271664898021985,6.98868622467835,0,4.767952493322453,41.862708111693124,0,2.2782441554054795,1.0940341865103758,3697.897471982251,829.5941350545438,1.8880627078471444,[5825.93127215]
15,2,1,2,3,3,54.203100278561905,4.760764653474058,13.717150907653842,433.53645218995285,17.22054930821874,24.89685519270008,10.979741926882879,41.845307848668945,4.438216591303544,1.5638263714518845,29.36516761604576,0,2.1619490457803403,9.797634372131391,4,5.134351237145899,1.3338017855726718,3733.141222649243,73.99597590540175,4.0493210009809735,[5841.3797271]
19,2,0,1,4,2,43.34060656083924,67.93094963854364,24.891294874410757,435.02370129075183,17.525108651485898,6.169002911789819,10.029922538645991,44.25096236585274,2.686584191240894,4.628756959256949,21.421823460743102,0,3.6784187414969356,17.806273738086883,4,5.995427410886264,0.574579603144708,3670.25127346176,304.7081236832444,4.097282279334307,[5815.37048847]
9,1,1,0,2,3,108.30869550473923,61.09609221996718,23.58003028788014,155.8716898813197,10.034813584725535,2.2372899647038125,8.930304967224108,51.31324835592577,3.953834576993116,2.8366973281387495,31.6828105765086,0,4.990332523519845,3.719352017545129,4,8.543669951348422,0.24697598224446984,3568.4967780020943,717.9282805886215,5.809878270518555,[4847.38480798]
6,1,0,1,2,4,70.97821906162021,72.62430323683718,19.723810807299085,433.5830149536837,14.447544755737741,14.031964772858442,8.505462425058234,7.535350682171564,5.275785617451947,2.637874714773572,5.865202005242146,0,5.14469020940627,46.352606261297076,2,0.6065756598596915,0.4379875358784226,3574.7681633127527,747.4640668375033,8.49758820345675,[5823.97151682]
11,1,1,1,1,1,61.339555313082144,40.46878669304214,17.826445009223807,209.28536992175583,16.237236164892938,10.194253506140768,6.94842168457177,23.121626595463734,3.9049518758580684,3.6003482244839553,9.391525603727597,0,5.523117741209983,38.22415099654875,2,6.918124125123804,0.16579504209677226,3814.708445419164,321.0281156677646,3.0762609728432393,[5811.17130546]
12,1,1,5,3,4,91.95441201368791,54.11195403659622,14.799181283545725,110.66322415459246,13.820253356177457,9.965338657040848,10.46688530080398,28.00564557307988,0.8862573733176282,2.1288609470862605,16.50801498447004,0,2.885191518568227,26.83754748135124,1,9.170870381838686,1.3129294854235098,3525.352635720336,475.0006035975534,5.502805963826327,[5839.85725348]
4,1,0,4,2,3,73.74815704283502,59.843440141451204,27.79733949005962,392.9617294253319,17.24792190340725,11.482477688773042,7.009747491203046,33.1562478045482,5.134536186262077,3.1006270603928265,28.276888037881122,1,2.994190123124813,1.879077793409951,0,9.700850451576168,1.3942366296080435,3722.3379110934243,848.7603353590991,5.583591340826863,[5839.92609302]
20,0,0,4,3,4,57.88320176384132,52.65231918072761,18.226291820841034,64.03619222875756,13.289456458769367,11.909873695299337,6.928473657566325,33.72565248298887,1.1436132438938982,2.0394770733811756,32.11321406048458,2,5.6741413997381995,46.7932630119187,3,11.869263697762879,1.2247462577453214,3740.7108785946266,496.9682456737003,2.939366495242234,[5026.98726127]
6,1,1,4,1,0,105.267781263262,39.21262886264985,3.6320015174390825,438.66140560461474,13.834131630193143,2.792995544976558,10.53007067512974,16.48169835562315,2.2141510820852166,1.0349347122820725,33.68411078303053,1,6.269618832938895,22.551267261299845,0,5.8884285739239255,0.10003746455446827,3609.8302161274705,529.2197610011808,6.587493361864505,[5829.07518984]
1,0,1,2,4,4,81.47340305090326,47.091767086854986,1.4764108932329547,451.1239013218622,14.499174162921907,26.544966610190603,8.093694197051883,53.23808042963039,5.906175588760925,3.5929219996005233,3.869362117055733,0,5.041281011560825,28.81982415453399,2,1.013112752459012,0.6574486278320777,3685.019121423882,811.774240816498,7.433836119080859,[5834.44413896]
0,0,1,4,4,4,108.47097981454323,31.147396265773594,3.1005082249222946,335.31811827621425,13.666395480402647,14.0102921404809,11.133702363072512,44.88906476757996,3.2803145389312993,3.1741972831003715,10.0013510406766,2,3.9132670915003915,24.226425462020647,0,9.94157225325523,0.9161948846436953,3846.7284723779458,711.277666007267,1.4378112229477717,[5822.88379356]
11,0,1,5,2,0,100.12115007460673,73.92527024739154,18.243362793017482,303.2063761481672,14.820682384215367,13.563329674102432,8.704128962003939,64.72344059410435,5.882349790183088,2.270630112719602,13.237501571482358,1,7.671180634557633,15.23645098220621,3,1.732139910524705,1.3538028085425005,3805.139678632011,328.1302837072606,2.48988626384344,[5844.69948454]
6,0,0,2,3,2,33.419201191317555,28.912209318415357,14.41138912393717,69.73420653585387,18.044272321205874,1.389413085976253,8.180731744353826,12.336286264882071,4.571086392139222,2.667010275519031,5.246999002001643,1,4.11030546738312,7.17003867676828,1,6.4489610339685335,1.1456467713546157,3640.4586747913118,677.8503148790529,7.472007144477052,[5828.28435666]
14,0,0,2,4,3,89.051460366186,9.431935534460434,21.738342923098514,77.48268666036846,18.4417668948655,2.3836885429164663,10.599759359880993,10.692287783226478,5.857021688405622,3.4295638479251247,8.582550985177154,1,4.375583022024565,12.803609888855782,0,6.302184776172715,1.227116789182519,3396.324019335491,858.3412862122245,8.641190876564764,[5829.64802205]
8,2,1,5,4,3,109.72029567959244,-0.3400345325295405,4.500441880905046,91.14891873307013,14.090290579937472,4.894052435900443,10.358420789439878,67.76872109615688,0.9668815975885845,4.169756690037054,15.755619313003592,1,3.356855792412422,15.466907573358233,4,2.035755011682496,1.3913520799245445,3763.7261894975204,640.4760718805651,5.285520133299875,[5846.39190467]
