Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),TN loss (%)
5,8,2,10,0,4,106.43508709633286,49.250272780000195,10.56953946205039,349.01625146151935,21.35835972410132,17.045631468458602,9.135512278381288,30.14992528511969,2.2036446979002133,2.9260030096654632,30.612638602324107,2,9.507761674662325,37.19399822914275,4,10.051423831442053,2.1857152232503987,17710.97658551726,4969.708040366941,6.480711388264844,[55.6776029]
28,13,4,2,9,1,109.69117465706778,12.286427158147317,13.60090976868578,120.10265528813102,3.887426826497131,24.96961924537099,12.114784637796742,12.377439785268171,16.93671321635523,3.1633137552209245,23.770681810695418,0,10.544965825676902,13.508838575181104,3,12.39055277817259,2.0669900175614897,2796.0990246225324,923.5113229653184,1.1402037877467852,[63.46701034]
15,11,0,10,8,2,109.80991403889821,38.77318538536492,32.56691470656087,274.19056347738814,25.879494222220117,23.710674040387804,10.989936611651846,18.601357900164054,5.153791436492289,3.327629836619209,37.20769830005908,1,10.170445966525138,51.2596512136612,1,6.953808069686496,0.44475490816391555,10133.197220409173,3992.9649545370066,3.1956888550134144,[63.68302779]
28,16,4,4,7,0,102.650990565617,4.7530061771044885,35.113790374879244,279.19383199709637,33.262862225686,25.340703781679903,15.753686460262822,32.08378621431067,3.1757864624587544,3.5278465311484952,32.66867317776825,0,10.329238443040692,8.642270913498251,4,8.42154778287039,1.7105737212471674,7038.33100002095,3537.3184340313123,3.7017258221064973,[64.80618943]
0,4,1,5,7,2,110.78425752514599,14.010374255139201,15.462453884488458,293.06687873494224,3.506118355438352,32.798158150684635,11.12838736776295,12.87023114673473,1.126313468837413,3.6323358806243604,18.448601574149798,2,10.036925691636222,1.5634514832638506,2,5.263089709537661,1.1766285643667025,5773.393469306638,1510.5861892409948,4.795080501906719,[64.21152941]
36,5,1,3,2,4,94.92846232867488,-0.852934456075642,26.508182674505743,319.1427708524644,22.530178704473908,9.60360215587984,15.900018592383505,33.20570308222279,2.039282177320884,3.211245098058051,24.736167561944104,1,8.494400894691395,8.172277192109876,1,1.6652143460673938,0.9159581478371224,12278.246219359955,34.22136341362835,8.163984357002585,[60.27947309]
7,2,5,8,1,3,105.33920078028947,25.945528266982702,13.150841334328396,51.26438011363015,31.744907960772952,8.935951502157256,14.472880114070154,6.5669552686683295,5.589780623466886,3.4889206564540656,15.194226110932856,2,8.994865646807165,26.800591395712885,0,12.296636064511517,0.7747498691038401,3280.3980590005845,6187.7827167522055,8.847311630452687,[61.97977681]
29,1,1,12,4,3,87.01544122106765,43.23578648433275,30.428240629672036,24.101728265812437,4.5984570069584,25.23428898289843,2.371811417216291,3.8342761118256345,2.3161611150926116,2.7148751129892386,43.01616405963172,0,10.023460272112432,1.5109525796968053,2,12.835878655450866,0.9485978393311901,11173.438487304602,3236.8209661952537,8.454048370034243,[56.36184345]
41,8,0,3,5,0,91.49356474052482,-0.5642467185629689,24.81871158165022,63.291141271744934,31.68300993252979,4.166498988892523,3.9532355279536144,0.7342822422862902,16.41045749881718,3.1509996370890647,32.98685343125868,0,8.736872103924965,13.850106737649183,0,8.204450609370337,0.6633892275063094,18542.00424597281,4778.137667486859,1.8436125357089514,[71.48254872]
30,9,0,11,6,1,104.76409004058223,39.339818591615575,27.162064439567935,35.66711161941091,19.279025719234088,34.949368903889464,8.918016128089004,7.636784183530629,3.511819607244828,2.0517966357700614,44.611345968982356,1,9.320324910154174,38.220868941397946,1,11.16474787374675,1.6238843138116725,10109.96399409648,1453.831327262175,1.8572966895551468,[52.84192632]
