Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),TN loss (%)
7,5,0,1,3,0,87.98471135038264,51.7217482297352,0.8200698122907499,301.09125142065756,12.437646388296246,36.011628343117465,9.905036666464166,52.64427718637315,2.5165162818352975,3.6893797156476813,36.288290116544594,2,10.163167619554642,12.847468802321407,0,6.932427904414558,0.6391999036685072,5932.49283315768,4477.329972364085,4.460549281624783,[62.96561155]
20,16,0,8,1,2,100.71954689222886,24.915725740139997,8.978960138811557,182.71343262823225,33.43300281331127,0.04032623747175388,14.969308136109916,17.449043061616255,13.714838365589003,0.2657105421145017,9.393404550604187,1,10.621789048971902,9.492476614000378,4,8.073777799251802,0.12017960297317011,11472.105363261217,270.4621049505352,4.5878002787710255,[64.6365047]
32,12,5,2,5,2,86.22775897943704,11.139751323507825,21.573903740236815,187.15598250925694,36.920685241043806,24.18332542406359,0.4799961800252692,11.151110854487243,10.65841417448032,0.5644078678695204,20.394294422887278,1,9.637965624564071,7.9310575517127555,3,3.3590947621956277,2.0752796068650907,18941.512665617447,187.77456760926455,5.482505555881504,[58.07105093]
11,0,1,6,2,1,93.61714600543891,17.886972181163195,8.033793523716847,155.81626172553737,31.464519894863457,12.889857268348477,9.06699130272079,26.7114836455086,13.025642219322066,3.4313050571062185,42.24013855115243,1,10.50512249654183,3.172673391617058,4,2.683126220184589,1.1200627861196957,15405.839140169805,6241.344602684227,8.1057917406854,[60.78298919]
21,4,4,12,11,3,99.36625452861831,46.20381033129711,27.86728404518323,178.6270661032087,0.774814308902977,20.855611342468013,4.4880886945139675,37.65455923113965,1.8322654005517816,3.5258847678589573,29.11007839291906,0,9.989874778106781,7.082924251289998,1,7.363523538269986,1.0113384951761057,11800.45309076228,5622.357730967685,5.7189030699631695,[63.80518212]
10,5,2,9,10,1,89.98845924048724,22.28326372736336,1.487863231927438,175.0454867321904,37.48509065746182,2.575715238326481,11.784455281760836,32.4965230378572,10.114379505220818,3.6089885272379414,0.09666855670729446,0,4.317414007468143,34.77299812894081,2,8.679586778387655,0.8452240190277162,11028.64117963673,5559.128650910141,5.289032745966274,[56.13741017]
9,6,4,6,7,0,99.0452896086653,2.5745436123747245,33.55231279462741,82.9562253297828,33.26599882675413,28.28858929220697,14.143736315810028,35.85801057277388,5.6958633347564085,3.7564882629862653,19.782418976961914,0,9.369337008215071,1.3036031786403648,0,12.438954004730299,1.0294700668061632,17060.9340967739,1937.0388107658898,3.0581940459073773,[63.5002398]
26,11,2,5,10,4,90.52461034294086,37.162568883192485,23.648306161502745,5.790354288834832,32.640992222939595,19.83031377578401,3.0633238862568284,19.202456593128787,10.600256617574386,3.661749737915892,37.427598172742464,2,10.54702065119203,51.36433624553313,3,7.366817109299767,1.1731147652681253,3936.325742454644,4258.816958089358,8.870133523149608,[63.8391756]
22,3,4,5,11,4,110.1425252094008,43.514072234340354,34.92605786517375,136.1615030304109,36.96865670748188,11.979329662954992,2.781543595136421,34.83377282260911,15.185619589866757,3.6748160058286934,13.587632293567227,1,9.204010357059653,35.27263673068266,2,5.153669797372712,0.80788944524585,9978.408808473348,4631.680342777926,5.466034187344725,[55.65727108]
13,14,3,8,0,1,107.8620411027748,52.90058250097024,8.552276976756245,246.70974376483642,27.619046704394385,14.64486245143196,3.090026116784239,33.11084825349911,15.827915108009034,3.822584173493872,27.020847209167826,0,8.425077646038263,3.6913441950157986,3,1.4667038208379561,0.17546247693646475,5952.877814656471,4600.431873116333,6.022889892084559,[62.20041508]
13,6,4,5,10,1,91.42598774709693,62.281331003829656,22.65629886219749,332.23675113283684,31.03798518817412,18.0244947694118,5.899833407158074,49.06304253472913,0.14242131824926574,3.6937599498009477,17.166787408516743,0,9.524599971778471,37.67086529289079,0,0.49495481598155605,1.2408606612326463,10378.851706533062,4353.779923775937,5.842900657196324,[54.63732793]
42,7,3,5,6,1,110.63155269935832,32.38149643102152,0.2559244753430314,154.71765376348432,17.715238003714177,27.296438732837505,9.964432198034759,27.30347522835904,3.5207057998133395,3.2078181006858637,44.15673208539077,1,8.972170428727125,18.775986867470053,2,7.096071158711024,1.3246999258566787,8011.103697343011,6495.6417484274825,4.464235581005252,[64.80618943]
33,16,1,5,8,3,107.51875856680698,43.60341486487813,11.671367285837151,74.83858272103393,20.63699334759436,8.641330669892914,13.161576693515793,14.84403556961107,15.45552785323153,3.1631943808660985,27.6191702916867,0,8.95939630144014,50.32049392391643,4,7.711934026088408,1.9109761753010412,1204.8388850146239,3257.3077129360154,2.7933194636683045,[58.90688682]
45,8,0,7,3,1,109.17274465515652,1.3601315049608687,5.462928365180226,249.0225705570244,28.7021412231467,22.230509091345198,12.728008894824802,31.838779977458028,13.970893753980953,1.0287092037645884,24.598106561722595,0,9.638023167127251,34.683220613831736,4,9.781358549873955,0.8425070546876505,18949.675728576578,2573.052055165791,8.839974484910242,[60.06680178]
31,2,5,8,10,5,89.32943194223903,48.75254789410927,25.0710550612705,93.98327369281512,35.88573595144321,34.770884637251996,3.074564829812031,7.982489393311647,6.4367620646656905,3.2462478015267315,12.988742162826036,0,9.67015056525815,24.047191543288157,1,11.18507298117262,0.7554009251668855,9569.574636878804,104.333691933609,0.45311315863510976,[63.14568516]
24,2,0,0,2,4,109.17936695556736,33.9757019250084,6.801488455217374,217.88353783422414,17.644151843052356,30.98455772732624,7.2339348959019,27.578347537058825,17.258061380992892,0.0634304863619933,2.7867041091044173,1,8.535656221647486,39.816167070129985,1,7.985308115037545,0.36370661897486795,1273.7959591381564,27.275459793400195,7.953435446997834,[58.98857333]
25,12,5,8,8,3,103.55437703028839,64.20922093380842,27.442834531670247,114.88824931671579,24.96464104464146,3.9599840289083423,13.697761304441903,5.479988299103577,0.6966458586640238,3.156428913399791,2.0600058090095597,2,5.356200276577223,33.031864547329526,0,7.578114366786596,0.9052881506943206,2196.0217402209123,842.8857725585443,4.244441638294497,[56.7462247]
21,3,4,1,11,2,96.13565073137761,47.16200943568855,3.0372642546176074,211.82260908682827,25.528399486753354,34.19929565568348,4.787988369533409,44.38138306978077,14.144645264970165,1.1926929112995663,13.417978136098565,0,10.300965867959754,10.779638589415555,2,12.637623786196478,1.0500265355151692,18800.33532196101,217.16336498620515,3.844736095936411,[56.32689663]
9,3,3,12,9,5,110.87624316644767,45.130084762081374,21.28785644694226,220.7173550594181,29.34857049889182,12.488885997729815,12.63310766116161,30.343505642220602,12.815337921389794,3.488420634530575,6.998655863190574,0,10.355313517846888,6.206055690249756,0,7.44697048291224,0.32201885693091303,18678.536096108557,1252.1246346530093,8.343845973077505,[64.80972293]
23,6,2,5,1,1,109.45481014652914,25.07889478377881,36.691709080078176,285.2194542785719,10.513473088655624,0.08607895304139916,13.065883021943097,25.99680249810068,14.787986734143676,3.0362599926015768,14.579498801950704,0,7.510116126564344,13.434057984179509,4,1.9781449538534417,0.13936008719136664,3961.7330379085097,4960.050467356645,5.97846154143695,[51.59329482]
27,10,5,6,3,4,107.74510917588796,63.75711867428872,28.843721230188834,238.97629122688264,39.11499335363465,3.6779499963972384,10.993192551315616,13.324069962071116,13.545271399233382,0.8903963501049675,6.3460215932385795,2,10.512476824602542,52.603563046872004,3,9.850530412250544,0.842900772085693,12409.100454463105,3294.662673565455,6.775220012796535,[62.38668872]
1,2,0,1,0,2,104.20023105066115,2.1379331836205098,13.30978768989473,71.74272480504219,32.506495520668686,3.443806034429467,13.847783143055093,1.4128959360527031,4.758185448616955,3.4472209333813293,4.70046990507641,0,9.77803735826897,30.983892508010737,0,0.707425526596274,0.6982083720920391,10244.801820659626,4300.433264337328,5.476311568125065,[62.66614445]
43,16,1,6,8,5,97.3388115397864,6.95915410920317,1.0239370378280044,139.35657593454692,0.7059294577225318,14.298392780060922,11.10427307069952,14.180941476123238,10.60889598718619,3.5620071895658905,5.739215724145639,1,9.117779632435965,54.35323436724298,4,8.616218382226648,1.5715848699724995,5099.58516706763,3808.346294126244,5.032358494953619,[62.08059285]
29,7,3,9,8,5,102.33836441507322,19.483712076523,2.7028228697501,57.60032337516814,36.17636466196155,17.80496319706824,0.034471169896489684,14.558355999652646,4.1653692593066145,3.6265798250409325,29.618004583180753,0,9.231664673290377,11.410537795035268,4,12.706408669541837,0.10242952319695951,14679.820523227392,2023.0010731384873,1.4299569747575578,[60.10283679]
32,9,5,4,2,2,103.76000369299824,34.43787928241171,24.057890965715682,13.9819611617539,5.154115587011926,4.531241334139796,4.521459877237071,29.679237628509522,17.10036925274519,1.4432445006038486,41.22595211515735,2,8.749531027643663,12.445085366096631,4,0.03860777334578227,0.46733343123129084,9131.18745670123,390.5524160666725,5.203414708413957,[57.77584045]
28,9,2,2,9,2,98.23628876694094,59.94726502113859,-0.4724776625593198,176.25228187119964,14.066256538143264,34.26622545002667,8.151350595238757,52.784306472604236,12.485560733243394,0.9893147212064176,20.124315631085285,2,10.4691468711031,0.3628410590829917,4,11.114159548133221,1.769209236035217,7396.840881432894,2299.8072016236792,7.426339703952111,[60.81460649]
42,9,1,8,10,4,89.7773629499112,18.174614716211412,4.916575723166137,275.2908770027067,28.414631698383673,34.22605553042583,14.821562830873818,48.15212182172158,8.920948188407012,1.4493167469479327,16.917003964832638,1,9.80448874411641,4.420190546174716,2,10.823315920105628,0.9005134836640045,14167.488001701158,1362.7295747096953,2.408954558470673,[56.32076174]
0,8,2,4,7,4,88.51711388134788,7.926400978221864,0.41978726241172293,98.75747913788399,6.851306633718419,0.9704754713939993,4.495339501051978,17.30582070021606,8.484651340546053,0.6582531048782374,10.491496949990822,0,8.868287617372788,5.6584163518600725,2,11.24810507577726,1.8558308347771446,442.7884523214779,4645.83772733275,0.9299692323909716,[66.36990031]
38,10,3,2,0,4,103.49249538484288,25.294884396646758,35.21809256268093,302.2800797012817,17.777861938088996,2.619723415029604,6.459421851113053,48.437986835592675,11.09845932971003,3.4232044555309975,22.388671715923763,1,10.432180445542663,32.84580575856274,2,0.7968126523083234,1.6531448777577138,5219.779484928869,880.8975834442423,7.891823473647174,[63.6705795]
35,5,0,0,1,5,106.57663772166138,63.03732028579182,0.3155038110926891,8.941367140400871,33.648034979301485,9.69318721677344,15.473067132152067,7.520709098026346,1.44800237831861,0.8987863691140934,11.180717152425935,1,8.503711059739414,15.659928855320398,3,10.751671786268608,0.21585660420181307,5646.14542366628,2879.9994611521033,8.499450441566974,[60.50661806]
25,15,1,11,1,1,101.4164690805854,5.411308783854387,32.17305664474547,11.37190807272201,25.746004755020994,13.995543180903967,6.055974154543113,43.99396457592104,2.707070199946559,3.5443224515600145,20.06543746990732,2,10.057228566834848,11.481671292283734,0,7.9124364362077655,1.4007175504659284,10040.100152448429,3516.514006833192,7.1180809891349615,[66.12825685]
38,5,1,0,2,1,108.17912290507523,64.72310463741624,27.330239733721925,104.3451604437592,31.68500330163572,20.254217319590843,2.7785757223711247,24.318334939195967,11.90697894257454,0.16772404378879058,39.81625900564627,0,8.731112391475607,47.343645065188134,3,5.4879335706318875,1.882773826483173,8464.725107587752,5678.11116164504,0.5319307460160019,[55.3743476]
14,14,3,4,9,0,91.0562805600969,50.77549941928541,35.35064917829075,254.841852525828,33.374137588067,1.9164338218816073,4.669229028067403,38.14001959731738,17.213976947869646,3.4787508898841786,15.37841907206943,2,8.877493150743787,11.67178661504877,2,6.7045771785314,0.1317468350199258,3793.5201530580744,1221.820404295941,8.139917760683192,[66.2120992]
32,15,2,9,4,3,97.3251364933898,29.595400070468983,-0.6037631988082074,126.02671323063367,11.735215129366223,21.29758833163116,5.918768701988142,27.692441516893133,4.796452520315896,3.3288220984819255,37.36163213276146,2,10.678507901552997,35.59362100898766,3,10.838317149449487,0.5178727370435576,11011.44521831273,1916.099477409379,1.1209373976432189,[60.3069468]
31,13,0,3,8,0,88.4301058599846,24.326669353596625,19.72644622522912,38.46333677676893,38.58523373387099,1.7204020522937387,2.5754035818227674,20.5973822353239,11.760083509736921,3.2618855982832975,35.821424890774665,1,8.736336711109862,13.282573405117615,4,5.039825948078693,0.2561326242015556,15684.282221816391,6001.419909181568,0.9615790072752664,[65.37544936]
12,3,2,10,6,3,88.79536502591377,20.33009637756598,34.23234876689739,100.1046615261307,15.868928269901604,3.617184751102048,10.299517409075216,50.79225610409023,4.214941987162211,1.3029700315821295,9.395108480088195,0,9.405881807148386,1.7398524675284566,0,9.008362136205625,0.8437184787972487,15736.619552905939,93.9412971309785,0.5868417467545296,[62.64717547]
12,0,0,1,11,4,109.22261438958714,55.9988481106515,20.71370787694616,119.92436560380484,20.980865583223135,32.28005441803962,15.377829786520152,17.746325586797674,7.296217162747812,3.442140573105643,4.269125250434838,2,10.600394131455037,48.814658169335985,1,6.076926340272584,0.6949809056553723,8675.321646134802,2474.8341539920443,6.06078404434242,[58.48839215]
11,14,1,9,2,1,95.87230850651943,62.37844750958127,22.951771284276887,98.39079041741786,32.94579342324606,15.279692640637313,2.40582612205953,40.02443440352232,9.530244090793342,3.8117316641999412,27.226804230175354,2,8.460810342178942,50.62672700649977,4,1.272154649950061,0.7329321133348041,16889.817648840202,1065.2208830978022,3.8572567504336965,[59.67559653]
8,1,2,8,1,1,93.22916109565733,10.673212517443693,8.906536358883702,99.16987772493655,35.152705728079404,3.8840112296530673,9.400901649413353,34.084396465410634,11.818325610290145,0.7633875092105309,38.126331564126026,0,8.667899436456045,17.481874626693084,0,11.801932225779664,1.1632225989067542,8072.235101445602,1559.3594228331601,0.029625129134945638,[64.89624332]
4,4,3,9,1,2,94.7552784500775,17.58159726302313,33.56516601107428,83.90164685639246,6.718965967584222,4.283310922187865,13.443697675418226,33.03800032371755,14.114279858381076,3.785236558570092,6.134201708778772,1,10.087262483958442,26.447724208995318,2,11.15405350668469,1.748960493874153,18582.439076005674,2593.113770782016,1.195762459677321,[64.94122625]
0,2,5,9,8,2,91.72229640929821,5.59886545036306,10.452733423297147,47.022400070701664,34.95448392298393,21.396117294334644,1.5524312350441996,47.02334792513054,7.831433238806099,3.0962203183228256,38.066837780122725,0,10.089807898329024,15.619739732194684,2,11.379357381881794,0.27921840736577613,1290.0280959642769,3598.847168788275,4.554060874751853,[73.45593534]
4,12,1,1,0,2,107.53247051880967,62.11718420462446,16.025042509326077,268.7185884260724,24.815450670541335,4.299623251216366,9.746070202200551,45.86735638966579,10.675920190992262,2.9130935293383953,37.05727451872469,1,9.780384358566439,24.40118916527575,2,11.934996975975311,2.0316725770653306,14120.935106738692,474.7120906881551,4.238153487300668,[60.44541328]
22,12,4,2,10,4,97.08083580658574,56.327792422980664,30.703841621428655,58.19916488857935,40.136825001096675,2.4337100103452705,2.298877901751972,31.463518711778654,16.689031242774977,2.945241168920517,2.816415178298554,2,10.086407792308073,51.038419113711775,4,8.1636755002039,0.6829220370889781,10066.377853727705,6068.626800613537,4.757894868820708,[60.59815906]
9,13,3,6,7,0,88.04640672584584,26.138220252425686,15.283616979470906,145.73791975019074,10.346832819138015,26.21599791794913,7.801658371346333,38.940895214545,1.9020122516797096,3.1904829245271684,7.627777190456203,0,10.483479364545333,15.208175023363946,2,8.765914083372754,0.8983886991859293,14263.686641798302,4230.232304231727,7.090761447008183,[61.57785925]
1,9,0,1,0,1,110.78099073334795,-0.8769378663666403,32.987684098013744,210.06033602673406,8.921788336858594,17.925240349999353,2.7278633403969135,33.585192079969005,12.228536908495645,3.6201341938262255,40.67408692457352,1,9.098034911413798,8.444966411205003,1,7.061242966919942,0.9448278770258636,18613.77908093395,5858.561557793536,3.8654532444557836,[62.67482739]
36,14,5,5,1,4,92.96730150326223,39.32070415463981,35.831916740700386,308.8441493345271,16.41530438008304,4.547773135569456,9.414255018066894,48.97172251683193,-0.41025939094461084,3.629007405091288,15.472460804062145,0,9.342217395930753,33.59138272961749,1,1.6913267879272589,0.3237665315187494,2229.3613097950924,6024.678212151787,8.918506500189947,[59.98445739]
3,2,4,5,4,2,102.14453808501862,62.347385476081406,5.758193870912479,110.20225499064829,14.07839111675275,15.144187153523124,6.803243973076372,12.02986774290359,16.916309243117446,3.5185172059898093,39.15817761404649,0,10.089274687367487,24.636563568124384,1,4.507920480458507,1.1598997408871998,14655.5985751691,983.8146507093644,6.9612683676635,[58.79603222]
17,15,1,8,0,0,91.93840483442843,50.36208652771217,20.512104931620645,229.2259396210408,15.329803756573137,0.294489277098254,2.6874881478244905,25.426561287458043,3.7744738077390005,3.3384362312214972,1.33970726664413,1,10.22875764892306,50.93683972121025,3,10.291678921298994,1.2939418149723108,10351.063852554427,3151.5830145359787,4.920247069190315,[68.82003174]
16,1,4,7,2,5,89.4371423782023,51.22708434032929,19.375796071126985,324.84049212939675,39.41222848590169,25.036484860411267,12.715740902866793,4.137227684477341,17.317685701413772,3.3999076133451123,6.426749037840774,0,10.225313791969826,33.34893720002054,2,5.70669628654965,1.1475994970508216,7528.499121333576,758.4862785829032,5.310689569854581,[59.26553734]
20,10,0,0,9,0,85.89866769359904,39.1669158010324,3.861015410101854,23.315286946810712,32.09631072815374,18.921679020583333,13.544499038942915,41.907968344145495,16.98541678528814,3.7573383541912424,12.427741874974734,0,5.843360993111654,34.8617540284152,1,7.83068603657105,1.6904904257318571,18729.786552184636,2847.806977222041,1.6303852834947248,[50.48252002]
10,14,0,0,0,3,97.26305079631426,5.244840044250998,24.151447986826195,354.161023613155,6.4217183500931885,30.010190888428035,1.9194497329491984,8.772737802987544,10.44629578745752,3.3682454802622197,22.19345010920529,1,8.876562452594776,47.17546163052769,1,6.497480709916422,0.8596442196088178,9956.75336371265,3576.962357968083,5.852162691120676,[60.07380759]
10,0,2,10,7,2,111.57495018796686,65.8674477572366,17.491522572382866,348.38688250981545,38.489702170570396,3.993940508191789,12.747952444766538,43.36618297195152,5.907125155537604,3.467118974288509,7.466765244964487,2,1.4729408527788626,3.0499130634198734,1,12.285116669242257,0.44273324655975993,6500.856765232328,5103.415389642493,5.149887582827712,[59.25617633]
19,7,1,4,2,1,92.50418777334735,39.12837820938339,37.78844098495655,11.541408175305754,26.079620157343825,29.81452861301724,10.594370429586196,23.028023579844707,8.38827323184981,3.1000703918736843,38.00944243408382,1,9.056348897155248,43.10509612301055,3,10.899809206996139,0.39538808967259714,13261.803538142809,4650.536394167445,4.62677815557942,[61.65501243]
29,13,5,10,5,4,88.49946078932072,44.09686033601944,18.15271657143142,73.5646672415818,22.21195230641281,26.457942286124254,2.489794593033059,17.039364636463194,11.551604128066561,3.6416776764191505,5.0745532555696995,0,10.490934694847846,24.937340314188624,0,9.643763275463131,1.1822652683522787,11067.446485687467,39.33283789212322,1.0327938654673847,[63.44339159]
40,7,3,3,7,0,107.28732824446952,-0.2569941800583275,26.680215096442964,240.83166719837118,33.474013501059275,10.94193395215934,11.840630369189974,45.61885295419162,6.948758220626507,3.363877661805258,41.776688109584576,0,9.718230135688747,35.64574363619635,1,8.263864701151507,0.40282269580280844,14203.116502311885,4979.470541949918,8.891899394230542,[63.08346476]
27,2,0,12,3,1,98.54998489648456,51.51464275048707,10.692679554975793,128.52278990295864,28.345342539985023,16.72778706222623,8.727566229490188,26.969266682626706,6.106342438874557,3.44911068171766,4.964965922704962,2,10.461681883160146,12.1211892315149,2,7.486262973288431,1.3161950576579031,11328.390251116882,4714.9539789811315,8.544340145285553,[65.52583776]
10,0,3,2,9,3,92.96658000539949,27.879415480577123,24.381770893839157,281.4309186598148,2.7742624520967247,2.9576510959475537,11.039919755821781,24.03104918427503,17.48186295409737,0.3134976449410454,10.6499698841583,1,8.72053915179518,26.45908324673831,1,8.008141893892532,1.2321897448556696,11473.842086559449,2730.895735844488,3.484261541536132,[55.44170786]
11,6,2,6,6,3,97.25459222817359,1.4315071690186119,6.508406256169137,187.75538530564498,22.0106332597162,36.67741251106341,10.936938964030167,25.9700996160582,14.275968918101126,3.6201446041644507,34.69703779912555,2,9.9730587627783,17.633664777123606,4,10.681231779731311,0.8474946894858972,14050.035865857326,3336.1454729405386,8.970555036710422,[65.82613258]
0,4,2,3,1,5,108.03371104777308,49.409801725997205,20.441760626589588,15.733887737742215,11.720006122689169,31.343769329078164,11.929535516624876,12.09652007327566,12.820800078792184,3.39235686892233,14.523574420082394,0,6.445001547325228,50.760500677826876,1,11.171868949451719,1.557250800079461,15079.173695086383,1404.927528445548,3.9961700704576666,[58.12883465]
30,14,4,4,2,4,100.85177056997838,50.45441836522044,16.681746061736483,86.55780221912963,8.009831907794723,30.674751321913377,9.07324597830158,15.73866777974003,8.63094933265821,3.1890444061563668,35.66927108793516,0,10.452439434636261,39.61637771538309,0,10.468548039978291,0.4240645315671662,1370.182464326965,736.3272264189176,4.796856006752202,[60.82750419]
2,0,3,6,11,4,97.87768727617654,6.8985169982552845,14.966798779942822,354.43119861284174,21.069553178408864,1.502005690114511,7.268985949838978,43.73668981045997,5.792134036515402,1.2755171823663325,1.534822117437864,1,9.142011844541871,5.763669575151975,1,8.392540376080586,0.23766770745907217,18075.64988117728,5429.92974760715,4.729976567112641,[60.55885138]
34,9,5,1,4,1,108.54581089175443,3.5979522419261585,16.19671419618623,15.868431967460882,42.9743225805864,0.2553543375983494,2.1723429706414663,26.066872508351132,8.68029117561049,2.3466968117495304,22.23286260147675,0,8.82349115006409,37.92147560928297,2,9.453335724877125,1.593194485476645,9773.830654938207,3182.820354157905,2.4901781141404222,[59.79349257]
25,8,4,12,4,0,94.71556104635995,19.73381946334704,6.698814017927551,217.20224863222083,27.72834558818921,37.621306085026376,14.023391696127007,47.92814775120863,7.683804248506741,3.5869080012414973,0.6927030191926375,2,10.4211571669553,8.906733272878766,1,8.564996093516024,1.1899587323732712,5890.959862717206,639.9495882178551,7.009423824386052,[65.42593794]
7,7,4,8,9,0,108.75036468190086,33.46540973713147,20.113709566741345,317.2730817535654,24.71789244681054,35.68285127636588,6.275320780048483,36.91217244167522,11.048934321810263,0.7556330710037742,23.000330410738542,2,8.54496047876151,47.28913633196293,0,12.511055090908632,1.3342102531681477,13188.459014429374,2111.223221822947,6.646403691147597,[56.10822872]
0,16,3,2,5,4,97.59390511540204,29.394750663792905,12.309419798698391,64.8706836173217,18.615560900333108,9.70897923296605,13.592684653731144,11.52096870504243,17.855883958619277,3.364099114636856,2.365046237373732,0,10.442802035347956,27.5324625212487,0,3.2592234753472673,1.4127725111060854,11011.67006656459,999.6666612109624,3.493649872263217,[66.83759216]
44,10,1,8,5,4,94.07076035870043,7.396919612580756,7.794468330383953,96.40605332602192,19.19701466339446,7.20082680430944,3.9730679271519254,15.520482970337682,14.89079856853132,0.1565493114618184,21.508400923526473,0,8.67972886530237,11.225954122758585,3,6.96581330651154,1.819721339788399,13225.935924924093,5208.659418039004,0.611854044031859,[63.88287846]
0,7,1,9,0,0,102.28400515864045,0.6263489146373877,37.79880921438238,303.1453597038732,21.7372487040247,13.623206607592852,10.276937293633097,35.20887543032379,13.48113249803121,2.5735881015931033,1.5485795958692983,0,10.443004801025864,25.324178021897314,0,7.0422929423968395,0.4363610603427428,18208.23713301593,302.6398070136062,7.368119453147815,[66.63518399]
2,7,1,8,10,0,109.54507702902325,14.616050184613371,33.905537725777016,54.39499723450355,23.614488618400177,36.144542579159214,10.809573222432368,31.65305572794734,15.001040179441127,3.626636379129541,33.72959762505624,1,10.570065615675261,41.89583088404416,4,10.512793199807577,0.4467763428767544,12157.04354205207,5769.614416441464,8.240514175188544,[63.68302779]
