Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),CH4-C loss (%)
10,0,1,4,4,1,6.767829967183063,65.03741274888034,19.496981073151062,48.74356855215142,0.78622338798914,2.573667345189603,8.917105919370737,40.60360543972901,-0.027934992037520034,0.9788400784550176,7.176899504351078,0,10.060196613693986,33.08993836342902,1,9.798837506964087,1.197540270439,2600.590678263992,966.8314200841224,0.6615480356618939,[3.61124051]
8,3,2,6,3,1,16.554586850934236,71.32726280092139,16.728331120812868,40.47736733599176,11.902456472907465,25.75455977438651,6.176615842684897,28.42286976596792,-0.5749236756422654,0.40032565624588345,0.8182088675164313,2,9.590351221489195,30.35341741624505,1,9.866118578161386,1.2710356408338173,3653.7755023824784,89.45152826852177,0.49310239036834846,[3.66674764]
1,3,1,0,1,0,21.678763199027873,13.952562284635041,12.263352299643685,112.55655360599624,8.692672264232822,2.2619034702911445,3.296604074059325,35.71719998581702,-0.3300840529425577,1.5165162802441798,18.83608938664454,0,9.896668528271078,30.64662504334368,0,4.561591091460386,1.0482894019381697,2459.2990870089116,33.02088775991785,0.4850162100871419,[3.61168577]
11,1,0,2,0,1,2.831858706547118,72.96811663582903,8.621993125656525,124.66164575116954,13.739140784966601,2.6666765393424123,3.38826126367086,7.894884368326507,-0.17296575518454027,0.8296699173642721,28.663705103684016,0,9.81967824330472,3.7002040917887555,2,12.61369779179979,0.8674652488494898,431.3853354719485,693.2219187920401,0.012237257323774786,[4.26852177]
1,6,1,2,3,1,13.780345280779262,22.79490504058306,2.9936055938277595,22.77890137486041,4.151602636562915,25.764193760039678,7.462644393756223,24.706328607103277,-0.984592377745058,0.9254826608025614,30.072964367173373,1,10.139096987243475,35.92638871606509,2,10.217636073028585,1.411005389854436,1288.2290196705828,4.9786123784575365,0.663344198009079,[3.6164294]
1,0,0,5,5,0,72.38862431104238,15.720493710374996,12.213974807377411,163.67801889465133,13.237889621093766,2.70304852056681,8.866928155142425,9.044967542377599,-0.6248329534918617,0.950916222779582,8.149366197719525,1,9.964489263678585,37.306225134200446,2,1.9184905355589006,0.9563470218413592,3325.76323861709,998.5692229846169,0.3436143100001568,[4.20436048]
3,5,2,0,2,1,36.74383466398081,28.619419615165192,20.41918868184892,194.81795477121938,12.473621928274808,7.511781040739022,2.2205801737871327,63.503988460035174,0.10856684188782584,0.8889201139360682,7.841892837214617,0,8.607317782372842,13.637435512473338,1,1.5797287962935584,0.7215220113615786,683.9212106938039,163.88218972839985,0.04553365557374314,[4.43205761]
3,1,2,0,5,0,5.7276216735598116,47.60828581643774,10.214274157576945,72.62682363194045,3.7117650203070376,25.343951477441966,5.2105295607358455,47.77379719621948,-0.6526500887279394,0.3562308607199247,11.711966330027963,0,10.50916856599989,26.98818196443918,1,11.685176926333005,0.854107442380691,3332.0406028013285,233.0593201386081,0.36990127671513534,[3.77195467]
11,4,0,2,2,0,60.630746553399106,28.16432002808236,23.089105346349104,26.548362789513998,8.250680333893229,20.14317568077419,10.53612354309136,0.40896913577010724,0.022538767498127665,2.0255840454612173,0.16832508047537764,1,9.78685861660549,2.229325360106208,3,2.7095484623829744,0.010809248112391326,650.3483628565112,957.0507454273724,0.07200052862386949,[3.87968748]
10,0,2,6,0,1,7.578512172956911,53.46520907324288,15.094408504021303,134.45633860614655,2.151188990034052,15.649477363143928,8.406346348262048,27.654673327913464,-0.13416874349495356,3.1215585214091672,0.9892655416401176,0,8.918900096976643,3.533686735577606,3,1.5739412951026,0.16679924343829405,2656.599945451056,870.3481711177619,0.6291690211242058,[4.08926705]
4,0,2,2,3,1,44.757693473711434,66.46858025016365,14.703691990970034,188.3418009657387,10.995141918014022,24.398713799597637,10.93013241377931,20.57173769830971,-0.8508423753472348,0.5874919257310048,0.7265407699713557,1,10.669935543304353,14.829031957253658,2,1.377651889557822,1.0396851221998586,1345.8358507796286,809.2394828602606,0.6936865898114374,[4.50445327]
4,6,1,1,2,1,68.95623093494396,30.0582152528645,21.306893313746258,31.686338013200007,10.820165080170451,12.542561034630708,8.311441817942953,69.96153089240909,0.0011884678437859009,1.552583811963775,16.485909530562516,1,10.25357709412329,18.29067785380579,3,1.95523178275152,0.9482279381803183,2394.8404321646763,643.7678062865759,0.01746932291802314,[4.24425816]
11,4,0,4,0,1,4.957090731570284,73.59894538749448,22.721041555314798,89.33380668202355,8.37918482585543,3.1376991192411703,4.386123377073246,74.98469070179743,-0.7891243047604872,0.6212618444853855,13.211258311254658,1,9.514084577449683,36.817509452462424,2,5.276822090954407,0.27283966905081825,3232.006597654062,275.7329432304313,0.35182523369976737,[3.04844932]
7,6,2,2,0,1,58.659551840302605,39.21093389689052,11.069365876475048,1.163038025236621,5.104187076717688,16.511785278469535,1.675524263420021,26.851983852763887,-0.07542595760792725,0.03877740397480846,6.46971034546447,1,9.385184322621848,13.096305199756529,0,6.412270204769368,0.38923312956518935,777.2252788245423,155.36553398594666,0.7294363770809826,[3.2734582]
11,4,0,3,5,1,37.5691114124597,26.63681812068235,14.622016095666542,234.41076457484263,5.673818756860603,13.558063822735532,7.260258688041215,40.29702454993174,-0.35924489926618985,1.230861500445322,11.010062402705627,0,9.29682674425465,53.47348456455277,0,2.085841679323698,1.2054709683162437,2759.131479621584,782.9872451200048,0.4757382904800471,[3.72485427]
3,5,2,2,3,1,68.50620922852318,23.769172306450713,5.483044106291865,150.32730667257465,12.743752077304613,23.180303211975588,7.220187951766464,28.727389697958966,-0.8569415100718332,2.0197227435936336,8.6868745630786,2,9.425510225949017,31.679836463641834,0,1.2285837494644511,0.4753013171385401,1152.9485800315356,570.7682997011757,0.7270861850837584,[4.12380478]
5,1,2,6,4,1,11.230829426078454,61.806115891857644,8.860988909787903,198.7156142996337,2.8522170037260377,13.47330457963187,7.901316247190797,8.543236492438671,-0.12926078034995325,0.5697975827976864,9.202917458798076,1,10.016118968151318,24.94805655130465,1,2.173160085157636,1.1358738212838062,2005.5437260753226,404.0956214874538,0.4253990200096451,[4.06244113]
8,5,1,3,5,0,37.234139297606795,57.33230443931336,9.423918340729587,51.9006742807516,13.093243154752177,7.686416826533011,1.926839195313052,55.95034668926106,-0.35309282405241516,0.49014996278287876,18.90581076827552,1,8.976760165196252,29.76037513071841,2,6.604332664029472,1.1014170323081616,1435.663421686987,654.6845500476143,0.4382263768615102,[3.8508382]
3,5,2,5,1,1,56.37858855894292,56.83556621092785,16.179572975119555,112.66082983009525,4.078680040907744,3.418416808986853,1.0740258254981176,56.91367215330137,0.18889765932122993,1.798975267111879,15.532825898369731,1,9.925931300723418,6.817949036863513,3,1.8166062434123746,1.0886635903459265,3114.7442877167064,840.8799304912028,0.14848605359250638,[4.20358641]
0,0,2,6,4,1,36.03780568641713,31.156759220955912,14.516850755027042,12.740463119544028,0.4545200740084987,15.142801332991843,0.2927736839903533,4.303598630722336,0.027238837612098443,0.8141658432087278,7.289202561218343,0,8.850487234034587,13.037399333740108,2,7.084062174923174,1.4067391498775812,3243.123905023555,723.9589575565842,0.6195263339981585,[3.91667295]
10,5,2,4,3,1,60.853814136168694,70.26152633167499,28.022388519368274,179.9294693379058,9.846667606619198,12.779786968685483,1.995999639590256,36.902397775693906,-0.4984486680057051,1.470031511086362,29.4339559322702,1,8.974599213437024,27.39332321677184,2,1.9158794668007195,0.579859566939508,3112.6980617925933,487.432672672096,0.39539109424532815,[3.92057984]
11,4,1,4,0,0,39.531479143351255,58.99466946837309,12.438112649604356,175.5014841578618,1.2439855070835208,7.725494485859589,2.740434171989788,43.571014037948636,-0.17330513679074366,2.116817485540159,4.324344693435284,2,9.427822329675392,17.443340987701188,1,7.820745154807133,0.01554527800169947,2991.9612935283767,341.1176390932345,0.46142401071205685,[4.00038546]
2,0,0,2,5,1,8.315753636273644,15.21717611795515,13.202142451823814,45.555823575465254,4.617863925826883,1.738236868955376,7.058277665986612,37.12492001299211,-0.37054713710232967,0.9930014442520471,18.167290716264016,0,9.670933612310185,21.012077570363036,3,7.433312600611369,1.3921124482184115,2240.9768716581725,780.5795997559721,0.5872636451430295,[3.91536372]
8,0,1,6,3,0,79.02088932394518,23.755051612245655,9.830703797808434,99.43237473444256,0.6744622106644524,6.913767532479024,9.084022873122471,26.153203842136662,-0.7195775845815084,0.7833918526137585,27.500167022538573,0,8.335279394362631,9.155588725588776,1,10.395021656741124,0.5046891145141894,1838.4550283395163,938.0147023710024,0.03593246483081261,[3.72852836]
11,2,2,2,1,0,3.7519299567825564,38.64149311229086,13.862570892974508,151.07513932524392,10.494325710868111,30.572096188486885,3.7080029353624644,46.76689950219064,-0.8776064474728835,1.498768556451005,28.545848926460764,0,10.299977526684778,5.178928569574572,1,8.946523047228029,0.8510494734842238,511.1467509606481,646.4020606908458,0.03107862270688222,[3.78494332]
0,3,2,3,4,0,14.70287213401423,27.93678395569674,0.7367675918265559,82.91998600987617,3.968588181704138,18.150285020904686,9.20191361063679,54.19465618472365,-0.11314623742781671,0.24570296016563875,2.1341024931724255,0,10.083284941908936,20.169588335566743,0,1.534762817513556,0.6330544147482678,3036.3234582025516,20.968899896195325,0.3331085346668983,[4.17625163]
4,0,1,1,4,1,17.923201389077864,19.654522384894292,-0.5737159635364479,234.62838505584247,9.25349066951442,4.622050265135596,2.06537078403883,20.670580030995964,-0.13216081353617504,0.9731440831531856,26.69906533110651,1,10.524107447846182,6.647232787989981,2,1.7083897658774803,0.4446197575845879,1003.2020376678854,329.18959725796026,0.014863688278038079,[4.96207032]
3,5,1,6,1,1,13.090579451151822,2.397257818098905,17.590800930219327,178.32559217828535,14.082295305578786,24.73965724510856,0.5149130306357251,39.87707304796585,0.0721042453019356,1.4271757983766826,1.808271170902353,0,9.659369655628952,9.584475412300735,2,3.8253522911235773,0.2483590720435041,649.8861053743298,232.00560445631692,0.21379255004247047,[3.75432941]
11,3,0,5,4,0,30.95406180203505,34.926848995818354,11.443714385543746,214.41612600257454,9.897400382641662,28.005477337164702,9.67995217106598,39.1742003839655,-0.7545614851791694,0.7652322801611624,0.8670820977444931,1,9.838663579264942,17.621029606489884,0,5.775695126382911,1.1398855998479882,2153.2881662053323,861.4796113275639,0.5480695012308255,[3.32042451]
9,6,0,5,5,1,39.840288421408864,50.210352424146805,11.47677380339957,93.12938834316145,8.336727681779688,4.210631813724752,1.725250708791587,7.707658466068186,0.13416970032485898,0.6183072383324968,7.283983295722492,1,9.797818484042416,11.172725395110726,1,9.928542071528446,0.9247398953264947,3938.52061922225,466.5589621383418,0.433816510288908,[3.57596671]
5,3,0,5,2,1,35.84010420305248,16.753342922557394,2.690941705354102,212.54791557334423,3.5339480033409205,3.0140672380507767,6.071785371847677,26.68129122926958,-0.7198460598771101,0.8426771642414069,10.82591932538855,1,8.997468276144728,16.086741276809622,2,4.972768023601108,0.2195511652232275,540.8969151429568,821.3022167151742,0.32811634870522854,[3.78575368]
5,2,1,2,4,0,59.248776130456086,72.01378260846964,21.82818097702078,185.86395383086,8.730933710500702,21.350692099773603,0.11137962411865321,14.785589838835623,-0.884812641815373,0.3647499503795133,3.127953415712855,0,10.242606626681326,4.943689211049857,3,1.0730874742064487,1.4284988655241253,3752.192874587334,225.9184708965316,0.49677914836781467,[4.27536676]
5,5,1,6,0,0,29.91441642458869,53.970719086872194,23.48085637808169,50.06744500515094,3.7020960416592006,20.076827566484724,7.780204602642665,42.01077764019175,-0.4707403955115437,1.566500123907316,16.39077490873791,1,10.058346408604327,18.752431227348204,1,9.477327873064693,1.2129053976689472,2986.6187833625304,970.5307239380417,0.16267393801903823,[3.65920413]
6,4,2,4,3,0,17.11157344443383,56.176269378260635,4.587631576320974,221.20511894426713,2.7214638195803147,27.833630295714094,2.834463161144663,16.263258526031322,0.24470193952304253,0.34688996451314263,2.0058813203798107,1,8.588417251649865,7.0408327327284335,2,5.6694328275151715,0.6889774386748743,1312.25998576115,204.87357304560305,0.2885934757024461,[3.80802537]
6,3,0,0,5,0,57.407057814168674,43.20477924185862,8.32835712662333,80.30708844240047,8.753250696000322,15.388664426318217,2.4706160852869257,31.326410840547396,-0.4474423938255858,1.0797508503630737,11.742220161505129,1,8.591568195064404,1.7794820736532984,3,1.5466211494131994,1.3069769468969998,1512.77349309352,533.9960019826333,0.2188498073878848,[4.32893961]
5,5,1,2,3,0,33.68444269563413,6.801950732219421,0.8588239376879514,189.74671407891537,8.028719880727651,14.383621733128527,10.601448862055348,4.554082570915394,0.011575542190151111,0.9037534787848751,23.717810561988166,2,9.921419996110604,13.206049992503639,0,1.143210358975699,0.5515134192398923,618.0106113737997,540.1081163632512,0.2287822553074959,[3.96396805]
11,1,2,5,5,1,0.2726308314329553,41.03530573928417,16.284171800829153,196.75151667521422,12.722639925982774,6.436476802451062,2.5299884703088322,30.028691829577095,-0.801504289411298,1.6290170954508785,15.874898144095937,1,10.19770275723403,30.371928436350387,3,1.2930652246075631,0.4980474297872397,1028.7335535061916,16.69826402095353,0.17292883739740803,[4.40195607]
0,0,1,0,0,1,17.098193919278348,6.199101959096371,10.179347621458762,199.43065275246414,11.756177198347086,25.5874865987868,10.076118413111955,11.237893170165526,0.09612636664416518,0.49519998100699797,24.75185928938977,2,8.44587704556514,7.692152338831523,2,1.8962938016581719,0.4037082505800198,685.6465013410702,371.2657427943267,0.42319525265925517,[4.41695613]
5,1,0,3,0,1,18.792970240045516,30.04685598750433,13.733556654768638,172.55137592866845,7.475878833720954,21.46120780832865,0.23724942556336726,13.261766126771787,-0.18030495772363886,0.33572757224849425,22.028377609956422,1,10.215294884005099,18.96566716023119,3,11.528444145369805,0.13539108004802394,2169.953819419496,37.260415180012444,0.20191840282928844,[3.5368439]
0,2,0,0,1,1,59.725349015370696,38.28507593394987,6.8595461061622744,139.12970259456458,11.557843486266652,28.685030211989776,8.497487103227003,31.54310248451268,-0.17679664387961197,2.0664065506227645,27.96437565236156,2,10.286518361739143,22.223160581728692,1,4.347168772377742,1.0155068429614826,2818.4437467153084,555.6830950570683,0.05335587275641954,[3.86796591]
1,5,0,2,0,0,12.273095748002664,10.796436472280126,18.94837947032875,69.69277557264793,11.99648178723802,1.7357041864219718,7.361311022495033,18.342246009341384,-0.5012557849485775,0.030531845287030342,18.50093822849273,1,8.99292120059355,9.053328942807589,2,1.5758244852707515,0.4266717869678188,3028.7675125771025,759.430931605393,0.316611640354006,[4.54994412]
9,4,1,1,0,0,45.620218453883744,9.373918738898205,13.340316891370579,166.0737277055172,11.763757558176923,1.843621946042078,9.083083027471737,33.32444570503491,-0.48277980318520797,0.7028732093564963,12.44624726317683,2,9.049550074953325,34.59492050835706,2,6.059833613504606,1.2582975812818609,24.0375382707576,226.92752279424988,0.2948980262283343,[3.61289261]
9,2,1,4,1,0,51.25154809130122,37.84054180189244,19.31327363834597,134.6229927422082,8.129112869855984,30.42150087402293,5.577826569209953,47.530493468568494,-0.6785037728216657,2.0433169933688875,4.391587075086408,1,9.933814944373664,13.938209297168587,0,10.294648358528882,1.387173158407191,2096.7345650877305,534.6106955533536,0.438237530885649,[3.60971979]
