Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),CO2-C loss (%)
1,1,2,2,1,0,40.221896540123296,37.051043469681694,2.3264668048265547,30.62988863261659,8.567968061746607,19.938834544465646,0.49694742958789717,69.79333342323524,-0.6405114907189382,1.6986333689095638,22.49557842536101,2,4.620613659883617,26.67768652284355,0,0.8461023361038544,0.5067994276625853,260.7178888476214,93.9961005152391,0.8335662313320849,[39.780792]
1,2,1,2,2,0,31.130596261516157,49.778275983312675,21.38465192852414,26.179129758878382,1.063248280855101,0.3420173754454886,1.0512374132565605,62.8277445173245,-0.4142236475575404,4.072984396221138,21.41177757627861,0,3.3214228736129017,5.772035021525428,0,1.4824043234424071,0.5877845762462637,332.48023821682756,128.83344262630516,0.6154516729671574,[43.02601]
0,0,1,0,3,0,48.56812408528873,52.992192758987834,27.988582538533056,4.782791640298002,2.2065143969999066,8.146565644879958,0.4867503640216629,69.90187802758783,-0.9768960744168731,1.5161586584022853,11.50785672877099,0,4.465789174050683,28.8747507369323,1,0.5138974305476371,0.27598604683815653,128.19410077704978,68.97680341467918,0.553533957035025,[34.83186]
4,3,1,4,3,0,37.263771126945834,44.83286459866583,5.46749475201606,4.693786265511657,7.379453370893084,1.0939094564705236,1.180031096086757,14.238474784235983,0.5630365236849211,3.7847840474765464,25.10868455357868,0,8.146731168345585,9.867634365094606,3,0.872053847169689,0.48191246166167573,153.62803042823558,11.37146199520381,0.48654033496863025,[34.737206]
6,3,2,2,2,0,33.365614347313546,54.236258855132505,4.171562634952241,5.188081211646331,5.587523157525765,11.745339396363697,1.3545898486363608,60.23085728059511,2.1988351883254085,4.1780289740497585,25.781270680385436,2,4.705960909076898,33.074478406516306,2,1.472945698107465,0.7466885907466563,148.86839735988863,64.60212778592584,0.2511297552325758,[37.483734]
1,3,2,3,0,0,48.232721808434924,36.11402073963023,5.156431117054516,40.70508298816381,3.8091577913978107,1.7903976681559546,0.18804364602467863,33.909798404995676,-0.38678574072245486,1.1692568146166678,26.296382118982223,0,7.392450166270808,25.969702888710824,1,0.5656839059696848,0.5162528882980829,258.8712574952927,141.62394696282902,0.6418429849121479,[33.855083]
2,1,1,4,0,0,43.173539350638535,63.402097120668856,10.479878110436184,28.351421609917416,1.575888468846768,2.750999414548916,0.23443921354726424,65.91451474395383,1.1455190448970858,0.34968751674171156,20.84077851174141,2,4.337880228599253,1.0251366170763665,3,4.057134687389335,0.3401530725167049,154.89794003138442,89.95743062382125,0.1956625109860288,[33.892742]
3,0,2,3,1,0,58.56248705789582,63.34637342736191,5.898678344063976,35.328647088337306,6.856346746368678,7.495125332574973,0.9806317360628091,78.97485177974656,0.6141127809862157,2.671449533915024,18.593285427145283,0,1.9056025625905708,14.560481586010717,0,3.9578412350639867,0.6213519859224652,114.31565968482538,92.00018523767169,0.935480512321487,[32.740303]
2,3,2,5,0,0,36.62879004603097,54.655565127451254,14.51417290566004,9.917735486273415,2.996944880669947,0.3047274457407445,0.2751530096600543,66.21955544395139,0.22062873055233112,2.2594120547464045,29.39406844549922,2,2.5687036501025085,4.019257819593877,3,11.526296320081737,0.47758223048539067,58.72341377376934,141.28309680033738,0.28218983690747007,[33.97402]
2,0,2,5,3,0,47.41484421940446,46.163603243416844,0.5025818871291534,37.46110015962923,8.804380260990664,7.053317303357362,0.771321180393624,61.30052600253762,2.06355806849814,3.4630471820682605,18.153999164233216,0,8.008764272890838,38.41324398057784,1,0.5457703181356139,0.42459067537174633,125.05749417629612,4.066004312175649,0.08760497374350201,[42.425434]
