Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),TN loss (%)
110.0,110.0,0.0,0.0,6.0,0.0,0.032,64.6,1.765536723,2.34,27.8
110.0,110.0,0.0,0.0,6.0,11.0,0.032,64.6,1.765536723,2.34,13.3
50.99999999999999,51.0,0.25,10.0,1.0,12.049999999999999,0.0318,60.6289,0.35075,2.4529,11.069
50.99999999999999,51.0,0.25,10.0,1.0,10.25,0.0318,64.9057,0.29614434390000005,2.51066,6.384
50.99999999999999,51.0,0.25,10.0,1.0,0.0,0.0318,61.8868,0.392,2.24044,14.682
100.0,100.0,0.0,0.0,14.0,12.500000000000002,0.03125,54.10000000000001,7.210307343500001,2.65,16.0
100.0,100.0,0.0,0.0,14.0,25.000000000000004,0.03125,52.5,9.4881142847,1.49,53.0
100.0,100.0,0.0,0.0,14.0,13.750000000000002,0.03125,58.0,7.210307343499999,2.33,26.0
100.0,100.0,0.0,0.0,14.0,14.999999999999998,0.03125,56.39999999999999,8.4643428561,1.8299999999999998,42.0
134.0,0.0,0.0,0.0,5.0,0.0,1.924220107,62.63,0.0,1.4,22.39928571
134.0,0.0,0.0,0.0,5.0,10.0,2.194092057,65.46,0.0,1.33,20.7
134.0,0.0,0.0,0.0,5.0,17.8,2.210162561,64.61,0.0,1.32,17.09545455
134.0,0.0,0.0,0.0,5.0,26.9,2.507596353,65.46,0.0,1.29,24.38837209
134.0,0.0,0.0,0.0,5.0,9.9,1.934642071,64.12,0.0,1.29,12.70852713
134.0,0.0,0.0,0.0,5.0,20.7,2.242778039,61.07000000000001,0.0,1.12,15.03571429
134.0,0.0,0.0,0.0,5.0,30.600000000000005,2.51122902,63.73,0.0,1.23,21.34471545
16.0,16.0,0.0,0.0,0.0,0.0,0.09999999999999999,61.7,0.233,2.8,22.49666222
14.0,14.0,0.0,0.0,0.0,10.0,0.09999999999999999,64.2,0.233,2.5,10.31192661
18.0,18.0,0.0,0.0,2.0,0.0,0.012,63.74,0.31000000000000005,2.52,22.8
18.0,18.0,0.0,0.0,2.0,3.0025755100000002,0.012,63.74,0.31000000000000005,2.54,17.6
15.0,15.0,0.0,0.0,0.0,0.0,0.17,70.5,0.28849621299999995,1.59,24.5754717
15.0,15.0,0.0,0.0,0.0,3.629764065,0.17,71.0,0.290381125,1.44,15.09375
15.0,15.0,0.0,0.0,0.0,7.30994152,0.17,71.5,0.292397661,1.55,15.48709677
15.0,15.0,0.0,0.0,0.0,9.976720984,0.17,69.0,0.266045893,1.36,12.09124088
15.0,15.0,0.0,0.0,0.0,0.0,0.17,70.0,0.263765249,1.7199999999999998,15.91627907
15.0,15.0,0.0,0.0,0.0,13.0971896,0.17,71.8,0.281659991,1.6599999999999997,16.07951807
15.0,15.0,0.0,0.0,0.0,24.36647173,0.17,69.6,0.262005072,1.58,17.38227848
15.0,15.0,0.0,0.0,0.0,37.59079389,0.17,70.3,0.269468057,1.47,21.42857143
15.0,6.0,0.0,0.0,0.0,0.0,0.17,70.6,0.289477493,1.59,20.97044025
15.0,6.0,0.0,0.0,0.0,3.104791777,0.17,70.8,0.28881784,1.57,15.50063694
15.0,6.0,0.0,0.0,0.0,3.436883051,0.17,70.1,0.281711726,1.55,16.72387097
15.0,6.0,0.0,0.0,0.0,3.685446,0.17,69.8,0.278672665,1.55,15.46387097
15.0,15.0,0.0,0.0,0.0,0.0,0.17,71.5,0.27764763,1.62,20.20987654
15.0,15.0,0.0,0.0,0.0,3.668852355,0.17,72.3,0.282763187,1.35,17.13333333
15.0,15.0,0.0,0.0,0.0,7.017404988,0.17,71.3,0.270159961,1.31,14.74045802
15.0,15.0,0.0,0.0,0.0,10.35226864,0.17,71.1,0.265613051,1.25,16.0
70.0,0.0,0.0,0.0,10.0,0.0,1.2,67.20881,0.0,2.2077511124,40.1
70.0,0.0,0.0,0.0,10.0,3.3,1.2,67.821405248,0.0,2.2077511124,36.4
70.0,0.0,0.0,0.0,10.0,6.6,1.2,60.43622,0.0,2.0854308085,34.3
70.0,0.0,0.0,0.0,10.0,9.9,1.2,61.46961,0.0,2.1883306138,28.1
70.0,0.0,0.0,0.0,10.0,13.2,1.2,61.53171,0.0,2.2518370941,21.7
70.0,0.0,0.0,0.0,10.0,16.5,1.2,63.38171,0.0,2.3237400941,11.5
41.99999999999999,21.0,0.0,0.0,1.9000000000000004,0.0,0.39999999999999997,71.68,3.5456986675,0.83,40.7
41.99999999999999,21.0,0.0,0.0,12.899999999999997,3.5,0.39999999999999997,63.46280999999999,0.5896895106,0.821,38.3
41.99999999999999,21.0,0.0,0.0,7.299999999999999,10.6,0.39999999999999997,64.09589999999999,0.19097677340000002,0.807,32.2
41.99999999999999,21.0,0.0,0.0,6.7,17.7,0.39999999999999997,64.339,0.2065968167,0.794,26.7
41.99999999999999,21.0,0.0,0.0,4.7,24.7,0.39999999999999997,61.77356999999999,0.2527815939,0.782,20.4
41.99999999999999,21.0,0.0,0.0,3.6999999999999997,31.800000000000004,0.39999999999999997,68.44916999999998,0.27972302959999995,0.723,14.6
22.0,22.0,0.0,0.0,11.0,3.9256172500000006,0.0035,57.9,0.6966032812999999,2.13,3.76
22.0,22.0,0.0,0.0,11.0,3.9256172500000006,0.0035,58.2,0.6966032812999998,2.05,4.01
22.0,22.0,0.0,0.0,11.0,2.4901825,0.0035,59.39999999999999,0.6966032812999998,2.14,24.8
22.0,22.0,0.0,0.0,11.0,3.9256172500000006,0.0035,57.5,0.6966032812999998,2.15,28.1
22.0,22.0,0.0,0.0,11.0,0.0,0.0035,58.2,0.9031194152,2.13,44.7
16.0,16.0,0.0,0.0,3.0,0.0,0.045,70.9,0.515463918,2.1,24.4
16.0,16.0,0.0,0.0,3.0,14.0,0.045,71.7,0.530035336,2.0,9.2
16.0,16.0,0.0,0.0,3.0,14.0,0.045,68.3,0.47318612,1.6999999999999997,8.5
19.0,19.0,0.0,0.0,9.0,0.0,0.428,70.0,10.0,1.73,49.1
19.0,19.0,0.0,0.0,9.0,3.0,0.428,70.0,10.0,1.73,40.5
