Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),NH3-N loss (%)
35.0,35.0,30.0,30.000000000000004,2.0,0.0,0.06,67.6,0.38,2.22446,29.26
35.0,35.0,30.0,30.000000000000004,2.0,0.408,0.06,69.95481,0.38,2.06768,16.11
35.0,35.0,30.0,30.000000000000004,2.0,0.408,0.06,69.29481,0.38,2.16937,30.93
35.0,35.0,30.0,30.000000000000004,2.0,0.408,0.06,69.66480999999999,0.38,2.27531,16.12
28.0,28.0,0.0,0.0,5.0,0.0,0.06,57.540926199999994,0.48,2.13,24.95
28.0,28.0,0.0,0.0,5.0,2.449875,0.06,59.51982261999999,0.48,2.14833,11.23
28.0,28.0,0.0,0.0,5.0,2.45195,0.06,59.419822620000005,0.48,2.15,22.85
28.0,28.0,0.0,0.0,5.0,4.3543475,0.06,56.95442262,0.48,2.16833,26.71
34.0,34.0,0.0,0.0,6.0,0.0,0.06,65.0,0.272108844,2.033962,31.52
34.0,34.0,0.0,0.0,6.0,10.0,0.06,65.0,0.262907095,1.7593350000000003,21.26
34.0,34.0,0.0,0.0,6.0,10.28571429,0.06,65.0,0.262653324,1.7593350000000003,16.22
34.0,34.0,0.0,0.0,6.0,14.57142857,0.06,65.0,0.258904704,1.8860877143,14.88
35.0,0.0,0.0,0.0,6.0,0.0,0.06,69.2,0.25,2.03653,32.5
35.0,0.0,0.0,0.0,6.0,2.884144275,0.06,65.274,0.25,2.03653,14.5
35.0,0.0,0.0,0.0,6.0,4.0,0.06,66.66086,0.25,2.03653,20.3
35.0,0.0,0.0,0.0,6.0,2.884144275,0.06,65.274,0.25,2.03653,12.4
50.0,40.6,5.0,120.00000000000001,9.0,0.0,0.09999999999999999,59.99999999999999,3.2597500000000004,2.1519154663999998,36.3
50.0,45.6,5.999999999999999,144.0,9.0,2.0,0.09999999999999999,59.99999999999999,3.882,2.1230154664,33.2
50.0,44.800000000000004,7.0,168.00000000000003,9.0,4.0,0.09999999999999999,59.99999999999999,4.506999999999999,1.9973411569,26.6
50.0,43.400000000000006,7.05,170.00000000000003,9.0,6.0,0.09999999999999999,59.99999999999999,5.00275,1.9150308182,20.4
50.0,38.400000000000006,3.0,72.0,9.0,8.0,0.09999999999999999,59.99999999999999,2.5327499999999996,1.9797091611,14.9
50.0,36.3,3.0,72.0,9.0,10.0,0.09999999999999999,59.99999999999999,2.037,2.1711501611000004,10.7
50.0,50.0,0.0,0.0,9.0,0.0,0.09999999999999999,55.0,0.3,2.084,2.49315
50.0,50.0,0.0,0.0,9.0,10.0,0.09999999999999999,61.22936000000001,0.3,2.1185258182,1.56621
50.0,50.0,0.0,0.0,9.0,20.0,0.09999999999999999,61.48046,0.3,2.2679318182,0.863014
50.0,50.0,0.0,0.0,9.0,20.5,0.09999999999999999,60.708859999999994,0.3,2.2679318182,0.83105
50.0,50.0,0.0,0.0,9.0,21.0,0.09999999999999999,59.72446,0.3,2.2679318182,0.67656
50.0,50.0,0.0,0.0,9.0,22.0,0.09999999999999999,59.72446,0.3,2.34885,0.58067
34.0,34.0,0.0,0.0,7.0,0.0,0.005,67.6,0.033670034,1.46,8.7
34.0,34.0,0.0,0.0,7.0,7.7335899999999995,0.005,67.3,0.033670034,1.22,7.87
34.0,34.0,0.0,0.0,7.0,7.128276,0.005,66.8,0.033670034,1.24,6.6
34.0,34.0,0.0,0.0,7.0,6.050428,0.005,66.0,0.033670034,1.32,3.5
90.99999999999999,27.599999999999998,0.0,0.0,13.0,0.0,0.25,59.99999999999999,0.21514999999999998,1.99,12.9281
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,2.02,9.06668
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.93,4.30644
90.99999999999999,71.4,0.0,0.0,13.0,25.0,0.25,59.99999999999999,0.7261036723000001,1.9599999999999997,2.61249
90.99999999999999,7.6,0.0,0.0,13.0,0.0,0.25,59.99999999999999,0.012750000000000001,7.869999999999999,10.7421
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.78,7.72635
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.8199999999999998,3.65344
90.99999999999999,71.4,0.0,0.0,13.0,25.0,0.25,59.99999999999999,0.7261036723,1.7599999999999998,2.32943
90.99999999999999,25.200000000000003,0.0,0.0,13.0,0.0,0.25,59.99999999999999,0.025500000000000002,1.67,7.81575
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.63,4.11289
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.6999999999999997,3.05309
90.99999999999999,56.5,0.0,0.0,13.0,25.0,0.25,59.99999999999999,0.5608500000000001,1.52,2.04637
100.0,100.0,0.0,0.0,1.0,0.0,0.00025,50.0,17.85714286,1.52,23.37209302
100.0,100.0,0.0,0.0,1.0,50.0,0.00025,50.0,11.9047619,1.04,14.48837209
100.0,100.0,0.0,0.0,1.0,50.0,0.00025,50.0,11.9047619,1.02,16.25581395
100.0,100.0,0.0,0.0,1.0,50.0,0.00025,50.0,11.9047619,1.03,19.37209302
100.0,100.0,0.0,0.0,1.0,0.0,0.00025,50.0,8.928571429,1.0,9.982142857
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.82,13.01724138
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.8,11.78571429
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.81,10.94736842
100.0,100.0,0.0,0.0,1.0,0.0,0.00025,50.0,8.928571429,0.85,6.041666667
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.7,14.48979592
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.68,10.1875
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.69,16.33333333
28.0,28.0,0.0,0.0,0.0,0.0,0.01,69.0,0.28,3.7,12.6838079
28.0,28.0,0.0,0.0,0.0,0.0,0.01,62.99999999999999,0.28,3.7,12.08818654
28.0,28.0,0.0,0.0,0.0,0.0,0.01,66.0,0.28,3.7,12.98187946
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,2.850340136,10.27237086
28.0,28.0,0.0,0.0,0.0,0.0,0.01,67.0,0.28,3.209302326,10.55776892
28.0,28.0,0.0,0.0,0.0,25.0,0.01,65.0,0.28,2.934131737,9.087210592
28.0,28.0,0.0,0.0,0.0,14.28571429,0.01,67.0,0.28,3.242857143,9.48959206
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,2.957142857,9.092927723
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,3.347107438,11.6922052
37.0,37.0,0.0,0.0,4.0,0.0,0.06,64.1,0.24,2.36,13.9
37.0,37.0,0.0,0.0,4.0,0.0,0.06,65.2,0.48,2.08,18.7
37.0,37.0,0.0,0.0,4.0,0.0,0.06,63.699999999999996,0.72,1.8999999999999997,20.6
37.0,37.0,0.0,0.0,4.0,0.0,0.06,71.3,0.24,2.06,12.7
37.0,37.0,0.0,0.0,4.0,0.0,0.06,70.6,0.48,1.8999999999999997,16.9
37.0,37.0,0.0,0.0,4.0,0.0,0.06,70.8,0.72,2.35,32.4
37.0,37.0,0.0,0.0,4.0,0.0,0.06,75.7,0.24,1.93,9.6
37.0,37.0,0.0,0.0,4.0,0.0,0.06,76.8,0.48,2.37,27.7
