Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),CH4-C loss (%)
55.99999999999999,0.0,0.0,0.0,7.0,6.6,1.2,67.6,0.0,2.039744803,0.21
55.99999999999999,0.0,0.0,0.0,7.0,9.9,1.2,67.6,0.0,2.039744803,0.31
55.99999999999999,0.0,0.0,0.0,7.0,13.2,1.2,67.6,0.0,2.039744803,0.28
28.0,0.0,0.0,0.0,9.0,0.0,0.13,61.4561,0.0,1.667,0.34
28.0,0.0,0.0,0.0,9.0,2.0,0.13,60.661,0.0,1.6679999999999997,0.31
28.0,0.0,0.0,0.0,9.0,4.0,0.13,59.7109,0.0,1.613,0.24
28.0,0.0,0.0,0.0,9.0,6.0,0.13,60.4548,0.0,1.562,0.25
28.0,0.0,0.0,0.0,9.0,8.0,0.13,60.06839999999999,0.0,1.563,0.19
28.0,0.0,0.0,0.0,9.0,10.0,0.13,59.4546,0.0,1.555,0.17
77.39999999999999,0.0,0.0,0.0,14.799999999999999,0.0,0.39999999999999997,77.53,0.0,3.2533060000000003,0.13
77.39999999999999,0.0,0.0,0.0,14.799999999999999,0.0,0.39999999999999997,66.36,0.0,2.287306,0.4
50.0,50.0,0.0,0.0,0.0,0.0,0.03,72.13,0.222862581,2.21,0.01872018
50.0,50.0,0.0,0.0,0.0,0.0,0.03,69.74,0.205260414,2.93,0.20265279
50.0,50.0,0.0,0.0,0.0,0.0,0.03,71.05,0.214548536,3.48,0.147816393
28.0,28.0,30.0,60.00000000000001,4.0,0.0,0.06,66.9,1.207272727,1.5,0.34
28.0,28.0,30.0,60.00000000000001,4.0,0.0,0.06,58.6,0.964341085,1.6999999999999997,0.27
28.0,28.0,30.0,60.00000000000001,4.0,0.0,0.06,53.1,0.855474453,1.8999999999999997,0.2
28.0,28.0,30.0,60.00000000000001,4.0,0.0,0.06,47.5,0.7602339179999998,2.0,0.12
55.99999999999999,56.0,0.0,0.0,0.0,0.324675325,1.37,69.2,0.108,2.337662338,0.06
55.99999999999999,56.0,0.0,0.0,0.0,2.068965517,1.37,71.0,0.108,2.310344828,0.05
55.99999999999999,56.0,0.0,0.0,0.0,0.0,1.37,70.3,0.108,2.222222222,0.02
55.99999999999999,56.0,0.0,0.0,0.0,2.836879433,1.18,71.8,0.108,2.304964539,0.03
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,2.048921124,0.197
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,2.048921124,0.296
64.0,0.0,0.0,0.0,12.0,0.0,1.1,74.27405248,0.0,2.048921124,0.428
64.0,64.0,30.0,1410.0,12.0,0.0,1.1,74.27405248,2.5,2.048921124,0.164
