Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),N2O-N loss (%)
76.0,0.0,0.0,0.0,3.0,7.5,0.1625,59.99999999999999,0.0,1.57,0.067
45.0,45.0,17.0,30.000000000000004,180.0,0.444444444,2.4,55.0,6.67,1.126532432,1.27637
112.0,112.0,0.0,0.0,12.0,10.0,0.026,61.10999999999999,2.024,2.565,1.75
112.0,112.0,0.0,0.0,12.0,10.0,0.026,61.10999999999999,2.024,2.565,2.02
112.0,42.0,0.0,0.0,12.0,2.949852507,0.37700000000000006,66.1,0.262209112,1.6,2.02
55.99999999999999,56.0,0.0,0.0,11.0,2.0,0.13,55.0,1.111111111,1.8423899999999998,1.8
55.99999999999999,56.0,0.0,0.0,11.0,4.0,0.13,55.0,1.111111111,1.8587,0.57
55.99999999999999,56.0,0.0,0.0,11.0,6.0,0.13,55.0,1.111111111,1.9510899999999998,0.41
55.99999999999999,56.0,0.0,0.0,11.0,8.0,0.13,55.0,1.111111111,2.11957,0.09
55.99999999999999,56.0,0.0,0.0,11.0,12.0,0.13,55.0,1.111111111,2.27717,0.02
55.99999999999999,56.0,0.0,0.0,11.0,18.0,0.13,55.0,1.111111111,2.42935,0.05
35.0,35.0,0.0,0.0,4.0,0.0,0.06,69.2,0.3,2.04,1.5
35.0,35.0,0.0,0.0,4.0,1.9001599999999998,0.06,69.2,0.3,2.04,1.4
35.0,35.0,0.0,0.0,4.0,1.9001599999999998,0.06,69.2,0.3,2.04,1.2
35.0,35.0,0.0,0.0,4.0,1.9001599999999998,0.06,69.2,0.3,2.04,1.3
35.0,35.0,0.0,0.0,4.0,1.9001599999999998,0.06,69.2,0.3,2.04,1.0
50.0,50.0,20.0,60.00000000000001,7.0,0.0,0.288,67.71,0.19483992379999995,2.412,0.6
50.0,50.0,20.0,60.00000000000001,7.0,12.0,0.288,66.08,0.3529443439,2.53,0.47
30.0,30.0,0.0,0.0,6.0,5.0,0.12,64.519478261,2.566208171,1.94767,2.08
30.0,30.0,0.0,0.0,6.0,10.0,0.12,65.39819826099999,2.566208171,1.94767,1.976
30.0,30.0,0.0,0.0,6.0,20.0,0.12,63.34899999999999,2.566208171,1.94767,1.976
30.0,30.0,0.0,0.0,6.0,1.0,0.12,64.728288261,2.566208171,1.94767,2.132
28.0,28.0,0.0,0.0,4.0,0.0,0.06,62.06,0.36,1.95,0.0025
28.0,28.0,0.0,0.0,4.0,10.0,0.06,58.69,0.36,1.9599999999999997,0.0149
26.0,0.0,0.0,0.0,7.0,0.0,1.2,65.0,0.0,1.69,1.37
26.0,0.0,0.0,0.0,7.0,15.67944251,1.2,65.0,0.0,1.51,0.71
26.0,0.0,0.0,0.0,7.0,31.35888502,1.2,65.0,0.0,1.41,0.35
26.0,0.0,0.0,0.0,7.0,47.03832753,1.2,65.0,0.0,1.35,0.38
35.0,35.0,30.0,30.000000000000004,2.0,0.0,0.06,67.6,0.38,2.22446,0.57
35.0,35.0,30.0,30.000000000000004,2.0,0.408,0.06,69.95481,0.38,2.06768,0.79
35.0,35.0,30.0,30.000000000000004,2.0,0.408,0.06,69.29481,0.38,2.16937,0.41
35.0,35.0,30.0,30.000000000000004,2.0,0.408,0.06,69.66480999999999,0.38,2.27531,0.68
28.0,28.0,0.0,0.0,5.0,0.0,0.06,57.540926199999994,0.48,2.13,0.34
28.0,28.0,0.0,0.0,5.0,2.449875,0.06,59.51982261999999,0.48,2.14833,0.38
28.0,28.0,0.0,0.0,5.0,2.45195,0.06,59.419822620000005,0.48,2.15,0.47
28.0,28.0,0.0,0.0,5.0,4.3543475,0.06,56.95442262,0.48,2.16833,0.39
34.0,34.0,0.0,0.0,6.0,0.0,0.06,65.0,0.272108844,2.033962,0.88
34.0,34.0,0.0,0.0,6.0,10.0,0.06,65.0,0.262907095,1.7593350000000003,0.6
34.0,34.0,0.0,0.0,6.0,10.28571429,0.06,65.0,0.262653324,1.7593350000000003,0.25
34.0,34.0,0.0,0.0,6.0,14.57142857,0.06,65.0,0.258904704,1.8860877143,0.13
35.0,0.0,0.0,0.0,6.0,0.0,0.06,69.2,0.25,2.03653,1.5
35.0,0.0,0.0,0.0,6.0,2.884144275,0.06,65.274,0.25,2.03653,1.4
35.0,0.0,0.0,0.0,6.0,4.0,0.06,66.66086,0.25,2.03653,1.4
35.0,0.0,0.0,0.0,6.0,2.884144275,0.06,65.274,0.25,2.03653,2.0
50.0,40.6,5.0,120.00000000000001,9.0,0.0,0.09999999999999999,59.99999999999999,3.2597500000000004,2.1519154663999998,2.05
50.0,45.6,5.999999999999999,144.0,9.0,2.0,0.09999999999999999,59.99999999999999,3.882,2.1230154664,2.01
50.0,44.800000000000004,7.0,168.00000000000003,9.0,4.0,0.09999999999999999,59.99999999999999,4.506999999999999,1.9973411569,1.53
