Additive_1,Additive_1_encoded
Biochar,0
Ca-superphosphate,1
Calcium magnesium phosphate fertilizer,2
Carbonatite,3
Clay,4
DMPP,5
Forsterite,6
Inorganic acid,7
LB Culture,8
Labile carbon source,9
Mature compost,10
Mg(OH)₂,11
MgCl₂,12
MgHPO₄,13
MgO,14
MgSO₄,15
Microbiological agent,16
None,17
Organic acid,18
Phosphogypsum,19
Potassium phosphate,20
Sulfur,21
Zeolite,22
