Additive_1,Additive_1_mean_NH3-N loss (%)
Apple pomace,1.7851999999999997
Artifactitious attapulgite,3.22179
Bean dreg,28.11
Bentonite,4.6
Beta-Cyclodextrin,8.9
Biocahr ,19.21
Biochar,7.924322279796515
Biochar ,5.1130185305640765
Ca(H₂PO₄)₂,9.375
Calcium magnesium phosphate fertilizer,30.930000000000003
Carbonatite,8.6
Citric acid,2.214
Clay,21.16
FeCl₃,8.9
Forsterite,5.739
Glucose,19.527949999999997
Gypsum,3.280495
H₂SO₄,19.295433333333335
H₃PO₄,12.667500000000002
KH₂PO₄,9.435356982487653
K₂HPO₄,26.71
K₂SO₄,6.6000000000000005
LB Culture,22.7
Lignite,7.611555157912789
Lime,16.910276947999996
Mature compost,13.4503
Mg(OH)₂,11.05
MgCl₂,15.0
MgHPO₄,1.57
MgO,12.879
MgSO₄,9.10184812611176
Microbiological agent,12.235066666666667
Molasses,11.426219161238
NOB,9.3
NOB ,11.201999999999998
"NTB(ammonifiers,nitrobacteria,azotobacter)agent",15.666666666666666
NaAc,12.86
NaH₂PO₄·H₂O,14.42026603148413
None,15.603379449950177
Office paper,14.338789758188872
Phosphate fertilizer,9.55
Phosphogypsum,18.213443154881624
Raw attapulgite,5.63813
Red mud,2.147
Rhamnolipid,12.31
Rotten apple,21.5
Rotten apples,16.049999999999997
Sucrose,14.20227272727273
Sugarcane molasses,24.8
Sulfur,0.8
Superphosphate,15.937142857142858
Tannin ,6.076440983606555
Urea,33.40653685714286
Vinegar,20.200000000000003
Zeolite,25.099184235684973
