Variable,Node purity increase,MSE_increase,P_value,Top
Material_Main,14.863207817077637,17.360210601833526,8.071473175609044e-13,False
Turning times,10.752068519592285,10.036722824461114,0.0020021830218147616,False
V2_Ventilation Interval (min),14.565150260925293,1.7965700575630525,5.198076863293168e-05,False
M1_is Enclosed,5.204322814941406,0.47304853471951924,1.2146102105190344e-06,False
 Composting Method,32.7996711730957,2.253096766619769,0.00022074914672191075,True
Additive_4,0.0,0.0,2.2140303346008935e-07,False
Additive_2,3.6836581230163574,0.47982022088200305,1.6294182997451641e-06,False
Additive_1,11.212682723999023,15.207033426581772,6.628690251698997e-09,False
Material_3,28.15593719482422,0.7400070859821484,1.2108423033133191e-06,True
Material_2,15.504925727844238,7.783960653394612,0.23676671102368546,False
Additive_3,2.5992319583892822,0.009740194473081942,2.2876304084868975e-07,False
Period (d),12.91723918914795,1.3838207271003928,1.603931176853231e-05,False
V1_Ventilation Type,7.244617462158203,2.0573696674001885,0.0001246429348272643,False
V4_Ventilation Day,80.32869720458984,16.267621676030902,7.809462569905342e-09,True
V3_Ventilation Duration (min),33.12763977050781,1.2382088618701812,1.3298021957307009e-05,True
Application Rate (%DW),18.365549087524414,13.986571146566861,3.55869286906488e-08,False
Compost volume (m3),95.12095642089844,18.433749816697297,6.037907097509962e-13,True
V5_Ventilation rate (L/min/kg iniDW),13.510591506958008,8.026402321483879,0.07516087553891797,False
Initial Moisture Content (%),13.261898040771484,5.477422496948709,0.7241261901098733,False
Initial TN (%),13.037901878356934,5.377972349692408,0.9435178996733893,False
Initial C/N (%),19.67791748046875,8.095502253231013,0.2830608308757329,True
Initial pH,9.062867164611816,9.686574493453712,0.01720951826437088,False
