Material_Main,M1_is Enclosed, Composting Method,Additive_4,Additive_3,V2_Ventilation Interval (min),Additive_1,Material_3,Material_2,Additive_2,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),N2O-N loss (%)
7,1.0,0,0,0,0.0,10,2,6,6,35.0,35.0,0,0.0,4.0,1.68,69.2,0.3,18.4,1.0
6,1.0,0,0,0,60.0,15,2,6,7,50.0,50.0,1,20.0,7.0,0.0,67.71,0.14,21.24,0.6
6,1.0,0,0,0,60.0,2,2,6,7,50.0,50.0,1,20.0,7.0,12.0,66.08,0.25,21.21,0.47
7,1.0,0,0,0,0.0,0,2,6,7,30.0,30.0,0,0.0,6.0,5.0,60.76,2.57,27.17,2.08
7,1.0,0,0,0,0.0,0,2,6,7,30.0,30.0,0,0.0,6.0,10.0,60.61,2.57,14.51,1.98
7,1.0,0,0,0,0.0,0,2,6,7,30.0,30.0,0,0.0,6.0,20.0,58.22,2.57,16.89,1.98
7,1.0,0,0,0,0.0,5,2,6,7,30.0,30.0,0,0.0,6.0,1.0,60.76,2.57,27.17,2.13
7,1.0,0,0,0,0.0,15,2,7,7,28.0,28.0,0,0.0,4.0,0.0,62.06,0.36,17.91,0.0
7,1.0,0,0,0,0.0,21,2,7,7,28.0,28.0,0,0.0,4.0,10.0,58.69,0.36,18.23,0.01
7,0.0,2,0,0,0.0,15,2,6,7,26.0,0.0,2,0.0,7.0,0.0,65.0,0.0,22.46,1.37
7,0.0,2,0,0,0.0,2,2,6,7,26.0,0.0,2,0.0,7.0,15.68,65.0,0.0,24.97,0.71
7,0.0,2,0,0,0.0,2,2,6,7,26.0,0.0,2,0.0,7.0,31.36,65.0,0.0,26.48,0.35
7,0.77,2,0,0,12.28,2,2,6,7,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,0.38
7,1.0,0,0,0,30.0,15,2,6,7,35.0,35.0,1,30.0,2.0,0.0,67.6,0.38,17.43,0.57
7,1.0,0,0,0,30.0,16,2,6,7,35.0,35.0,1,30.0,2.0,0.41,65.79,0.38,14.84,0.79
7,1.0,0,0,0,30.0,4,2,6,7,35.0,35.0,1,30.0,2.0,0.41,67.3,0.38,16.2,0.41
7,1.0,0,0,0,30.0,16,2,6,1,35.0,35.0,1,30.0,2.0,0.41,66.1,0.38,13.98,0.68
7,1.0,0,0,0,0.0,15,2,6,7,28.0,28.0,0,0.0,5.0,0.0,57.54,0.48,19.25,0.34
7,1.0,0,0,0,0.0,10,2,6,7,28.0,28.0,0,0.0,5.0,2.45,59.41,0.48,18.68,0.38
7,1.0,0,0,0,0.0,9,2,6,7,28.0,28.0,0,0.0,5.0,2.45,59.41,0.48,18.68,0.47
7,1.0,0,0,0,0.0,12,2,6,7,28.0,28.0,0,0.0,5.0,4.35,60.3,0.48,18.97,0.39
6,1.0,0,0,0,0.0,15,2,6,7,34.0,34.0,0,0.0,6.0,0.0,65.0,0.27,11.37,0.88
6,1.0,0,0,0,0.0,21,2,6,7,34.0,34.0,0,0.0,6.0,10.0,65.0,0.26,11.37,0.6
