Material_Main,M1_is Enclosed, Composting Method,Additive_4,Additive_3,V2_Ventilation Interval (min),Additive_1,Material_3,Material_2,Additive_2,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),NH3-N loss (%)
8,1.0,0,0,2,0.0,31,3,5,13,22.0,22.0,0,0.0,11.0,0.0,58.2,0.39,17.36,33.88
7,0.77,0,0,2,12.28,31,0,2,13,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,17.96
7,0.77,0,0,2,12.28,1,0,2,13,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,3.22
7,0.77,0,0,2,12.28,34,0,2,13,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,5.64
7,1.0,0,0,2,0.0,31,3,2,13,112.0,112.0,0,0.0,12.0,0.0,61.9,2.02,23.79,10.35
7,1.0,0,0,2,0.0,27,3,2,13,112.0,112.0,0,0.0,12.0,11.25,61.11,2.02,26.0,2.05
7,1.0,0,0,2,0.0,27,3,2,13,112.0,112.0,0,0.0,12.0,11.25,61.11,2.02,26.0,2.36
3,1.0,0,0,2,0.0,31,3,2,13,30.0,30.0,0,0.0,4.0,0.0,60.6,0.2,20.0,24.9
3,1.0,0,0,2,0.0,21,3,2,4,30.0,30.0,0,0.0,4.0,2.14,54.95,0.2,17.3,12.6
3,1.0,0,0,2,0.0,40,3,2,13,30.0,30.0,0,0.0,4.0,3.2,54.68,0.2,19.82,15.3
3,1.0,0,0,2,0.0,9,3,2,13,30.0,30.0,0,0.0,4.0,2.22,54.95,0.2,17.3,8.9
3,1.0,0,0,2,0.0,3,3,2,13,30.0,30.0,0,0.0,4.0,2.54,54.68,0.2,19.82,8.9
3,1.0,0,0,2,0.0,31,3,2,13,19.0,19.0,0,0.0,9.0,0.0,70.0,10.0,26.39,16.55
3,1.0,0,0,2,0.0,25,3,2,13,19.0,19.0,0,0.0,9.0,3.0,70.0,10.0,26.39,12.88
3,1.0,0,0,2,0.0,23,3,2,4,19.0,19.0,0,0.0,9.0,6.9,70.0,10.0,26.35,12.88
3,1.0,0,0,0,0.0,25,3,2,10,19.0,19.0,0,0.0,9.0,9.9,70.0,10.0,26.35,2.99
9,0.77,1,0,2,12.28,31,3,5,13,45.39,26.82,0,2.19,5.33,5.76,63.88,0.7,20.85,21.4
9,0.77,1,0,2,12.28,27,3,5,13,45.39,26.82,0,2.19,5.33,5.76,63.88,0.7,20.85,20.7
9,0.77,1,0,2,12.28,31,3,5,13,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,18.4
9,0.77,1,0,2,12.28,27,3,5,13,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,19.7
3,1.0,0,0,2,0.0,19,3,5,13,35.0,35.0,0,0.0,9.0,2.25,64.71,0.5,29.01,27.1
3,1.0,0,0,1,0.0,19,3,5,10,35.0,35.0,0,0.0,9.0,1.82,64.16,0.5,32.02,0.47
3,1.0,0,0,1,0.0,19,3,5,10,35.0,35.0,0,0.0,9.0,2.57,64.07,0.5,30.34,10.43
3,1.0,0,0,1,0.0,19,3,5,10,35.0,35.0,0,0.0,9.0,3.32,60.53,0.5,26.95,17.37
3,1.0,0,0,1,0.0,19,3,5,10,35.0,35.0,0,0.0,9.0,4.07,65.06,0.5,29.05,29.18
9,1.0,0,0,2,690.0,31,3,6,13,40.0,30.0,1,30.0,6.0,0.0,64.55,7.69,16.54,26.0
9,1.0,0,0,2,690.0,40,3,6,13,40.0,30.0,1,30.0,6.0,6.0,63.56,7.32,16.4,11.8
9,1.0,0,0,2,690.0,37,3,6,13,40.0,30.0,1,30.0,6.0,15.0,62.07,6.82,15.97,21.5
