Material_Main,M1_is Enclosed, Composting Method,Additive_4,Additive_3,V2_Ventilation Interval (min),Additive_1,Material_3,Material_2,Additive_2,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),TC loss (%)
5,1.0,0,0,0,0.0,9,1,5,7,91.0,64.2,0,0.0,13.0,0.0,60.0,0.91,20.0,63.52
5,1.0,0,0,0,0.0,0,1,5,7,91.0,81.0,0,0.0,13.0,12.5,60.0,1.05,20.0,57.09
5,1.0,0,0,0,0.0,4,1,5,7,91.0,81.0,0,0.0,13.0,12.5,60.0,1.05,20.0,59.32
5,1.0,0,0,0,0.0,0,1,5,1,91.0,82.6,0,0.0,13.0,25.0,60.0,0.95,20.0,46.29
5,1.0,0,0,0,0.0,9,1,5,7,91.0,76.8,0,0.0,13.0,0.0,60.0,1.05,25.0,63.43
5,1.0,0,0,0,0.0,0,1,5,7,91.0,76.6,0,0.0,13.0,12.5,60.0,0.95,25.0,54.86
5,1.0,0,0,0,0.0,4,1,5,7,91.0,76.6,0,0.0,13.0,12.5,60.0,0.95,25.0,57.98
5,1.0,0,0,0,0.0,0,1,5,1,91.0,75.0,0,0.0,13.0,25.0,60.0,0.87,25.0,46.82
5,1.0,0,0,0,0.0,9,1,5,7,91.0,80.8,0,0.0,13.0,0.0,60.0,0.99,30.0,65.3
5,1.0,0,0,0,0.0,0,1,5,7,91.0,76.6,0,0.0,13.0,12.5,60.0,0.95,30.0,58.96
5,1.0,0,0,0,0.0,4,1,5,7,91.0,76.6,0,0.0,13.0,12.5,60.0,0.95,30.0,57.62
5,1.0,0,0,0,0.0,0,1,5,1,91.0,74.0,0,0.0,13.0,25.0,60.0,0.83,30.0,51.11
6,1.0,0,0,0,0.0,9,0,5,7,32.0,32.0,0,0.0,0.0,0.0,75.32,0.56,17.96,22.82
6,1.0,0,0,0,0.0,9,0,5,7,32.0,32.0,0,0.0,0.0,0.0,69.37,0.49,17.83,43.09
6,1.0,0,0,0,0.0,9,0,5,7,32.0,32.0,0,0.0,0.0,0.0,66.06,0.78,19.19,49.76
0,1.0,0,0,0,0.0,9,3,5,7,32.0,32.0,0,0.0,0.0,0.0,76.28,0.52,21.77,23.45
0,1.0,0,0,0,0.0,9,3,5,7,32.0,32.0,0,0.0,0.0,0.0,72.85,0.5,21.05,37.55
0,1.0,0,0,0,0.0,9,3,5,7,32.0,32.0,0,0.0,0.0,0.0,63.45,0.51,22.43,57.58
6,1.0,0,0,0,0.0,9,1,5,7,32.0,32.0,0,0.0,0.0,0.0,67.86,0.44,12.13,32.63
0,1.0,0,0,0,0.0,9,1,5,7,32.0,32.0,0,0.0,0.0,0.0,76.28,0.75,22.24,36.19
6,0.0,2,0,0,0.0,9,1,1,7,70.0,0.0,2,0.0,6.0,0.0,66.79,0.0,12.71,34.44
6,0.0,2,0,0,0.0,0,1,1,7,70.0,0.0,2,0.0,6.0,0.6,66.79,0.0,12.71,28.31
6,0.0,2,0,0,0.0,0,1,1,7,70.0,0.0,2,0.0,6.0,1.0,66.79,0.0,12.71,29.97
6,0.0,2,0,0,0.0,0,1,1,7,70.0,0.0,2,0.0,6.0,1.7,66.79,0.0,12.71,30.68
6,0.0,2,0,0,0.0,9,1,1,7,56.0,0.0,2,0.0,8.0,0.0,65.52,0.0,11.92,46.89
6,0.0,2,0,0,0.0,0,1,1,7,56.0,0.0,2,0.0,8.0,4.0,65.52,0.0,11.74,34.85
6,0.0,2,0,0,0.0,0,1,1,7,56.0,0.0,2,0.0,8.0,7.3,61.6,0.0,15.17,33.33
6,0.0,2,0,0,0.0,0,1,1,7,56.0,0.0,2,0.0,8.0,13.5,62.94,0.0,16.69,23.79
6,0.0,2,0,0,0.0,0,1,1,7,56.0,0.0,2,0.0,8.0,38.0,62.01,0.0,24.9,21.21
4,0.77,0,0,0,12.28,9,2,5,7,45.39,26.82,0,2.19,5.33,5.76,63.88,0.7,20.85,36.77
4,1.0,0,0,0,0.0,9,2,5,7,28.0,28.0,0,0.0,0.0,0.0,56.2,0.78,40.0,45.06
4,1.0,0,0,0,0.0,9,2,5,7,28.0,28.0,0,0.0,0.0,0.0,58.8,0.83,35.0,43.65
4,1.0,0,0,0,0.0,9,2,5,7,28.0,28.0,0,0.0,0.0,0.0,60.9,0.66,30.0,50.1
4,1.0,0,0,0,0.0,9,2,5,7,28.0,28.0,0,0.0,0.0,0.0,61.9,0.59,25.0,53.43
5,1.0,0,0,0,0.0,9,4,0,7,28.0,28.0,0,0.0,0.0,0.0,61.9,0.56,20.0,56.34
5,1.0,0,0,0,0.0,9,4,0,7,28.0,28.0,0,0.0,0.0,0.0,64.5,0.35,15.0,54.84
5,1.0,0,0,0,0.0,9,1,5,7,28.0,28.0,0,0.0,0.0,0.0,65.3,0.52,11.7,56.57
0,1.0,0,0,0,0.0,9,1,2,7,100.0,100.0,0,0.0,1.0,0.0,50.0,17.86,23.45,67.86
0,1.0,0,0,0,0.0,10,1,2,7,100.0,100.0,0,0.0,1.0,50.0,50.0,11.9,22.89,68.52
0,1.0,0,0,0,0.0,12,1,2,7,100.0,100.0,0,0.0,1.0,50.0,50.0,11.9,23.34,65.77
0,1.0,0,0,0,0.0,10,1,2,8,100.0,100.0,0,0.0,1.0,50.0,50.0,11.9,23.12,68.08
0,1.0,0,0,0,0.0,9,1,5,7,100.0,100.0,0,0.0,1.0,0.0,50.0,8.93,37.16,64.55
0,1.0,0,0,0,0.0,10,1,5,7,100.0,100.0,0,0.0,1.0,25.0,50.0,7.14,36.26,59.37
0,1.0,0,0,0,0.0,12,1,5,7,100.0,100.0,0,0.0,1.0,25.0,50.0,7.14,37.16,55.72
0,1.0,0,0,0,0.0,10,1,5,8,100.0,100.0,0,0.0,1.0,25.0,50.0,7.14,36.7,59.37
0,1.0,0,0,0,0.0,9,1,4,7,100.0,100.0,0,0.0,1.0,0.0,50.0,8.93,47.54,61.68
0,1.0,0,0,0,0.0,10,1,4,7,100.0,100.0,0,0.0,1.0,25.0,50.0,7.14,46.19,43.92
0,1.0,0,0,0,0.0,12,1,4,7,100.0,100.0,0,0.0,1.0,25.0,50.0,7.14,47.54,53.08
0,1.0,0,0,0,0.0,10,1,4,8,100.0,100.0,0,0.0,1.0,25.0,50.0,7.14,46.86,51.64
7,0.0,0,0,0,0.0,9,1,2,7,84.0,0.0,2,0.0,0.0,0.0,81.0,0.0,12.2,24.9
7,0.0,0,0,0,0.0,9,1,5,7,84.0,0.0,2,0.0,0.0,0.0,75.8,0.0,15.3,31.4
1,0.0,0,0,0,0.0,9,1,5,7,84.0,0.0,2,0.0,0.0,0.0,77.3,0.0,22.3,31.6
1,0.0,0,0,0,0.0,9,1,5,7,84.0,0.0,2,0.0,0.0,0.0,77.0,0.0,20.1,40.8
1,0.0,0,0,0,0.0,9,1,0,7,84.0,0.0,2,0.0,0.0,0.0,80.0,0.0,29.9,35.0
1,0.0,0,0,0,0.0,0,1,2,7,84.0,0.0,2,0.0,0.0,22.28,84.1,0.0,16.9,14.9
1,0.0,0,0,0,0.0,0,1,5,7,84.0,0.0,2,0.0,0.0,9.53,80.7,0.0,20.5,32.3
1,0.0,0,0,0,0.0,0,1,5,7,84.0,0.0,2,0.0,0.0,15.84,81.5,0.0,21.3,25.3
0,1.0,0,0,0,0.0,11,1,5,7,60.0,60.0,0,0.0,5.0,11.65,60.0,0.22,16.0,44.0
0,1.0,0,0,0,0.0,11,1,5,7,60.0,60.0,0,0.0,5.0,11.65,60.0,0.44,19.0,51.0
0,1.0,0,0,0,0.0,11,1,5,7,60.0,60.0,0,0.0,5.0,11.65,60.0,0.66,22.0,54.0
0,1.0,0,0,0,0.0,11,1,5,7,60.0,60.0,0,0.0,5.0,11.07,65.0,0.22,19.0,42.0
0,1.0,0,0,0,0.0,11,1,5,7,60.0,60.0,0,0.0,5.0,7.34,65.0,0.44,22.0,56.0
0,1.0,0,0,0,0.0,11,1,5,7,60.0,60.0,0,0.0,5.0,11.04,65.0,0.66,16.0,51.0
0,1.0,0,0,0,0.0,11,1,5,7,60.0,60.0,0,0.0,5.0,1.17,70.0,0.22,22.0,47.0
0,1.0,0,0,0,0.0,11,1,5,7,60.0,60.0,0,0.0,5.0,1.07,70.0,0.44,16.0,36.0
0,1.0,0,0,0,0.0,11,1,5,7,60.0,60.0,0,0.0,5.0,1.39,70.0,0.66,19.0,50.0
1,1.0,0,0,0,0.0,9,1,2,7,28.0,28.0,0,0.0,0.0,0.0,69.0,0.28,11.0,23.5
1,1.0,0,0,0,0.0,9,1,3,7,28.0,28.0,0,0.0,0.0,0.0,63.0,0.28,11.0,20.6
1,1.0,0,0,0,0.0,9,1,3,7,28.0,28.0,0,0.0,0.0,0.0,66.0,0.28,11.0,21.8
1,1.0,0,0,0,0.0,9,1,4,7,28.0,28.0,0,0.0,0.0,0.0,65.0,0.28,14.7,16.8
1,1.0,0,0,0,0.0,9,1,4,7,28.0,28.0,0,0.0,0.0,0.0,67.0,0.28,12.9,19.2
1,1.0,0,0,0,0.0,9,1,5,7,28.0,28.0,0,0.0,0.0,0.0,65.0,0.28,14.0,29.5
1,1.0,0,0,0,0.0,9,1,1,7,28.0,28.0,0,0.0,0.0,0.0,65.0,0.28,12.1,18.6
7,0.77,0,0,0,12.28,9,1,5,7,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,43.0
7,0.77,0,0,0,12.28,9,1,5,7,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,50.0
7,0.77,0,0,0,12.28,9,1,5,7,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,53.0
7,0.77,0,0,0,12.28,9,1,5,7,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,41.0
7,0.77,0,0,0,12.28,9,1,5,7,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,55.0
7,0.77,0,0,0,12.28,9,1,5,7,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,50.0
7,0.77,0,0,0,12.28,9,1,5,7,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,46.0
7,0.77,0,0,0,12.28,9,1,5,7,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,34.0
7,0.77,0,0,0,12.28,9,1,5,7,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,49.0
7,1.0,0,0,0,0.0,9,1,5,7,37.0,37.0,0,0.0,4.0,0.0,64.1,0.24,14.7,42.7
7,1.0,0,0,0,0.0,9,1,5,7,37.0,37.0,0,0.0,4.0,0.0,65.2,0.48,18.3,51.0
7,1.0,0,0,0,0.0,9,1,5,7,37.0,37.0,0,0.0,4.0,0.0,63.7,0.72,20.7,50.7
7,1.0,0,0,0,0.0,9,1,5,7,37.0,37.0,0,0.0,4.0,0.0,71.3,0.24,18.4,41.6
7,1.0,0,0,0,0.0,9,1,5,7,37.0,37.0,0,0.0,4.0,0.0,70.6,0.48,21.1,54.0
7,1.0,0,0,0,0.0,9,1,5,7,37.0,37.0,0,0.0,4.0,0.0,70.8,0.72,15.0,50.3
7,1.0,0,0,0,0.0,9,1,5,7,37.0,37.0,0,0.0,4.0,0.0,75.7,0.24,21.2,45.6
7,1.0,0,0,0,0.0,9,1,5,7,37.0,37.0,0,0.0,4.0,0.0,76.8,0.48,14.9,33.8
