Feature,Mean_MinDepth,Tree1_MinDepth,Tree2_MinDepth,Tree3_MinDepth,Tree4_MinDepth,Tree5_MinDepth,Tree6_MinDepth,Tree7_MinDepth,Tree8_MinDepth,Tree9_MinDepth,Tree10_MinDepth,Tree11_MinDepth,Tree12_MinDepth,Tree13_MinDepth,Tree14_MinDepth,Tree15_MinDepth,Tree16_MinDepth,Tree17_MinDepth,Tree18_MinDepth,Tree19_MinDepth,Tree20_MinDepth,Tree21_MinDepth,Tree22_MinDepth,Tree23_MinDepth,Tree24_MinDepth,Tree25_MinDepth,Tree26_MinDepth,Tree27_MinDepth,Tree28_MinDepth,Tree29_MinDepth,Tree30_MinDepth,Tree31_MinDepth,Tree32_MinDepth,Tree33_MinDepth,Tree34_MinDepth,Tree35_MinDepth,Tree36_MinDepth,Tree37_MinDepth,Tree38_MinDepth,Tree39_MinDepth,Tree40_MinDepth,Tree41_MinDepth,Tree42_MinDepth,Tree43_MinDepth,Tree44_MinDepth,Tree45_MinDepth,Tree46_MinDepth,Tree47_MinDepth,Tree48_MinDepth,Tree49_MinDepth,Tree50_MinDepth,Tree51_MinDepth,Tree52_MinDepth,Tree53_MinDepth,Tree54_MinDepth,Tree55_MinDepth,Tree56_MinDepth,Tree57_MinDepth,Tree58_MinDepth,Tree59_MinDepth,Tree60_MinDepth,Tree61_MinDepth,Tree62_MinDepth,Tree63_MinDepth,Tree64_MinDepth,Tree65_MinDepth,Tree66_MinDepth,Tree67_MinDepth,Tree68_MinDepth,Tree69_MinDepth,Tree70_MinDepth,Tree71_MinDepth,Tree72_MinDepth,Tree73_MinDepth,Tree74_MinDepth,Tree75_MinDepth,Tree76_MinDepth,Tree77_MinDepth,Tree78_MinDepth,Tree79_MinDepth,Tree80_MinDepth,Tree81_MinDepth,Tree82_MinDepth,Tree83_MinDepth,Tree84_MinDepth,Tree85_MinDepth,Tree86_MinDepth,Tree87_MinDepth,Tree88_MinDepth,Tree89_MinDepth,Tree90_MinDepth,Tree91_MinDepth,Tree92_MinDepth,Tree93_MinDepth,Tree94_MinDepth,Tree95_MinDepth,Tree96_MinDepth,Tree97_MinDepth,Tree98_MinDepth,Tree99_MinDepth,Tree100_MinDepth
Material_Main,16.62,18,14,16,18,17,17,18,15,18,13,17,16,18,19,16,15,19,18,15,17,19,18,17,16,17,17,18,17,14,16,15,16,19,15,20,15,15,19,18,16,22,18,12,15,13,18,18,20,17,15,13,16,15,15,16,17,17,16,17,20,19,16,21,16,16,15,15,17,16,18,15,17,16,15,18,16,16,18,16,13,17,16,19,16,17,18,18,17,16,17,17,16,20,15,15,14,16,20,13,15
Period (d),12.21,5,13,0,13,13,17,13,13,13,11,17,13,16,13,13,5,0,13,5,17,13,0,17,16,15,17,5,17,5,13,11,13,13,15,0,0,15,19,18,5,22,13,13,5,13,13,13,13,17,13,13,13,13,11,5,13,17,13,17,11,11,13,16,16,11,13,13,0,16,13,13,17,16,13,13,5,16,13,16,16,13,13,19,13,17,0,13,5,13,16,17,13,13,13,13,5,13,13,13,15
Turning times,16.21,18,16,16,18,15,17,18,15,18,13,15,16,18,19,16,15,19,18,15,17,19,18,17,16,17,17,18,17,14,16,15,16,19,15,20,15,15,2,18,16,22,18,12,15,13,18,18,20,17,2,13,16,15,15,16,15,17,16,17,20,16,16,21,16,15,15,15,17,16,18,15,15,16,15,18,16,16,18,16,13,17,16,19,16,17,18,18,17,16,17,17,15,20,15,15,14,16,20,13,15
V2_Ventilation Interval (min),11.76,15,9,16,15,17,8,9,15,18,13,17,15,18,0,16,9,9,8,15,15,0,0,17,8,9,8,8,15,0,8,8,16,19,15,9,15,15,9,18,16,9,9,8,0,13,18,8,15,17,15,8,15,11,0,16,15,9,8,9,9,19,15,21,8,16,0,9,16,16,0,8,17,9,8,8,16,9,18,9,13,9,16,19,15,17,8,8,17,9,15,17,16,20,15,8,14,8,15,13,0
M1_is Enclosed,5.6,0,0,0,18,0,17,0,0,0,0,17,16,0,19,0,0,0,0,0,0,0,0,0,0,17,17,11,0,0,11,0,16,19,0,0,0,0,0,0,0,0,15,0,15,13,0,0,20,15,0,0,16,15,0,16,17,0,0,0,0,19,11,0,0,0,0,0,17,0,18,0,0,0,15,18,0,16,18,0,0,17,16,0,0,17,0,18,15,0,0,0,0,0,0,0,14,11,0,0,0
 Composting Method,6.72,3,0,11,8,0,11,0,0,8,9,3,3,0,9,16,15,9,18,8,0,15,16,8,0,0,0,0,0,8,16,0,0,8,0,0,9,8,8,0,8,22,0,0,9,8,0,15,20,17,0,9,0,3,0,0,9,17,9,0,8,19,15,0,0,8,0,9,0,0,15,15,11,8,15,0,11,0,18,15,13,9,0,9,0,0,18,0,8,0,8,0,16,15,8,8,9,0,8,0,3
Additive_3,7.61,8,15,9,0,17,0,18,15,0,9,17,0,0,9,9,9,0,0,0,0,0,0,17,0,17,17,0,17,0,7,9,0,19,0,20,0,0,0,0,16,0,18,0,0,0,9,0,0,0,15,13,9,9,0,16,17,0,16,8,9,9,16,21,16,16,0,9,9,9,18,0,17,9,0,0,16,0,0,9,0,17,16,0,9,17,9,18,0,16,17,9,16,0,15,15,0,0,0,0,0
Additive_2,10.29,7,7,9,7,8,17,15,15,7,8,17,7,7,11,16,7,19,8,7,7,7,15,17,8,11,8,8,7,7,7,15,7,8,8,7,15,7,8,9,11,22,18,12,15,15,7,7,7,7,11,7,16,7,15,8,7,9,9,8,20,7,7,7,7,7,8,7,15,7,8,15,17,15,15,18,16,11,8,7,13,17,11,19,11,15,7,8,11,7,8,7,7,9,8,9,7,8,7,8,7
Additive_1,8.94,18,7,8,7,7,7,7,7,7,13,7,16,7,19,7,7,7,7,7,7,7,18,7,7,7,2,7,8,14,7,7,7,7,7,20,7,7,7,7,7,7,7,7,7,13,7,7,7,7,15,7,15,11,7,7,17,7,7,17,7,7,16,7,16,7,7,7,7,7,7,7,7,7,7,18,7,16,7,7,13,7,7,7,7,7,7,7,17,16,7,7,7,7,7,7,7,7,20,13,7
Material_3,1.44,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0,17,0,0,0,0,16,0,0,0,0,0,15,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,16,0,0,0,0,0,0,0,0,2,18,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
